variant,target,n,origins,mae,rmse,wape_pct,unit
yesterday,load,13392,93,640.1670677792712,1123.7427273737374,13.534675492396172,kW
yesterday,pv,13392,93,112.94491719683394,249.21864759713915,6.985523723277789,kW
yesterday,price,13392,93,0.08365736260454003,0.1253823766160543,9.7524465545247,元/kWh
weekly,load,13392,93,142.67582934587813,178.02992285461832,3.0165110765597616,kW
weekly,pv,13392,93,127.97259150238949,265.7849424572062,7.914969491821795,kW
weekly,price,13392,93,0.03883189964157706,0.04909095820433081,4.526870248771087,元/kWh
periodic,load,13392,93,142.67582934587813,178.02992285461832,3.0165110765597616,kW
periodic,pv,13392,93,112.94491719683394,249.21864759713915,6.985523723277789,kW
periodic,price,13392,93,0.03883189964157706,0.04909095820433081,4.526870248771087,元/kWh
