scenario,step,previous,current,planned_cost,up_cost,down_cost,emergency_cost,total_cost,emergency_kwh
2,预测变化,legacy_rebased,new_deterministic,64574.82895519212,0.0,0.0,-554926.7397268969,-490351.9107717052,-101755.47062105103
2,调度变化,new_deterministic,primary,77871.65168425813,0.0,0.0,-301276.4788878695,-223404.8272036109,-48567.95438971906
3,预测变化,legacy_rebased,new_deterministic,76561.02364856005,-100017.73942503461,177.12839731313397,-165017.27108456288,-188296.8584637288,-36676.40305635214
3,调度变化,new_deterministic,primary,85808.38470390812,-233694.6496504451,-3449.7463807859394,898550.4290406331,747214.4177133143,161218.4717997236
4-2,预测变化,legacy_rebased,new_deterministic,87281.82205012627,0.0,0.0,-586193.7699438054,-498911.947893681,-102304.77065496938
4-2,调度变化,new_deterministic,primary,73022.54921284504,0.0,0.0,-286435.0046901498,-213412.4554773029,-46153.98757631169
4-3,预测变化,legacy_rebased,new_deterministic,86674.54124928825,-65648.95099860267,-14.689924709698062,-243754.6776498399,-222743.77732386813,-48737.31085875357
4-3,调度变化,new_deterministic,primary,82849.37231111526,-250657.04154826526,-5006.734996008694,881288.7011436074,708474.296910448,152241.09284053778
