scenario,mean_cost,std_cost,mean_cvar,std_cvar
2,15204235.009521099,66730.63267490797,83572.79468524881,655.0438252447552
3,14034475.226414517,44346.75317020369,69308.53261697966,167.3781917255636
4-2,15966538.570070142,56503.430390018526,93794.37896372541,611.4031002328823
4-3,14755800.592486108,38105.57912473289,79909.86980259504,278.37813045867347
