target,population,seeds,mae_mean,mae_std,rmse_mean,rmse_std,wape_mean,wape_std
load,all,3,163.39403051288966,1.4293949899330205,221.13559746910641,2.2469484850113965,3.5379750964093204,0.030950726054317833
price,all,3,0.041399323077744236,0.00020439950640371285,0.056028740105555364,0.0002855117717736302,5.463430043028801,0.026974412165372674
pv,all,3,171.78068687269163,1.5439131996900382,342.86905772893573,2.5232455428064617,7.219063443288516,0.06488277315920293
pv,generating,3,306.15956715808255,2.6194920051836146,458.57521521543345,3.370874971732189,7.191676359488611,0.06153176561626525
pv_corrected,all,3,158.09013360746968,0.14280272939264022,297.6597963583633,1.064550748994178,6.643719530101092,0.006001268140954036
pv_corrected,generating,3,276.86582071372027,0.28695854441775753,396.5840552044485,1.4634447437787854,6.503567391539896,0.006740645079945325
