n,mae,rmse,wape_pct,bias,absolute_error_sum,squared_error_sum,actual_abs_sum,variant,seed,month,target,lead,population,unit
4464,128.62881553751052,230.96874036402406,5.582371176794227,8.453426803247805,574199.032559447,238139039.48913544,10285934.3167,mlp,3407,3,pv_corrected,0–6h,all,千瓦
2426,233.56164305028486,312.5221858832473,5.508693022859764,12.431001949811328,566620.5460399911,236947703.03958344,10285934.3167,mlp,3407,3,pv_corrected,0–6h,generating,千瓦
4464,139.63578326361417,252.86294211764118,6.059921250124048,2.56279806016585,623334.1364887736,285426675.70388293,10286175.525400002,mlp,3407,3,pv_corrected,6–12h,all,千瓦
2428,253.05172654042823,342.0763249790698,5.973158736431996,1.0361557215676358,614409.5920401597,284115363.00596,10286175.525399998,mlp,3407,3,pv_corrected,6–12h,generating,千瓦
4464,157.51802845753042,302.224238796087,6.811313355180833,-29.572444367270407,703160.4790344158,407739485.66286254,10323419.909899998,mlp,3407,3,pv_corrected,12–18h,all,千瓦
2429,286.18799922592564,409.1039052437124,6.733724445841196,-57.645623948183385,695150.6501197733,406532026.83885944,10323419.909899998,mlp,3407,3,pv_corrected,12–18h,generating,千瓦
4464,187.5590583061504,364.518106994737,8.096597673932889,0.30933847997654884,837263.6362786554,593147082.2598464,10340931.709800001,mlp,3407,3,pv_corrected,18–24h,all,千瓦
2431,341.46176457965186,493.4764859429663,8.027260724548272,-2.381406668410693,830093.5496931337,591994791.5362219,10340931.709800001,mlp,3407,3,pv_corrected,18–24h,generating,千瓦
17856,139.99393520945338,178.85197415272992,3.1979333728508683,27.936956311603943,2499731.7070999998,571178239.7231185,78167097.79890001,periodic,none,3,load,all,all,千瓦
4464,141.2300249327957,180.7780141843748,3.2424193012808535,30.646808400537633,630450.8313,145886602.001159,19443840.3155,periodic,none,3,load,0–6h,all,千瓦
