run_id,import_seconds_shared,loading_seconds,risk_seconds,planning_seconds,execution_seconds,compute_seconds,storage_seconds_this_invocation,verification_seconds,wall_seconds_this_invocation,resumed_days,cpu_threads
primary,0.6078796250512823,0.006244290969334543,1.1282754564890638,7.495335166808218,0.07433575321920216,8.697946376516484,0.1996883760439232,0.003970458055846393,8.954869084060192,0,1
seed_2026,0.6078796250512823,0.006314959027804434,1.1701215952634811,7.872119845706038,0.07828778005205095,9.12052922102157,0.1905735421460122,0.0039031250635161996,9.370824000099674,0,1
seed_3407,0.6078796250512823,0.006794000044465065,1.1751910336315632,7.883269958663732,0.07772011705674231,9.136181109352037,0.19186729041393846,0.00391858397051692,9.387468417058699,0,1
causal_42,0.6078796250512823,0.0067757919896394014,1.1633021662710235,7.849160992424004,0.07656478474382311,9.08902794343885,0.18802633380983025,0.003997041960246861,9.334913624916226,0,1
causal_2026,0.6078796250512823,0.006691416958346963,1.2050135905155912,8.104843872599304,0.07864903542213142,9.388506498537026,0.21005770738702267,0.004731666063889861,9.658506374922581,0,1
causal_3407,0.6078796250512823,0.010085833026096225,1.299519300693646,8.661791797028854,0.08808578841853887,10.04939688614104,0.2073605004698038,0.004437707946635783,10.327082458068617,0,1
cost_only,0.6078796250512823,0.006608917028643191,1.2107901681447402,8.122512582223862,0.07943921198602766,9.41274196235463,0.19455141597427428,0.004308208008296788,9.667906666989438,0,1
no_tree,0.6078796250512823,0.006569499964825809,0.1537948662880808,8.196897136396728,0.07766128715593368,8.428353289840743,0.21194449940230697,0.00416962499730289,8.699506832985207,0,1
more_throughput_penalty,0.6078796250512823,0.0072851249715313315,1.247791656642221,8.413737466093153,0.0819552926113829,9.743484415346757,0.19760304084047675,0.004200541996397078,10.003170332987793,0,1
zero_terminal,0.6078796250512823,0.00668270792812109,1.3559959940612316,9.084505546255969,0.08949570870026946,10.52999724901747,0.23877333709970117,0.005207084002904594,10.83596508402843,0,1
greedy_execution,0.6078796250512823,0.008508416940458119,1.376385506358929,9.333200540859252,0.08622263057623059,10.795808677794412,0.2169086281210184,0.005141624948009849,11.081682207994163,0,1
no_deadband,0.6078796250512823,0.008147249929606915,1.4392668418586254,9.720032004639506,0.09241961955558509,11.251718466053717,0.24095754243899137,0.005369666963815689,11.562221749918535,0,1
primary_grid25,0.6078796250512823,0.007876457995735109,1.6843977451790124,39.518791987909935,0.11199829482939094,41.31518802791834,0.25724233489017934,0.005360750015825033,41.65616070793476,0,1
causal_42_grid25,0.6078796250512823,0.008850749931298196,1.679609832004644,39.20052842050791,0.11053150135558099,40.99066975386813,0.269100125762634,0.005575333023443818,41.344673249986954,0,1
fixed_primary_greedy,0.6078796250512823,0.01253837498370558,0.0,0.0,0.075923926779069,0.075923926779069,0.21392770786769688,0.004985125036910176,0.33830962504725903,0,1
