previous_experiment,previous_label,current_experiment,current_label,metric,unit,previous,current,absolute_change,relative_change_pct,comparable,previous_source,current_source,seed,period,population,absolute_change_unit
exp003,exp003 未校准,exp006,exp006 正式·树DP,planned_kwh,kWh,19434153.14491,21702244.435096,2268091.29018601,11.6706463784353,True,data/results/exp003/dispatch_metrics.csv,data/results/exp006/primary/dispatch_2.npz,42,2025-02-01/2025-12-31,,
exp003,exp003 未校准,exp006,exp006 正式·树DP,emergency_kwh,kWh,607930.405578771,197559.782603584,-410370.622975187,-67.5028949381961,True,data/results/exp003/dispatch_metrics.csv,data/results/exp006/primary/dispatch_2.npz,42,2025-02-01/2025-12-31,,
exp004,exp004 无季节,exp006,exp006 正式·树DP,total_cost,元,13611587.8329135,14066257.4772568,454669.644343263,3.34031304741573,True,data/results/exp004/dispatch_metrics.csv,data/results/exp006/primary/dispatch_2.npz,42,2025-02-01/2025-12-31,,
exp004,exp004 无季节,exp006,exp006 正式·树DP,planned_cost,元,12729841.3664886,13215791.4492587,485950.082770094,3.81740878601489,True,data/results/exp004/dispatch_metrics.csv,data/results/exp006/primary/dispatch_2.npz,42,2025-02-01/2025-12-31,,
exp004,exp004 无季节,exp006,exp006 正式·树DP,emergency_cost,元,881746.466424911,850466.027998076,-31280.4384268355,-3.54755472439416,True,data/results/exp004/dispatch_metrics.csv,data/results/exp006/primary/dispatch_2.npz,42,2025-02-01/2025-12-31,,
exp004,exp004 无季节,exp006,exp006 正式·树DP,planned_kwh,kWh,20997147.6116725,21702244.435096,705096.823423538,3.35806003969591,True,data/results/exp004/dispatch_metrics.csv,data/results/exp006/primary/dispatch_2.npz,42,2025-02-01/2025-12-31,,
exp004,exp004 无季节,exp006,exp006 正式·树DP,emergency_kwh,kWh,160912.165420741,197559.782603584,36647.6171828427,22.7749201479075,True,data/results/exp004/dispatch_metrics.csv,data/results/exp006/primary/dispatch_2.npz,42,2025-02-01/2025-12-31,,
exp004,exp004 历史季节,exp006,exp006 正式·树DP,total_cost,元,13626145.4059908,14066257.4772568,440112.071265945,3.22990881245438,True,data/results/exp004/dispatch_metrics.csv,data/results/exp006/primary/dispatch_2.npz,42,2025-02-01/2025-12-31,,
exp004,exp004 历史季节,exp006,exp006 正式·树DP,planned_cost,元,12727957.7050103,13215791.4492587,487833.744248439,3.83277314047332,True,data/results/exp004/dispatch_metrics.csv,data/results/exp006/primary/dispatch_2.npz,42,2025-02-01/2025-12-31,,
exp004,exp004 历史季节,exp006,exp006 正式·树DP,emergency_cost,元,898187.700980567,850466.027998076,-47721.672982491,-5.3131069296977,True,data/results/exp004/dispatch_metrics.csv,data/results/exp006/primary/dispatch_2.npz,42,2025-02-01/2025-12-31,,
