name,seed,case_id,exploratory,target,lead_start_hour,lead_end_hour,n,absolute_error_sum,squared_error_sum,signed_error_sum,actual_abs_sum,mae,rmse,wape_pct,bias,label
no_season,42,no_season_seed_42,False,load,0.0,4.0,8016,1550744.706242568,524854385.8017231,819563.1761618548,27935677.339499995,193.4561759284641,255.8824857862513,5.551126208240791,102.24091518985216,exp006 正式·树DP
no_season,42,no_season_seed_42,False,pv,0.0,4.0,8016,761.1616596814926,10249.602772567348,758.0872596814925,1.6239,0.0949552968664536,1.1307710026570448,46872.446559609125,0.0945717639323219,exp006 正式·树DP
no_season,42,no_season_seed_42,False,load,4.0,8.0,8016,1453206.4491718155,425569192.4189932,779469.7585852882,32783673.431,181.28822968710273,230.41260623964536,4.432713900199098,97.23924134048006,exp006 正式·树DP
no_season,42,no_season_seed_42,False,pv,4.0,8.0,8016,820740.0219891833,305169772.18072003,-462111.69496281346,7868652.727799999,102.3877272940598,195.11555898971835,10.430502531767653,-57.64866454126914,exp006 正式·树DP
no_season,42,no_season_seed_42,False,load,8.0,12.0,8016,1432961.4506004069,418785674.3840543,742349.9419183773,46507328.0133,178.7626560130248,228.5688558275125,3.08115196424661,92.60852568842031,exp006 正式·树DP
no_season,42,no_season_seed_42,False,pv,8.0,12.0,8016,4492975.130491167,4313845073.416367,-2922192.6617378704,50642302.90439999,560.5008895323313,733.5900255087945,8.871980286861719,-364.54499273177026,exp006 正式·树DP
no_season,42,no_season_seed_42,False,load,12.0,16.0,8016,1562761.1019058048,541433816.7012591,804898.5485207068,45186244.1546,194.95522728365827,259.8925524328031,3.458488597899355,100.41149557394048,exp006 正式·树DP
no_season,42,no_season_seed_42,False,pv,12.0,16.0,8016,4235920.403727675,3809060269.613325,-2774031.3054376985,49192026.388,528.4331840977638,689.3345844819769,8.610989859041451,-346.0617896005113,exp006 正式·树DP
no_season,42,no_season_seed_42,False,load,16.0,20.0,8016,1694756.546371704,648669921.3570151,859475.1005398154,38937812.863000005,211.42172484676945,284.46774224307603,4.352469801872507,107.21994767213266,exp006 正式·树DP
no_season,42,no_season_seed_42,False,pv,16.0,20.0,8016,664615.5418809587,218364029.3576455,-365572.4647437676,6710354.7006,82.91112049413158,165.04854324244363,9.904328035320288,-45.60534739817461,exp006 正式·树DP
no_season,42,no_season_seed_42,False,load,20.0,24.0,8016,1706296.708340574,649891308.1148965,859772.841888746,30697741.1341,212.86136581094985,284.73542980176046,5.55837871225374,107.25709105398528,exp006 正式·树DP
no_season,42,no_season_seed_42,False,pv,20.0,24.0,8016,1529.7645115783384,21791.702588372627,1527.2087115783386,1.621,0.1908388861749424,1.648795248659631,94371.65401470318,0.1905200488495931,exp006 正式·树DP
causal_season,42,causal_season_seed_42,False,load,0.0,4.0,8016,1589253.805941958,536188713.5016844,860092.6423212236,27935677.339499995,198.26020533208057,258.63064313528935,5.6889753795044475,107.29698631751792,exp006 历史季节·树DP
causal_season,42,causal_season_seed_42,False,pv,0.0,4.0,8016,712.7620916168875,8476.863825058836,709.6252916168876,1.6239,0.0889174265989131,1.0283447827202987,43891.9940647138,0.0885261092336436,exp006 历史季节·树DP
causal_season,42,causal_season_seed_42,False,load,4.0,8.0,8016,1509811.261729956,451794486.5784235,849471.3415026695,32783673.431,188.3497082996452,237.405955373931,4.605375492492216,105.97197374035298,exp006 历史季节·树DP
causal_season,42,causal_season_seed_42,False,pv,4.0,8.0,8016,776198.0035983846,284128547.2444823,-372739.5819897071,7868652.727799999,96.83108827325157,188.26889825316704,9.864433346461867,-46.49944885101136,exp006 历史季节·树DP
causal_season,42,causal_season_seed_42,False,load,8.0,12.0,8016,1480626.4471020848,442133478.8772785,805970.7466663477,46507328.0133,184.70888811153753,234.853937832494,3.183641181619078,100.5452528276382,exp006 历史季节·树DP
causal_season,42,causal_season_seed_42,False,pv,8.0,12.0,8016,4503129.434294035,4305854124.525821,-2953731.4139417373,50642302.90439999,561.7676439987569,732.9102609899788,8.892031317759814,-368.47946780710294,exp006 历史季节·树DP
causal_season,42,causal_season_seed_42,False,load,12.0,16.0,8016,1593883.1953177056,548083455.463943,837026.7651023059,45186244.1546,198.83772396677963,261.48362198016366,3.5273637478352953,104.41950662453915,exp006 历史季节·树DP
causal_season,42,causal_season_seed_42,False,pv,12.0,16.0,8016,4251235.8307567015,3829965245.797446,-2804161.178763405,49192026.388,530.3437912620635,691.2236075059457,8.642123821501599,-349.8205063327601,exp006 历史季节·树DP
causal_season,42,causal_season_seed_42,False,load,16.0,20.0,8016,1688492.3164307233,630482072.3735011,843427.2642613094,38937812.863000005,210.64025903576888,280.45133827530015,4.336382021177117,105.2179720884867,exp006 历史季节·树DP
causal_season,42,causal_season_seed_42,False,pv,16.0,20.0,8016,645356.4173971231,209948464.25870252,-311690.4602132709,6710354.7006,80.50853510443152,161.83687985430225,9.61732197762093,-38.88354044576733,exp006 历史季节·树DP
causal_season,42,causal_season_seed_42,False,load,20.0,24.0,8016,1701566.6427356568,634020630.6619482,851053.667992109,30697741.1341,212.27128776642425,281.2372486934088,5.542970198694861,106.16936975949464,exp006 历史季节·树DP
causal_season,42,causal_season_seed_42,False,pv,20.0,24.0,8016,2579.3030082758196,39406.13806737042,2577.1224082758195,1.621,0.3217693373597579,2.2171908775849705,159118.01408240714,0.3214973064216341,exp006 历史季节·树DP
