run_id,role,scenario,days,seed,rl_seed,forecast_seed,forecast,planned_cost,emergency_cost,total_cost,planned_kwh,final_kwh,emergency_kwh,emergency_minutes,surplus_kwh,up_cost,down_cost,risk_seconds,planning_seconds,execution_seconds,compute_seconds,charge_kwh,discharge_kwh,throughput_kwh,equivalent_full_cycles,direction_reversals,direction_reversals_including_warmup_boundary,simultaneous_slots,charging_slots,discharging_slots,active_slots,power_changes_count,power_ramp_total_kw,power_ramp_total_kw_including_warmup_boundary,power_ramp_max_kw_per_10min,power_ramp_p95_kw_per_10min,mean_absolute_power_kw,max_charge_kw,max_discharge_kw,initial_soc,final_soc,initial_mode,final_mode,initial_power_kw,final_power_kw,training_transitions,training_iterations,verified,terminal_credit_in_reported_cost,mean_daily_cost,max_daily_cost,training_seconds,run_wall_seconds
regularized_42,primary,2,334,42,42,42,no_season,15770026.245997338,2155729.3384138113,17925755.584411148,21363488.89415756,21363488.89415756,488218.14626699185,102740.0,3599777.7673084484,0.0,0.0,1.1273097944213077,8.729618281358853,0.08255450904835016,9.93948258482851,3129501.9526110236,2816762.1744615873,5946264.12707261,247.41809443448375,1129,1129,0,14760,6872,21632,17566,7184801.226955976,7185878.466955977,7316.977749011479,553.1291581826123,741.7994170499765,5000.0,5000.0,1421.7991105135516,1200.0,1,-1,172.75999999999976,0.0,5667840,1230,True,0.0,53669.92689943458,94312.33253098384,77.88529338117223,88.36453241691925
regularized_2026,stability,2,334,2026,2026,42,no_season,15840429.98125956,1717856.5731663622,17558286.554425925,21236160.635007013,21236160.635007013,398841.2959231209,83660.0,3343986.757391246,0.0,0.0,1.1402223031036556,8.871607952285558,0.08280370244756341,10.094633957836777,3520360.956838864,3168535.278266643,6688896.235105506,278.31821186811766,1296,1297,0,15647,8930,24577,19465,7749719.875975781,7750222.4700347185,7093.08666519691,653.6100737602508,834.4431431019844,5000.0,5000.0,1421.7991105135516,1200.0,1,-1,172.75999999999976,0.0,5667840,1230,True,0.0,52569.72022283211,90263.97222347149,79.82260593422689,90.42566145793535
regularized_3407,stability,2,334,3407,3407,42,no_season,15650223.448749298,2032331.8044919488,17682555.25324125,21085193.56382737,21085193.56382737,468151.7976286092,96690.0,3264334.6331789633,0.0,0.0,1.1280090906657279,8.788901956751943,0.0821624977979809,9.999073545215651,3500316.5042201523,3150495.270909802,6650811.775129955,276.7335587499563,1137,1137,0,16651,8351,25002,19445,7195731.651877226,7196808.8918772265,7675.8719110321845,609.0638299999999,829.6920877158128,5000.0,5000.0,1421.7991105135516,1200.0,1,-1,172.75999999999976,0.0,5667840,1230,True,0.0,52941.78219533308,90679.7396399584,78.98223162803333,89.48745379108004
cost_only_42,cost_only_ablation,2,334,42,42,42,no_season,15565443.612788668,2159823.026365849,17725266.639154516,20929835.616019845,20929835.616019845,514936.3778827658,109830.0,3142168.0858701565,0.0,0.0,1.2669632551260293,9.784222798421979,0.09300800925120711,11.144194062799215,3636248.3017745344,3272833.888708746,6909082.1904832795,287.4799109177751,1090,1091,0,15930,7993,23923,17897,7451951.463428959,7452454.057487897,8230.203601467972,726.9887020353199,861.9114509085929,5000.0,5000.0,1421.7991105135516,1200.0,1,-1,172.75999999999976,0.0,5667840,1230,True,0.0,53069.66059627101,94358.60586470307,86.42754938895814,98.1309737500269
cost_only_2026,cost_only_ablation,2,334,2026,2026,42,no_season,16017082.997014832,1610024.2760219397,17627107.27303677,21456128.710562743,21456128.710562743,384312.55051200464,85140.0,3572681.99165678,0.0,0.0,1.309662867570296,10.109998747589998,0.09587670385371894,11.515538319014013,3287801.9156296775,2959232.1411783756,6247034.056808053,259.932805350968,1234,1235,0,14890,7584,22474,18124,7592404.001036136,7592906.595095074,7410.725088629582,627.917408787378,779.3206158692683,5000.0,5000.0,1421.7991105135516,1200.0,1,-1,172.75999999999976,0.0,5667840,1230,True,0.0,52775.7702785532,84918.86161906616,90.31192424055189,102.39610295800958
cost_only_3407,cost_only_ablation,2,334,3407,3407,42,no_season,15685812.079483503,1851515.551432942,17537327.630916446,21332375.43160203,21332375.43160203,434600.09740022785,92650.0,3466186.8001576485,0.0,0.0,1.3653432971332222,10.604049740359187,0.10089517396409065,12.0702882114565,3618096.509896086,3256497.2760181436,6874593.785914229,286.0448857690441,1229,1229,0,15916,8233,24149,19075,8025841.267139677,8026918.507139677,7430.213841792778,708.1435683537871,857.609005228821,5000.0,5000.0,1421.7991105135516,1200.0,1,-1,172.75999999999976,0.0,5667840,1230,True,0.0,52506.968954839664,92097.32738101122,93.30050454032607,106.00299908302259
