name,month,total_cost,charge_kwh,discharge_kwh,throughput_kwh,equivalent_full_cycles,direction_reversals,direction_reversals_including_warmup_boundary,charging_slots,discharging_slots,active_slots,simultaneous_slots,max_overlap_kwh,charge_starts,discharge_starts,power_changes_count,power_ramp_total_kw,power_ramp_total_kw_including_warmup_boundary,power_ramp_max_kw_per_10min,power_ramp_p95_kw_per_10min,mean_absolute_power_kw,max_charge_kw,max_discharge_kw,initial_soc,final_soc,minimum_soc,maximum_soc,initial_mode,final_mode,initial_power_kw,final_power_kw,degradation_interpretation,planned_mode_segments,planned_mode_segments_1slots,planned_mode_segments_2slots,planned_mode_segments_3slots,planned_mode_segments_under3slots,planned_mode_median_slots,planned_mode_minimum_slots,actual_contiguous_active_segments,actual_contiguous_active_segments_1slots,actual_contiguous_active_segments_2slots,actual_contiguous_active_segments_3slots,actual_contiguous_active_segments_under3slots,actual_contiguous_active_median_slots,actual_contiguous_active_minimum_slots
original_HGB_hold1_cap8_kappa0,7,1453239.1987898608,521094.288924218,470296.54540218646,991390.8343264045,41.253730625214466,230,230,1751,1626,3377,0,0.0,181,204,3554,2430750.9529078016,2433557.1402959237,8071.916776432823,3276.238415912316,1332.5145622666726,5000.0,5000.0,4733.637666852818,3350.999885534505,1200.0,10800.0,1,1,0.0,854.4343475132566,operating intensity proxies; not calibrated battery ageing or lifetime,243.0,13.0,18.0,10.0,31.0,15.0,1.0,385,65,49,36,114,5.0,1
original_HGB_hold1_cap8_kappa0,8,1233349.062537624,515738.15601795766,465151.92341660126,980890.0794345589,40.81605639374292,228,229,1774,1658,3432,0,0.0,145,210,3623,2535182.9014463145,2536143.247096138,8913.995299999999,3566.276258459662,1318.4006444012887,5000.0,5000.0,3350.999885534505,2309.9959989172316,1200.0,10800.0,1,-1,854.4343475132566,0.0,operating intensity proxies; not calibrated battery ageing or lifetime,241.0,10.0,19.0,14.0,29.0,18.0,1.0,355,55,55,34,110,5.0,1
original_HGB_hold1_cap8_kappa0,9,1111798.8168876288,506992.5377369042,454485.02188181656,961477.5596187208,40.00185958249644,224,225,1821,1444,3265,0,0.0,160,172,3444,2442958.356172834,2447726.091346679,8813.480457381824,3648.1833451287193,1335.3854994704454,5000.0,5000.0,2309.9959989172316,4216.071593494514,1200.0,10800.0,-1,1,0.0,1191.3432218932267,operating intensity proxies; not calibrated battery ageing or lifetime,231.0,5.0,15.0,6.0,20.0,17.0,1.0,332,35,54,29,89,7.0,1
original_HGB_hold1_cap8_kappa0,10,1081253.130895799,548214.7859661758,494731.33283526695,1042946.1188014429,43.398951044189396,233,233,1901,1562,3463,0,0.0,143,182,3586,2542695.4531595176,2546285.9684635736,7856.0536259002665,4061.3615204816374,1401.809299464305,5000.0,4973.47,4216.071593494514,2805.6689138453435,1200.0,10800.0,1,-1,1191.3432218932267,-164.84127535993036,operating intensity proxies; not calibrated battery ageing or lifetime,240.0,10.0,14.0,7.0,24.0,16.0,1.0,325,53,40,15,93,8.0,1
original_HGB_hold1_cap8_kappa0,11,1210118.4889922764,592457.1374267447,534734.694964834,1127191.8323915787,46.90475212870777,235,236,1729,1792,3521,0,0.0,148,222,3673,2778067.6242655898,2781863.204961389,7724.487700810136,4265.221835505402,1565.5442116549705,5000.0,5000.0,2805.6689138453435,1200.0,1200.0,10800.0,-1,-1,-164.84127535993036,0.0,operating intensity proxies; not calibrated battery ageing or lifetime,238.0,4.0,17.0,13.0,21.0,16.0,1.0,370,41,68,28,109,6.0,1
original_HGB_hold1_cap8_kappa0,12,1615062.4539670467,694002.2410393663,624602.0169354298,1318604.257974796,54.86569457363949,243,244,1658,1880,3538,0,0.0,175,258,3680,3274377.3374545104,3278440.3125449945,8385.3822,4517.523589457804,1772.3175510413926,5000.0,5000.0,1200.0,1200.0,1200.0,10800.0,-1,-1,0.0,0.0,operating intensity proxies; not calibrated battery ageing or lifetime,248.0,1.0,6.0,15.0,7.0,13.0,1.0,433,65,65,40,130,5.0,1
hgb_extra_trees_half_hold1_cap8_kappa0,2,1157738.6377449648,559218.3330166896,502485.2473564653,1061703.580373155,44.17446041346227,221,221,1593,1695,3288,0,0.0,150,181,3375,2569525.0197380604,2574083.1208294095,8115.789914892144,4100.086658313602,1579.9160422219568,5000.0,5000.0,1421.7991105135516,2276.9341805863464,1200.0,10800.0,1,-1,172.76,-242.94182767966765,operating intensity proxies; not calibrated battery ageing or lifetime,222.0,8.0,10.0,9.0,18.0,17.0,1.0,331,32,53,31,85,7.0,1
hgb_extra_trees_half_hold1_cap8_kappa0,3,1116340.5418299388,555455.2054565335,499368.3390565053,1054823.5445130388,43.888813492906465,232,233,1855,1641,3496,0,0.0,150,185,3580,2522502.4154756684,2527321.865748725,7725.966,3967.0166264071318,1417.7735813347294,5000.0,5000.0,2276.9341805863464,2847.562814491197,1200.0,10800.0,-1,1,-242.94182767966765,384.16154069367144,operating intensity proxies; not calibrated battery ageing or lifetime,237.0,14.0,20.0,7.0,34.0,16.0,1.0,335,51,48,24,99,7.0,1
hgb_extra_trees_half_hold1_cap8_kappa0,4,933800.2890604502,501667.79241467826,452715.9948135769,954383.7872282551,39.71368394862376,227,227,1689,1593,3282,0,0.0,137,189,3408,2371015.0821533552,2375043.452822549,8516.7132,4022.3707390860914,1325.533037817021,5000.0,4730.4775,2847.562814491197,1566.8597148759318,1200.0,10800.0,1,-1,384.16154069367144,-593.5275472732394,operating intensity proxies; not calibrated battery ageing or lifetime,238.0,12.0,26.0,16.0,38.0,15.5,1.0,326,49,57,36,106,5.0,1
hgb_extra_trees_half_hold1_cap8_kappa0,5,920461.0186589041,480513.3975514729,431107.72474895004,911621.122300423,37.928436546380425,227,228,1603,1721,3324,0,0.0,138,212,3522,2320243.0368495444,2325454.0492212893,8244.8276,3851.172717816646,1225.2972073930418,5000.0,5000.0,1566.8597148759318,2994.4520949238095,1200.0,10800.0,-1,-1,-593.5275472732394,-1024.4619147031876,operating intensity proxies; not calibrated battery ageing or lifetime,246.0,18.0,16.0,14.0,34.0,17.0,1.0,350,56,61,26,117,5.0,1
hgb_extra_trees_half_hold1_cap8_kappa0,6,1380649.013628138,502503.9188008536,451823.0779691419,954326.9967699954,39.70751737116996,230,231,1583,1670,3253,0,0.0,162,197,3429,2491707.9222436277,2496278.1684326013,7696.640503667842,3708.51945972911,1325.4541621805492,5000.0,5000.0,2994.4520949238095,3448.1851294474545,1200.0,10800.0,-1,1,-1024.4619147031876,0.0,operating intensity proxies; not calibrated battery ageing or lifetime,231.0,13.0,11.0,8.0,24.0,13.0,1.0,359,55,53,24,108,6.0,1
hgb_extra_trees_half_hold1_cap8_kappa0,7,1438872.1547936632,519983.41429605224,468030.4734964118,988013.8877924641,41.11029238657734,230,230,1716,1653,3369,0,0.0,177,220,3559,2429091.7304226207,2432490.5368007766,8311.638975490388,3541.8678709254973,1327.9756556350324,5000.0,5000.0,3448.1851294474545,3400.328663482324,1200.0,10800.0,1,1,0.0,969.8459708596681,operating intensity proxies; not calibrated battery ageing or lifetime,241.0,6.0,23.0,8.0,29.0,17.0,1.0,397,67,61,33,128,5.0,1
hgb_extra_trees_half_hold1_cap8_kappa0,8,1239482.914699419,508846.514650316,458678.0256667346,967524.5403170506,40.25930337411064,228,229,1744,1623,3367,0,0.0,138,211,3561,2465570.5332280733,2466704.7976097697,8946.988473150166,3556.6676282418603,1300.4362101035626,5000.0,5000.0,3400.328663482324,2645.427124768678,1200.0,10800.0,1,-1,969.8459708596681,0.0,operating intensity proxies; not calibrated battery ageing or lifetime,239.0,11.0,20.0,13.0,31.0,19.0,1.0,349,53,53,35,106,6.0,1
hgb_extra_trees_half_hold1_cap8_kappa0,9,1112033.0954497666,503804.11042053736,452125.630012689,955929.7404332263,39.77220020158559,220,221,1753,1485,3238,0,0.0,163,182,3407,2435093.4780858904,2440042.0626452477,8822.819253535195,3921.36073002551,1327.680195046148,5000.0,5000.0,2645.427124768678,4013.712377035793,1200.0,10800.0,-1,1,0.0,1195.3512536891933,operating intensity proxies; not calibrated battery ageing or lifetime,233.0,12.0,13.0,5.0,25.0,18.0,1.0,345,48,45,31,93,7.0,1
hgb_extra_trees_half_hold1_cap8_kappa0,10,1079986.6928080705,551439.9758910628,497641.53614765476,1049081.5120387175,43.654255521490164,229,229,2015,1500,3515,0,0.0,137,178,3636,2544024.3815359185,2547639.0344882114,7715.481400000001,4058.489701104444,1410.055795750964,5000.0,4972.3600800919,4013.712377035793,2595.3698717303505,1200.0,10800.0,1,-1,1195.3512536891933,-145.09788298070237,operating intensity proxies; not calibrated battery ageing or lifetime,238.0,12.0,13.0,10.0,25.0,15.0,1.0,315,53,39,16,92,8.0,1
hgb_extra_trees_half_hold1_cap8_kappa0,11,1210546.5627645988,597591.6394800612,539156.2396239686,1136747.8791040299,47.30190769710194,239,240,1680,1814,3494,0,0.0,150,229,3643,2783646.819406038,2787285.5664003487,7760.565249398971,4340.7473446374215,1578.816498755597,5000.0,5000.0,2595.3698717303505,1200.0,1200.0,10800.0,-1,-1,-145.09788298070237,0.0,operating intensity proxies; not calibrated battery ageing or lifetime,240.0,3.0,24.0,13.0,27.0,15.5,1.0,379,43,74,29,117,6.0,1
hgb_extra_trees_half_hold1_cap8_kappa0,12,1612071.0265042535,694559.0707329711,625103.1636596739,1319662.2343926453,54.90971582615459,243,244,1688,1897,3585,0,0.0,170,244,3720,3247292.5511971614,3251502.4114387324,8385.3822,4475.917859982907,1773.7395623557059,5000.0,5000.0,1200.0,1200.0,1200.0,10800.0,-1,-1,0.0,0.0,operating intensity proxies; not calibrated battery ageing or lifetime,248.0,3.0,3.0,13.0,6.0,13.0,1.0,414,58,54,32,112,5.0,1
