day,date,total_cost,emergency_cost,initial_soc,final_soc,mip_gap,mip_seconds,planned_changes,next_day_pending_mode_hold
31,2025-02-01,24437.424633255032,0.0,1421.7991105135516,3425.3122819642326,0.0004842324227618191,0.7626539159100503,7,0
32,2025-02-02,55844.725467995944,5322.133126685062,3425.3122819642326,3567.112391105917,0.0016683362791430295,0.577409042045474,7,0
33,2025-02-03,52276.754136715375,23.716725771618933,3567.112391105917,3395.0785775414024,0.0008813535889637138,0.42933858395554125,8,0
34,2025-02-04,55824.39490059546,3114.356396362984,3395.0785775414024,2791.4137932399253,0.001977968367549635,2.1844142499612644,8,0
35,2025-02-05,53970.48358545003,1382.2163387650612,2791.4137932399253,2720.898230478957,0.001595384029262209,1.0675580420065671,8,0
36,2025-02-06,54295.8096291095,69.47856357669956,2720.898230478957,3061.351166441417,0.0008318410264640618,1.180284500005655,8,0
37,2025-02-07,20372.80321968737,0.0,3061.351166441417,2202.6062706753755,0.00024866049301961444,0.830481291981414,7,0
38,2025-02-08,19970.132177312647,1986.8812347570572,2202.6062706753755,1490.4071284581437,0.0014999251648956623,0.4093494591070339,8,0
39,2025-02-09,52625.60843582495,388.74863097777154,1490.4071284581437,1776.1137952183717,0.0012202429458350818,0.7110560000874102,8,0
40,2025-02-10,53490.564359183525,20.774758787028514,1776.1137952183717,2214.007533231737,0.001064850812520775,0.6834257500013337,8,0
41,2025-02-11,51323.297837314094,0.0,2214.007533231737,1687.2730823466982,0.001969554499270621,2.3050313749117777,8,0
42,2025-02-12,51416.1796515788,0.4325254049701908,1687.2730823466982,1565.889638492842,0.0018977909524633817,1.8815161660313606,8,0
43,2025-02-13,50577.420788975825,70.52412877368927,1565.889638492842,1853.1900798972756,0.001975359731143261,3.3242175000486895,8,0
44,2025-02-14,18503.2632669198,0.0,1853.1900798972756,2113.2532796491287,0.0005771578831125872,0.5009730829624459,8,0
45,2025-02-15,18524.35173351192,0.0,2113.2532796491287,1917.2276776875403,0.0006326240563483003,0.6825902090640739,8,0
46,2025-02-16,49003.64392655407,361.37322981739476,1917.2276776875403,1511.9347524535767,0.0019628556681125973,2.590045499964617,8,0
47,2025-02-17,49420.88493924917,16.940310448971715,1511.9347524535767,1688.661671626381,0.001981717765469071,3.966653999988921,8,0
48,2025-02-18,47848.96801196985,36.7311157330554,1688.661671626381,1676.3888109121372,0.0019844516359573626,1.8780948750209063,8,0
49,2025-02-19,48187.34596418623,161.16602661194898,1676.3888109121372,1274.6468758990698,0.0019920916586431475,1.6962817079620436,8,0
50,2025-02-20,47616.7545064625,0.0,1274.6468758990698,1739.830131057171,0.0019689062264925247,3.8314239159226418,8,0
51,2025-02-21,17488.717598912466,19.176881016366945,1739.830131057171,1947.6368343686095,6.805247664239763e-05,0.592690167017281,8,0
52,2025-02-22,18019.60274865702,0.0,1947.6368343686095,1767.2499041888739,6.646665431746632e-05,2.4877496249973774,8,0
53,2025-02-23,47076.48207109234,219.6580800019062,1767.2499041888739,1286.53090453773,0.0018748704993841426,3.3511304169660434,8,0
54,2025-02-24,46630.61974361865,82.67020915097213,1286.53090453773,1613.8043940757238,0.0019789787608417535,2.6192581669893116,8,0
55,2025-02-25,45559.97047634816,60.161489767398734,1613.8043940757238,1362.3229070558816,0.0017469603179799125,0.3528517079539597,8,0
56,2025-02-26,45649.59730795656,393.66436071149246,1362.3229070558816,1624.197706334559,0.001999601460549156,4.610223916941322,8,0
57,2025-02-27,44416.63087828196,259.6911156213557,1624.197706334559,1312.594426620472,0.001977743142671929,4.281545041012578,8,0
