scenario,issue_hour,month,period,target,population,unit,n,absolute_error_sum,squared_error_sum,signed_error_sum,actual_abs_sum,mae,rmse,wape_pct,bias,name,seed,case_id,exploratory,label,date
2,0,5,monthly,pv,all,kW,4464,1103426.261766638,968069859.2682172,-676805.377844248,12528226.6982,247.18330236707845,465.6839353186321,8.80752151399985,-151.6141079400197,oracle_season,2026,oracle_season_seed_2026,True,exp004 全年探索,2025-05-01
2,0,5,monthly,pv,pv_generating,kW,2747,1100954.3514509462,968007654.8146594,-679277.2881599397,12528226.6982,400.78425607970377,593.6221070474766,8.787790786138364,-247.2796826210192,oracle_season,2026,oracle_season_seed_2026,True,exp004 全年探索,2025-05-01
2,0,5,monthly,net_load,all,kW,4464,1831867.7242472456,1500594720.81583,1365601.0905037108,12329827.1922,410.36463356793143,579.7885229681192,14.857205179697146,305.9142227830893,oracle_season,2026,oracle_season_seed_2026,True,exp004 全年探索,2025-05-01
2,0,5,monthly,net_load,pv_generating,kW,2747,1447887.7456028415,1372412445.6779425,1115663.5597722223,6273829.088099999,527.079630725461,706.8267777917026,23.07821467991771,406.1389005359382,oracle_season,2026,oracle_season_seed_2026,True,exp004 全年探索,2025-05-01
2,0,6,monthly,load,all,kW,4320,959932.0958171486,332356859.04325414,394773.8081689285,20737609.7592,222.20650366137696,277.3706150836177,4.628942809531296,91.38282596502974,oracle_season,2026,oracle_season_seed_2026,True,exp004 全年探索,2025-06-01
2,0,6,monthly,load,pv_generating,kW,2765,577373.0964724801,189481975.3994271,283307.3854941974,14541332.1321,208.81486310035447,261.7799521798122,3.970565359675189,102.46198390386888,oracle_season,2026,oracle_season_seed_2026,True,exp004 全年探索,2025-06-01
2,0,6,monthly,pv,all,kW,4320,1006666.6505840116,851797073.2627203,-334361.54498676705,10237650.7621,233.02468763518783,444.0441964944982,9.832984871008811,-77.39850578397386,oracle_season,2026,oracle_season_seed_2026,True,exp004 全年探索,2025-06-01
2,0,6,monthly,pv,pv_generating,kW,2765,1002477.1813281524,851694618.6414199,-338551.01424262614,10237650.7621,362.5595592506881,555.0017899524497,9.792062697033428,-122.44159647111252,oracle_season,2026,oracle_season_seed_2026,True,exp004 全年探索,2025-06-01
2,0,6,monthly,net_load,all,kW,4320,1683360.5767665391,1295835989.202895,729135.3531556956,12512603.2655,389.6668001774396,547.6878988417648,13.45332015287286,168.7813317490036,oracle_season,2026,oracle_season_seed_2026,True,exp004 全年探索,2025-06-01
2,0,6,monthly,net_load,pv_generating,kW,2765,1302761.8319051056,1153744681.8768983,621858.3997368235,6316325.6384,471.1616028589894,645.9624726325138,20.625311399161976,224.90358037498137,oracle_season,2026,oracle_season_seed_2026,True,exp004 全年探索,2025-06-01
2,0,7,monthly,load,all,kW,4464,1199744.8994855396,497844917.307816,70369.61409613967,23825522.6407,268.7600581284811,333.95268982071286,5.03554493883829,15.763802440891505,oracle_season,2026,oracle_season_seed_2026,True,exp004 全年探索,2025-07-01
2,0,7,monthly,load,pv_generating,kW,2784,737636.0675813262,303182892.0105316,33743.667560606,16157122.530900002,264.9554840450166,330.00288008720753,4.565392545427689,12.120570244470546,oracle_season,2026,oracle_season_seed_2026,True,exp004 全年探索,2025-07-01
2,0,7,monthly,pv,all,kW,4464,1143364.3594448688,1014904669.0232748,-828737.8862260943,12156607.0836,256.1300088362161,476.8156839553281,9.405291719819887,-185.64916806140107,oracle_season,2026,oracle_season_seed_2026,True,exp004 全年探索,2025-07-01
2,0,7,monthly,pv,pv_generating,kW,2784,1141662.598749234,1014869740.5465052,-830439.6469217293,12156607.0836,410.07995644728226,603.7686185423453,9.391293071315976,-298.290103060966,oracle_season,2026,oracle_season_seed_2026,True,exp004 全年探索,2025-07-01
2,0,7,monthly,net_load,all,kW,4464,1870594.4916083352,1438865972.296,899107.5003222339,14558102.5933,419.03998467928653,567.7381497637205,12.849164096901124,201.41297050229252,oracle_season,2026,oracle_season_seed_2026,True,exp004 全年探索,2025-07-01
2,0,7,monthly,net_load,pv_generating,kW,2784,1408591.2905086686,1244131284.5267272,864183.3144823355,6889702.4835,505.9595152689183,668.4955027957657,20.444878336649133,310.4106733054366,oracle_season,2026,oracle_season_seed_2026,True,exp004 全年探索,2025-07-01
2,0,8,monthly,load,all,kW,4464,966248.5967237625,324828965.55662346,637037.403687804,22521670.3527,216.45353869259912,269.7523778037644,4.290306098934284,142.70551157880914,oracle_season,2026,oracle_season_seed_2026,True,exp004 全年探索,2025-08-01
2,0,8,monthly,load,pv_generating,kW,2668,580792.339681085,194814036.25696465,398573.46044117305,14745514.2869,217.68828323878748,270.2198257331466,3.938773028737725,149.3903524891953,oracle_season,2026,oracle_season_seed_2026,True,exp004 全年探索,2025-08-01
2,0,8,monthly,pv,all,kW,4464,1270543.36725022,1199575723.6019816,-963609.0083501344,13016993.1671,284.6199299395654,518.3841821517159,9.760651718412776,-215.8622330533455,oracle_season,2026,oracle_season_seed_2026,True,exp004 全年探索,2025-08-01
2,0,8,monthly,pv,pv_generating,kW,2668,1267279.689627145,1199493010.1496885,-966872.6859732092,13016993.1671,474.9923874164711,670.5110634903809,9.735579279784448,-362.39605921034826,oracle_season,2026,oracle_season_seed_2026,True,exp004 全年探索,2025-08-01
2,0,8,monthly,net_load,all,kW,4464,2009842.4940057516,1813987278.127832,1600646.4120379384,14763437.7052,450.23353360343896,637.4630634685439,13.613648353038004,358.56774463215464,oracle_season,2026,oracle_season_seed_2026,True,exp004 全年探索,2025-08-01
2,0,8,monthly,net_load,pv_generating,kW,2668,1625245.0058161877,1684446990.9214048,1365446.1464143822,6987281.6394,609.1622960330537,794.5765826040404,23.2600471784582,511.7864116995435,oracle_season,2026,oracle_season_seed_2026,True,exp004 全年探索,2025-08-01
2,0,9,monthly,load,all,kW,4320,1089456.291071233,521363617.4592652,838095.4216151778,19595133.0698,252.18895626648916,347.3989386282219,5.5598310416697405,194.00356981832817,oracle_season,2026,oracle_season_seed_2026,True,exp004 全年探索,2025-09-01
2,0,9,monthly,load,pv_generating,kW,2415,546176.2627200487,237383981.7179296,412068.7842280949,12617957.8663,226.1599431552997,313.5213622764764,4.328563056774618,170.62889616070183,oracle_season,2026,oracle_season_seed_2026,True,exp004 全年探索,2025-09-01
2,0,9,monthly,pv,all,kW,4320,914913.080438501,782458428.9506018,-595232.6178468997,11264829.8663,211.78543528669005,425.58740151836946,8.121854402573499,-137.78532820530086,oracle_season,2026,oracle_season_seed_2026,True,exp004 全年探索,2025-09-01
2,0,9,monthly,pv,pv_generating,kW,2415,908699.2808818532,782300385.128871,-601446.4174035473,11264829.8663,376.2729941539765,569.1519189861884,8.066693342616109,-249.04613557082703,oracle_season,2026,oracle_season_seed_2026,True,exp004 全年探索,2025-09-01
2,0,9,monthly,net_load,all,kW,4320,1828186.9270241633,1551301092.215473,1433328.0394620774,12992757.2159,423.1914182926304,599.2474238992421,14.070815737147027,331.78889802362903,oracle_season,2026,oracle_season_seed_2026,True,exp004 全年探索,2025-09-01
2,0,9,monthly,net_load,pv_generating,kW,2415,1287482.5674795303,1269361721.263761,1013515.2016316424,6015582.0124,533.1190755608822,724.9935307096993,21.40246055702715,419.675031731529,oracle_season,2026,oracle_season_seed_2026,True,exp004 全年探索,2025-09-01
2,0,10,monthly,load,all,kW,4464,765752.8679029632,212818250.04632115,607219.9693474259,19405095.0093,171.5396209460043,218.34454233637877,3.946143358411653,136.02597879646638,oracle_season,2026,oracle_season_seed_2026,True,exp004 全年探索,2025-10-01
2,0,10,monthly,load,pv_generating,kW,2321,369707.32808036206,91581531.09948492,283025.85059916636,11964408.5436,159.28794833277124,198.63985053234143,3.090059376801588,121.94134019783128,oracle_season,2026,oracle_season_seed_2026,True,exp004 全年探索,2025-10-01
2,0,10,monthly,pv,all,kW,4464,761953.9559836851,599343666.5100834,-565014.3157258425,10554293.4631,170.68861021139898,366.4172130768384,7.219374358384427,-126.57130728625503,oracle_season,2026,oracle_season_seed_2026,True,exp004 全年探索,2025-10-01
2,0,10,monthly,pv,pv_generating,kW,2321,759061.5802406127,599238286.6199579,-567906.6914689147,10554293.4631,327.04074978053114,508.11522312771825,7.191969627284379,-244.68190067596495,oracle_season,2026,oracle_season_seed_2026,True,exp004 全年探索,2025-10-01
2,0,10,monthly,net_load,all,kW,4464,1394408.732282922,955489039.2850752,1172234.2850732682,13205688.9884,312.367547554418,462.64807744920455,10.559151692181937,262.5972860827214,oracle_season,2026,oracle_season_seed_2026,True,exp004 全年探索,2025-10-01
2,0,10,monthly,net_load,pv_generating,kW,2321,999548.2778309355,834729261.0767465,850932.5420680811,5765002.5227,430.65414813913645,599.7016567886038,17.338210588723282,366.62324087379625,oracle_season,2026,oracle_season_seed_2026,True,exp004 全年探索,2025-10-01
2,0,11,monthly,load,all,kW,4320,768569.8214856242,200695309.01946023,654296.3132075819,18738740.217699997,177.90968089945005,215.53943365010588,4.1015020890233505,151.45747990916246,oracle_season,2026,oracle_season_seed_2026,True,exp004 全年探索,2025-11-01
2,0,11,monthly,load,pv_generating,kW,2095,357122.4369194481,91399190.51437798,297141.1434427284,10922633.644900002,170.4641703672783,208.87148818084793,3.2695634453161007,141.8334813569109,oracle_season,2026,oracle_season_seed_2026,True,exp004 全年探索,2025-11-01
2,0,11,monthly,pv,all,kW,4320,483721.2393883749,231115570.10269475,-247068.97213000697,8010905.7698,111.97250911767937,231.29845343367293,6.038283975476738,-57.19189169676086,oracle_season,2026,oracle_season_seed_2026,True,exp004 全年探索,2025-11-01
2,0,11,monthly,pv,pv_generating,kW,2095,480410.74016348727,231037146.42137817,-250379.47135489451,8010905.7698,229.3130024646717,332.08471934381475,5.996959070153701,-119.51287415508092,oracle_season,2026,oracle_season_seed_2026,True,exp004 全年探索,2025-11-01
2,0,11,monthly,net_load,all,kW,4320,1104342.006670761,502937913.270362,901365.2853375887,12694137.6827,255.63472376637984,341.20494318961477,8.699622095448008,208.6493716059233,oracle_season,2026,oracle_season_seed_2026,True,exp004 全年探索,2025-11-01
2,0,11,monthly,net_load,pv_generating,kW,2095,694877.3734005183,394485400.5266789,547520.6147976229,4878031.1099,331.68371045370804,433.9337743686175,14.245037756939672,261.3463555119918,oracle_season,2026,oracle_season_seed_2026,True,exp004 全年探索,2025-11-01
2,0,12,monthly,load,all,kW,4464,916634.5603552614,278632729.57241106,456077.3974694242,20941989.5206,205.33928323370552,249.83539812983713,4.377017567760674,102.16787577720076,oracle_season,2026,oracle_season_seed_2026,True,exp004 全年探索,2025-12-01
2,0,12,monthly,load,pv_generating,kW,2097,446354.5969882452,140631199.09407324,163838.01630459965,11943412.0743,212.8538850683096,258.96532974429675,3.737245221143439,78.12971688345239,oracle_season,2026,oracle_season_seed_2026,True,exp004 全年探索,2025-12-01
2,0,12,monthly,pv,all,kW,4464,444110.1104861573,206662854.05949277,-227258.55026661055,6757767.9032,99.48703191894204,215.16375674733956,6.571846160562251,-50.90917344682136,oracle_season,2026,oracle_season_seed_2026,True,exp004 全年探索,2025-12-01
2,0,12,monthly,pv,pv_generating,kW,2097,442200.8413492199,206625864.09831187,-229167.8194035479,6757767.9032,210.87307646600857,313.90130856754286,6.543593205381098,-109.2836525529556,oracle_season,2026,oracle_season_seed_2026,True,exp004 全年探索,2025-12-01
2,0,12,monthly,net_load,all,kW,4464,1168209.8216826683,515149016.285491,683335.9477360348,14723218.5464,261.69574858482713,339.7068814388796,7.934473145264215,153.07704922402212,oracle_season,2026,oracle_season_seed_2026,True,exp004 全年探索,2025-12-01
