predictor_id,scenario,issue_hour,month,period,target,population,unit,n,absolute_error_sum,squared_error_sum,signed_error_sum,actual_abs_sum,mae,rmse,wape_pct,bias,label,experiment,source,seed,exploratory,name,case_id,alpha_load,alpha_pv
uncalibrated_seed_42,2,0,0,annual,pv,pv_generating,kW,26880,8161879.312038937,5542299623.21223,436607.55274254194,114413339.9657,303.6413434538295,454.07790293624595,7.133678043561868,16.242840503814804,exp003 未校准,exp003,data/results/exp003/forecast_annual.csv,42,False,uncalibrated,uncalibrated_seed_42,1.0,1.0
uncalibrated_seed_42,2,0,0,annual,net_load,all,kW,48096,13245859.215322647,7873159878.755345,-750797.1052542283,144333055.96420002,275.40459113694794,404.5945755933182,9.177287300428333,-15.610385588286515,exp003 未校准,exp003,data/results/exp003/forecast_annual.csv,42,False,uncalibrated,uncalibrated_seed_42,1.0,1.0
uncalibrated_seed_42,2,0,0,annual,net_load,pv_generating,kW,26880,9884585.064080387,6907524632.401008,-707128.6431829375,65091408.59120001,367.73009911013344,506.9283606314974,15.185698509244933,-26.306869166031905,exp003 未校准,exp003,data/results/exp003/forecast_annual.csv,42,False,uncalibrated,uncalibrated_seed_42,1.0,1.0
,2,0,0,annual,load,all,kW,48096,9400726.962632872,3209204298.777941,4865529.367614788,222048476.9355,195.4575632616615,258.3117746935212,4.233637218490613,101.1628694198018,exp004 无季节,exp004,data/results/exp004/forecast_annual.csv,42,False,no_season,no_season_seed_42,,
,2,0,0,annual,load,pv_generating,kW,26880,5156415.262762263,1708725101.667789,2576559.430490757,142806829.5625,191.83092495395329,252.12822566135063,3.61076236939042,95.85414547956684,exp004 无季节,exp004,data/results/exp004/forecast_annual.csv,42,False,no_season,no_season_seed_42,,
,2,0,0,annual,pv,all,kW,48096,10216542.024260243,8646471185.873417,-6521622.830910889,114413339.9657,212.41978593355464,423.9991342452028,8.929502475256,-135.59595040982387,exp004 无季节,exp004,data/results/exp004/forecast_annual.csv,42,False,no_season,no_season_seed_42,,
,2,0,0,annual,pv,pv_generating,kW,26880,10196459.224565892,8645922788.59077,-6541705.630605243,114413339.9657,379.3325604377192,567.1409994578295,8.911949627222393,-243.36702494811172,exp004 无季节,exp004,data/results/exp004/forecast_annual.csv,42,False,no_season,no_season_seed_42,,
,2,0,0,annual,net_load,all,kW,48096,17281430.16443876,13248292996.045303,11387152.198525678,144333055.96420002,359.3111727469802,524.8382547955927,11.973300259592094,236.7588198296257,exp004 无季节,exp004,data/results/exp004/forecast_annual.csv,42,False,no_season,no_season_seed_42,,
,2,0,0,annual,net_load,pv_generating,kW,26880,13042981.25307192,11750371274.714865,9118265.061095998,65091408.59120001,485.22995733154465,661.1669898700756,20.037945921537883,339.2211704276785,exp004 无季节,exp004,data/results/exp004/forecast_annual.csv,42,False,no_season,no_season_seed_42,,
,2,0,0,annual,load,all,kW,48096,9563633.669258084,3242702837.456779,5047042.427845965,222048476.9355,198.84467875203933,259.65643874419953,4.3070025974715875,104.9368435596716,exp004 历史季节,exp004,data/results/exp004/forecast_annual.csv,42,False,causal_season,causal_season_seed_42,,
,2,0,0,annual,load,pv_generating,kW,26880,5255062.651135865,1739128255.085919,2703120.1420565713,142806829.5625,195.50084267618544,254.3613804624356,3.679839869868384,100.56250528484269,exp004 历史季节,exp004,data/results/exp004/forecast_annual.csv,42,False,causal_season,causal_season_seed_42,,
,2,0,0,annual,pv,all,kW,48096,10179211.751146138,8629944264.828342,-6439035.887208229,114413339.9657,211.6436242337437,423.59372308001866,8.896874922275467,-133.87882333683112,exp004 历史季节,exp004,data/results/exp004/forecast_annual.csv,42,False,causal_season,causal_season_seed_42,,
,2,0,0,annual,pv,pv_generating,kW,26880,10150998.596923571,8629153125.315792,-6467249.041430795,114413339.9657,377.6413168498352,566.5907181241383,8.872215949614565,-240.59706255322897,exp004 历史季节,exp004,data/results/exp004/forecast_annual.csv,42,False,causal_season,causal_season_seed_42,,
,2,0,0,annual,net_load,all,kW,48096,17309723.116704896,13209535646.27544,11486078.315054191,144333055.96420002,359.8994327325536,524.0699958748378,11.992902804606556,238.81566689650265,exp004 历史季节,exp004,data/results/exp004/forecast_annual.csv,42,False,causal_season,causal_season_seed_42,,
,2,0,0,annual,net_load,pv_generating,kW,26880,13013232.578489782,11711780871.08155,9170369.183487369,65091408.59120001,484.1232358069116,660.0803993429769,19.992243001250856,341.15956783807167,exp004 历史季节,exp004,data/results/exp004/forecast_annual.csv,42,False,causal_season,causal_season_seed_42,,
,2,0,0,annual,load,all,kW,48096,9703457.089910066,3226701787.772354,5602943.387533587,222048476.9355,201.7518523351228,259.0150118414097,4.36997236992024,116.49499724579148,exp004 全年探索,exp004,data/results/exp004/forecast_annual.csv,42,True,oracle_season,oracle_season_seed_42,,
,2,0,0,annual,load,pv_generating,kW,26880,5355846.219010664,1745741876.735944,3015764.760878181,142806829.5625,199.2502313620039,254.8445689883445,3.7504132228260527,112.19362949695612,exp004 全年探索,exp004,data/results/exp004/forecast_annual.csv,42,True,oracle_season,oracle_season_seed_42,,
,2,0,0,annual,pv,all,kW,48096,10129362.797872048,8633194586.00444,-6469334.861580165,114413339.9657,210.60717726779873,423.6734852425439,8.853305742939355,-134.50879203218906,exp004 全年探索,exp004,data/results/exp004/forecast_annual.csv,42,True,oracle_season,oracle_season_seed_42,,
,2,0,0,annual,pv,pv_generating,kW,26880,10109119.848645069,8632648992.313637,-6489577.810807145,114413339.9657,376.08332770256953,566.7054759222285,8.835612920377715,-241.42774593776585,exp004 全年探索,exp004,data/results/exp004/forecast_annual.csv,42,True,oracle_season,oracle_season_seed_42,,
,2,0,0,annual,net_load,all,kW,48096,17461192.083089765,13363439796.839016,12072278.249113752,144333055.96420002,363.0487375891917,527.1141215838684,12.097846862897985,251.00378927798053,exp004 全年探索,exp004,data/results/exp004/forecast_annual.csv,42,True,oracle_season,oracle_season_seed_42,,
,2,0,0,annual,net_load,pv_generating,kW,26880,13122993.140911112,11886982440.662642,9505342.571685323,65091408.59120001,488.2065900636575,664.9992850611155,20.160868269618717,353.6213754347219,exp004 全年探索,exp004,data/results/exp004/forecast_annual.csv,42,True,oracle_season,oracle_season_seed_42,,
