previous_experiment,previous_label,current_experiment,current_label,task,metric,population,previous,current,unit,absolute_change_unit,absolute_change,relative_change_pct,comparable,seed,same_dispatch,previous_source,current_source,period
exp002,exp002 同确定性,exp004,exp004 无季节,dispatch,planned_kwh,all,19421489.42026521,20997147.61167249,kWh,kWh,1575658.191407282,8.112962694628214,True,42,True,data/results/exp003/baseline/exp002_q2_costs.csv,data/results/exp004/dispatch_metrics.csv,2025-02-01/2025-12-31
exp002,exp002 同确定性,exp004,exp004 无季节,dispatch,emergency_kwh,all,628285.6174340288,160912.16542074122,kWh,kWh,-467373.4520132876,-74.38869186948445,True,42,True,data/results/exp003/baseline/exp002_q2_costs.csv,data/results/exp004/dispatch_metrics.csv,2025-02-01/2025-12-31
exp002,exp002 同确定性,exp004,exp004 无季节,dispatch,charge_kwh,all,6315396.677972004,6313399.087586548,kWh,kWh,-1997.5903854556382,-0.03163048161999387,True,42,True,data/results/exp003/baseline/exp002_q2_costs.csv,data/results/exp004/dispatch_metrics.csv,2025-02-01/2025-12-31
exp002,exp002 同确定性,exp004,exp004 无季节,dispatch,discharge_kwh,all,5684067.42728647,5682140.768243726,kWh,kWh,-1926.659042743966,-0.03389578092432549,True,42,True,data/results/exp003/baseline/exp002_q2_costs.csv,data/results/exp004/dispatch_metrics.csv,2025-02-01/2025-12-31
exp002,exp002 同确定性,exp004,exp004 无季节,dispatch,daily_cvar90,all,84488.05931153643,67487.16166572644,元,元,-17000.897645809993,-20.122248971445604,True,42,True,data/results/exp003/baseline/exp002_q2_costs.csv,data/results/exp004/dispatch_metrics.csv,2025-02-01/2025-12-31
exp002,exp002 同确定性,exp004,exp004 无季节,dispatch,final_soc,all,1200.0,1335.7963148486438,kWh,kWh,135.79631484864376,11.316359570720314,True,42,True,data/results/exp003/baseline/exp002_q2_costs.csv,data/results/exp004/dispatch_metrics.csv,2025-02-01/2025-12-31
exp003,exp003 正式,exp004,exp004 无季节,dispatch,total_cost,all,14988622.648176515,13611587.832913524,元,元,-1377034.815262992,-9.187200502579328,True,42,True,data/results/exp003/dispatch_metrics.csv,data/results/exp004/dispatch_metrics.csv,2025-02-01/2025-12-31
exp003,exp003 正式,exp004,exp004 无季节,dispatch,planned_cost,all,11804823.080143536,12729841.366488617,元,元,925018.2863450814,7.835935194158234,True,42,True,data/results/exp003/dispatch_metrics.csv,data/results/exp004/dispatch_metrics.csv,2025-02-01/2025-12-31
exp003,exp003 正式,exp004,exp004 无季节,dispatch,emergency_cost,all,3183799.5680329795,881746.4664249112,元,元,-2302053.101608068,-72.30521433327309,True,42,True,data/results/exp003/dispatch_metrics.csv,data/results/exp004/dispatch_metrics.csv,2025-02-01/2025-12-31
exp003,exp003 正式,exp004,exp004 无季节,dispatch,planned_kwh,all,19576927.868703015,20997147.61167249,kWh,kWh,1420219.7429694757,7.254558797450206,True,42,True,data/results/exp003/dispatch_metrics.csv,data/results/exp004/dispatch_metrics.csv,2025-02-01/2025-12-31
exp003,exp003 正式,exp004,exp004 无季节,dispatch,emergency_kwh,all,549746.4200630353,160912.16542074122,kWh,kWh,-388834.25464229414,-70.72974747115396,True,42,True,data/results/exp003/dispatch_metrics.csv,data/results/exp004/dispatch_metrics.csv,2025-02-01/2025-12-31
exp003,exp003 正式,exp004,exp004 无季节,dispatch,charge_kwh,all,6341190.389431347,6313399.087586548,kWh,kWh,-27791.30184479896,-0.4382663212749109,True,42,True,data/results/exp003/dispatch_metrics.csv,data/results/exp004/dispatch_metrics.csv,2025-02-01/2025-12-31
exp003,exp003 正式,exp004,exp004 无季节,dispatch,discharge_kwh,all,5707232.234319866,5682140.768243726,kWh,kWh,-25091.46607613936,-0.4396433340359686,True,42,True,data/results/exp003/dispatch_metrics.csv,data/results/exp004/dispatch_metrics.csv,2025-02-01/2025-12-31
exp003,exp003 正式,exp004,exp004 无季节,dispatch,daily_cvar90,all,84837.27708831233,67487.16166572644,元,元,-17350.11542258589,-20.451051728740765,True,42,True,data/results/exp003/dispatch_metrics.csv,data/results/exp004/dispatch_metrics.csv,2025-02-01/2025-12-31
exp003,exp003 正式,exp004,exp004 无季节,dispatch,final_soc,all,1252.2126616066805,1335.7963148486438,kWh,kWh,83.58365324196325,6.674876864343418,True,42,True,data/results/exp003/dispatch_metrics.csv,data/results/exp004/dispatch_metrics.csv,2025-02-01/2025-12-31
exp003,exp003 未校准,exp004,exp004 无季节,dispatch,total_cost,all,15258030.09119114,13611587.832913524,元,元,-1646442.2582776155,-10.79066071070439,True,42,True,data/results/exp003/dispatch_metrics.csv,data/results/exp004/dispatch_metrics.csv,2025-02-01/2025-12-31
exp003,exp003 未校准,exp004,exp004 无季节,dispatch,planned_cost,all,11686193.33326584,12729841.366488617,元,元,1043648.0332227778,8.930607285538708,True,42,True,data/results/exp003/dispatch_metrics.csv,data/results/exp004/dispatch_metrics.csv,2025-02-01/2025-12-31
exp003,exp003 未校准,exp004,exp004 无季节,dispatch,emergency_cost,all,3571836.7579253,881746.4664249112,元,元,-2690090.2915003886,-75.31392036692422,True,42,True,data/results/exp003/dispatch_metrics.csv,data/results/exp004/dispatch_metrics.csv,2025-02-01/2025-12-31
exp003,exp003 未校准,exp004,exp004 无季节,dispatch,planned_kwh,all,19434153.144910023,20997147.61167249,kWh,kWh,1562994.4667624682,8.042513893494919,True,42,True,data/results/exp003/dispatch_metrics.csv,data/results/exp004/dispatch_metrics.csv,2025-02-01/2025-12-31
exp003,exp003 未校准,exp004,exp004 无季节,dispatch,emergency_kwh,all,607930.405578771,160912.16542074122,kWh,kWh,-447018.24015802983,-73.53115357545784,True,42,True,data/results/exp003/dispatch_metrics.csv,data/results/exp004/dispatch_metrics.csv,2025-02-01/2025-12-31
exp003,exp003 未校准,exp004,exp004 无季节,dispatch,charge_kwh,all,6320654.212443613,6313399.087586548,kWh,kWh,-7255.124857065268,-0.11478439751983174,True,42,True,data/results/exp003/dispatch_metrics.csv,data/results/exp004/dispatch_metrics.csv,2025-02-01/2025-12-31
exp003,exp003 未校准,exp004,exp004 无季节,dispatch,discharge_kwh,all,5688799.208310919,5682140.768243726,kWh,kWh,-6658.44006719254,-0.11704473691855825,True,42,True,data/results/exp003/dispatch_metrics.csv,data/results/exp004/dispatch_metrics.csv,2025-02-01/2025-12-31
exp003,exp003 未校准,exp004,exp004 无季节,dispatch,daily_cvar90,all,82559.01029586731,67487.16166572644,元,元,-15071.84863014087,-18.255849453775888,True,42,True,data/results/exp003/dispatch_metrics.csv,data/results/exp004/dispatch_metrics.csv,2025-02-01/2025-12-31
exp003,exp003 未校准,exp004,exp004 无季节,dispatch,final_soc,all,1200.0,1335.7963148486438,kWh,kWh,135.79631484864376,11.316359570720314,True,42,True,data/results/exp003/dispatch_metrics.csv,data/results/exp004/dispatch_metrics.csv,2025-02-01/2025-12-31
exp001,exp001 原登记（不可比）,exp004,exp004 无季节,dispatch,total_cost,all,16258308.21735459,13611587.832913524,元,元,,,False,42,False,data/results/exp003/baseline/exp001_original_q2_costs.csv,data/results/exp004/dispatch_metrics.csv,2025-02-01/2025-12-31
exp001,exp001 原登记（不可比）,exp004,exp004 无季节,dispatch,planned_cost,all,12025380.561354762,12729841.366488617,元,元,,,False,42,False,data/results/exp003/baseline/exp001_original_q2_costs.csv,data/results/exp004/dispatch_metrics.csv,2025-02-01/2025-12-31
exp001,exp001 原登记（不可比）,exp004,exp004 无季节,dispatch,emergency_cost,all,4232927.655999829,881746.4664249112,元,元,,,False,42,False,data/results/exp003/baseline/exp001_original_q2_costs.csv,data/results/exp004/dispatch_metrics.csv,2025-02-01/2025-12-31
exp001,exp001 原登记（不可比）,exp004,exp004 无季节,dispatch,planned_kwh,all,19836870.499803584,20997147.61167249,kWh,kWh,,,False,42,False,data/results/exp003/baseline/exp001_original_q2_costs.csv,data/results/exp004/dispatch_metrics.csv,2025-02-01/2025-12-31
exp001,exp001 原登记（不可比）,exp004,exp004 无季节,dispatch,emergency_kwh,all,728394.1217597744,160912.16542074122,kWh,kWh,,,False,42,False,data/results/exp003/baseline/exp001_original_q2_costs.csv,data/results/exp004/dispatch_metrics.csv,2025-02-01/2025-12-31
exp001,exp001 原登记（不可比）,exp004,exp004 无季节,dispatch,charge_kwh,all,6359633.61873862,6313399.087586548,kWh,kWh,,,False,42,False,data/results/exp003/baseline/exp001_original_q2_costs.csv,data/results/exp004/dispatch_metrics.csv,2025-02-01/2025-12-31
exp001,exp001 原登记（不可比）,exp004,exp004 无季节,dispatch,discharge_kwh,all,5157736.177420782,5682140.768243726,kWh,kWh,,,False,42,False,data/results/exp003/baseline/exp001_original_q2_costs.csv,data/results/exp004/dispatch_metrics.csv,2025-02-01/2025-12-31
exp001,exp001 原登记（不可比）,exp004,exp004 无季节,dispatch,daily_cvar90,all,,67487.16166572644,元,元,,,False,42,False,data/results/exp003/baseline/exp001_original_q2_costs.csv,data/results/exp004/dispatch_metrics.csv,2025-02-01/2025-12-31
exp001,exp001 原登记（不可比）,exp004,exp004 无季节,dispatch,final_soc,all,1200.0,1335.7963148486438,kWh,kWh,,,False,42,False,data/results/exp003/baseline/exp001_original_q2_costs.csv,data/results/exp004/dispatch_metrics.csv,2025-02-01/2025-12-31
exp001,exp001 同口径重算,exp004,exp004 历史季节,dispatch,total_cost,all,15842654.19068547,13626145.40599084,元,元,-2216508.784694629,-13.990766686038018,True,42,True,data/results/exp003/baseline/exp002_q2_costs.csv,data/results/exp004/dispatch_metrics.csv,2025-02-01/2025-12-31
exp001,exp001 同口径重算,exp004,exp004 历史季节,dispatch,planned_cost,all,11613278.032118578,12727957.705010273,元,元,1114679.672891695,9.598320730881074,True,42,True,data/results/exp003/baseline/exp002_q2_costs.csv,data/results/exp004/dispatch_metrics.csv,2025-02-01/2025-12-31
exp001,exp001 同口径重算,exp004,exp004 历史季节,dispatch,emergency_cost,all,4229376.15856689,898187.7009805667,元,元,-3331188.457586324,-78.763116182957,True,42,True,data/results/exp003/baseline/exp002_q2_costs.csv,data/results/exp004/dispatch_metrics.csv,2025-02-01/2025-12-31
