variant,label,scope,points,transitions,mean_abs_delta_kw,rms_delta_kw,p95_abs_delta_kw,max_abs_delta_kw,total_variation_kw,jump_gt_1000_pct,direct_reversals,at_power_limit_pct
exp003,exp003 正式基线,evaluation,48096,48095,694.1467993392396,1631.2178423044493,4780.138296377523,9742.01766484375,33384990.314220726,13.86006861420106,7826,6.233366600133068
exp003,exp003 正式基线,full_year_with_warmup,52560,52559,703.8730187209997,1645.7106855467202,4796.348987890625,9742.01766484375,36994861.99095702,14.163130957590516,8671,6.499238964992389
no_season,exp004 无季节,evaluation,48096,48095,695.0916502376482,1636.9222250164546,4750.560895460602,9704.366750309031,33430432.91817969,14.377793949474999,6796,8.422737857618097
no_season,exp004 无季节,full_year_with_warmup,52560,52559,704.7376204820484,1650.8855192447552,4767.857926555721,9704.366750309031,37040304.594915986,14.636884263399228,7641,8.502663622526637
causal_season,exp004 历史季节（正式）,evaluation,48096,48095,695.3632888573826,1633.694123587929,4742.858710730654,9707.942106862884,33443497.377595816,14.467200332674915,6640,8.501746506986029
causal_season,exp004 历史季节（正式）,full_year_with_warmup,52560,52559,704.9861879855421,1647.9568653864242,4759.175722043867,9707.942106862884,37053369.05433211,14.71869708327784,7485,8.57496194824962
oracle_season,exp004 全年探索（含未来）,evaluation,48096,48095,692.7659152586482,1632.8119476424529,4738.223726427258,9654.67070834203,33318576.694364686,14.29046678448903,6500,8.616101131071192
oracle_season,exp004 全年探索（含未来）,full_year_with_warmup,52560,52559,702.609417437565,1647.156623757677,4758.030059611821,9654.67070834203,36928448.37110098,14.556974067238723,7345,8.679604261796042
