name,seed,case_id,exploratory,target,lead_start_hour,lead_end_hour,n,absolute_error_sum,squared_error_sum,signed_error_sum,actual_abs_sum,mae,rmse,wape_pct,bias,label,lead
no_season,42,no_season_seed_42,False,load,0,4,8016,1550744.70624257,524854385.801723,819563.176161855,27935677.3395,193.456175928464,255.882485786251,5.55112620824079,102.240915189852,exp004 无季节,0–4h
no_season,42,no_season_seed_42,False,pv,0,4,8016,761.161659681493,10249.6027725673,758.087259681492,1.6239,0.0949552968664536,1.13077100265704,46872.4465596091,0.0945717639323219,exp004 无季节,0–4h
no_season,42,no_season_seed_42,False,load,4,8,8016,1453206.44917182,425569192.418993,779469.758585288,32783673.431,181.288229687103,230.412606239645,4.4327139001991,97.2392413404801,exp004 无季节,4–8h
no_season,42,no_season_seed_42,False,pv,4,8,8016,820740.021989183,305169772.18072,-462111.694962813,7868652.7278,102.38772729406,195.115558989718,10.4305025317677,-57.6486645412691,exp004 无季节,4–8h
no_season,42,no_season_seed_42,False,load,8,12,8016,1432961.45060041,418785674.384054,742349.941918377,46507328.0133,178.762656013025,228.568855827512,3.08115196424661,92.6085256884203,exp004 无季节,8–12h
no_season,42,no_season_seed_42,False,pv,8,12,8016,4492975.13049117,4313845073.41637,-2922192.66173787,50642302.9044,560.500889532331,733.590025508794,8.87198028686172,-364.54499273177,exp004 无季节,8–12h
no_season,42,no_season_seed_42,False,load,12,16,8016,1562761.1019058,541433816.701259,804898.548520707,45186244.1546,194.955227283658,259.892552432803,3.45848859789935,100.41149557394,exp004 无季节,12–16h
no_season,42,no_season_seed_42,False,pv,12,16,8016,4235920.40372767,3809060269.61333,-2774031.3054377,49192026.388,528.433184097764,689.334584481977,8.61098985904145,-346.061789600511,exp004 无季节,12–16h
no_season,42,no_season_seed_42,False,load,16,20,8016,1694756.5463717,648669921.357015,859475.100539815,38937812.863,211.421724846769,284.467742243076,4.35246980187251,107.219947672133,exp004 无季节,16–20h
no_season,42,no_season_seed_42,False,pv,16,20,8016,664615.541880959,218364029.357646,-365572.464743768,6710354.7006,82.9111204941316,165.048543242444,9.90432803532029,-45.6053473981746,exp004 无季节,16–20h
no_season,42,no_season_seed_42,False,load,20,24,8016,1706296.70834057,649891308.114897,859772.841888746,30697741.1341,212.86136581095,284.73542980176,5.55837871225374,107.257091053985,exp004 无季节,20–24h
no_season,42,no_season_seed_42,False,pv,20,24,8016,1529.76451157834,21791.7025883726,1527.20871157834,1.621,0.190838886174942,1.64879524865963,94371.6540147032,0.190520048849593,exp004 无季节,20–24h
no_season,2026,no_season_seed_2026,False,load,0,4,8016,1605999.52697627,564404126.258622,949824.88044295,27935677.3395,200.349242387259,265.348254920866,5.74891923134237,118.491127799769,exp004 无季节,0–4h
no_season,2026,no_season_seed_2026,False,pv,0,4,8016,3423.86874324429,66253.5460320862,3421.47254324429,1.6239,0.427129334237062,2.87491963855592,210842.33901375,0.426830407091353,exp004 无季节,0–4h
no_season,2026,no_season_seed_2026,False,load,4,8,8016,1453613.1366482,429515576.558629,784253.835197248,32783673.431,181.33896415272,231.478470931573,4.43395441852369,97.8360572850859,exp004 无季节,4–8h
no_season,2026,no_season_seed_2026,False,pv,4,8,8016,758483.467203142,270114445.225552,-327316.133533351,7868652.7278,94.6211910183561,183.567186145931,9.63930539879356,-40.8328509896896,exp004 无季节,4–8h
no_season,2026,no_season_seed_2026,False,load,8,12,8016,1445883.04219965,429241218.69241,785807.153074,46507328.0133,180.374631012931,231.404529394096,3.1089359547514,98.0298344653194,exp004 无季节,8–12h
no_season,2026,no_season_seed_2026,False,pv,8,12,8016,4286161.57731412,3934891642.37628,-2617242.95109444,50642302.9044,534.700795573118,700.628072450158,8.4635992668132,-326.502364158488,exp004 无季节,8–12h
no_season,2026,no_season_seed_2026,False,load,12,16,8016,1598948.41031632,568112219.454075,901682.795930527,45186244.1546,199.46961206541,266.218487085377,3.53857338716998,112.485378733848,exp004 无季节,12–16h
no_season,2026,no_season_seed_2026,False,pv,12,16,8016,4077816.60409564,3526345015.84289,-2505104.28106223,49192026.388,508.709656199556,663.259602553632,8.28958858480851,-312.513009114549,exp004 无季节,12–16h
no_season,2026,no_season_seed_2026,False,load,16,20,8016,1773989.50832494,707525559.21572,1034748.40600347,38937812.863,221.306076387841,297.092858495164,4.55595570959929,129.085379990452,exp004 无季节,16–20h
no_season,2026,no_season_seed_2026,False,pv,16,20,8016,607111.640125738,195915762.450092,-291278.433816117,6710354.7006,75.737480055606,156.334862164539,9.04738523093948,-36.3371299670805,exp004 无季节,16–20h
no_season,2026,no_season_seed_2026,False,load,20,24,8016,1800932.04436957,717372661.855576,1072672.64143321,30697741.1341,224.667171203789,299.153133924539,5.86665981872211,133.816447284582,exp004 无季节,20–24h
no_season,2026,no_season_seed_2026,False,pv,20,24,8016,1578.31898183489,17431.9661149302,1575.66998183489,1.621,0.196896080568225,1.47466825809178,97366.9945610667,0.196565616496369,exp004 无季节,20–24h
no_season,3407,no_season_seed_3407,False,load,0,4,8016,1566777.48510049,543714409.815654,836163.788374982,27935677.3395,195.456273091379,260.439328710313,5.60851797527433,104.311849847178,exp004 无季节,0–4h
