variant,metric,baseline,current,absolute_change,relative_change_pct
no_season,mean_abs_delta_kw,694.1467993392396,695.0916502376482,0.9448508984086175,0.13611687027989236
no_season,rms_delta_kw,1631.2178423044493,1636.9222250164546,5.7043827120053265,0.3497008531948527
no_season,p95_abs_delta_kw,4780.138296377523,4750.560895460602,-29.57740091692085,-0.6187561757226805
no_season,max_abs_delta_kw,9742.01766484375,9704.366750309031,-37.65091453471905,-0.3864796372787415
no_season,total_variation_kw,33384990.314220726,33430432.91817969,45442.60395896435,0.13611687027989802
no_season,jump_gt_1000_pct,13.86006861420106,14.377793949474999,0.5177253352739388,3.7353735373537487
no_season,direct_reversals,7826.0,6796.0,-1030.0,-13.16125734730386
no_season,at_power_limit_pct,6.233366600133068,8.422737857618097,2.1893712574850293,35.12341561040692
causal_season,mean_abs_delta_kw,694.1467993392396,695.3632888573826,1.216489518143021,0.1752496041616847
causal_season,rms_delta_kw,1631.2178423044493,1633.694123587929,2.4762812834796932,0.15180567667046901
causal_season,p95_abs_delta_kw,4780.138296377523,4742.858710730654,-37.279585646869236,-0.7798850856495175
causal_season,max_abs_delta_kw,9742.01766484375,9707.942106862884,-34.075557980866506,-0.34977926701812273
causal_season,total_variation_kw,33384990.314220726,33443497.377595816,58507.06337508932,0.17524960416168686
causal_season,jump_gt_1000_pct,13.86006861420106,14.467200332674915,0.6071317184738554,4.380438043804392
causal_season,direct_reversals,7826.0,6640.0,-1186.0,-15.154612829031434
causal_season,at_power_limit_pct,6.233366600133068,8.501746506986029,2.268379906852961,36.39092728485657
oracle_season,mean_abs_delta_kw,694.1467993392396,692.7659152586482,-1.380884080591386,-0.19893257188621394
oracle_season,rms_delta_kw,1631.2178423044493,1632.8119476424529,1.594105338003601,0.09772485909984782
oracle_season,p95_abs_delta_kw,4780.138296377523,4738.223726427258,-41.914569950265104,-0.8768484790916768
oracle_season,max_abs_delta_kw,9742.01766484375,9654.67070834203,-87.34695650172034,-0.8966002681039204
oracle_season,total_variation_kw,33384990.314220726,33318576.694364686,-66413.61985604092,-0.1989325718862086
oracle_season,jump_gt_1000_pct,13.86006861420106,14.29046678448903,0.43039817028797067,3.1053105310530977
oracle_season,direct_reversals,7826.0,6500.0,-1326.0,-16.943521594684384
oracle_season,at_power_limit_pct,6.233366600133068,8.616101131071192,2.382734530938124,38.22548365577051
