predictor_id,scenario,issue_hour,month,period,target,population,unit,n,absolute_error_sum,squared_error_sum,signed_error_sum,actual_abs_sum,mae,rmse,wape_pct,bias
exp001_mlp,2,0,2,monthly,load,all,kW,4032,2245988.5116640623,3028372767.2825704,443295.256775,18212126.7901,557.0408015039837,866.6513230215955,12.33237906560681,109.94426011284723
exp001_mlp,2,0,2,monthly,load,pv_generating,kW,2036,1467167.9690093752,2393194774.405902,193469.8834,11041710.0541,720.6129513798503,1084.1768659327333,13.287506752313131,95.02450068762279
exp001_mlp,2,0,2,monthly,pv,all,kW,4032,1316958.1601408138,710218518.3028436,-31834.428995017,7928848.7577,326.62652781270185,419.69687376595925,16.60970211926248,-7.895443699160962
exp001_mlp,2,0,2,monthly,pv,pv_generating,kW,2036,824830.9732241643,562722569.2245469,-523961.6159116663,7928848.7577,405.1232677918292,525.7245768084144,10.402909658519345,-257.34853433775356
exp001_mlp,2,0,2,monthly,net_load,all,kW,4032,2679385.0231035175,3508066799.464828,475129.68577001704,11949435.2218,664.5300156506739,932.768057915401,22.422691728688324,117.8397038120082
exp001_mlp,2,0,2,monthly,net_load,pv_generating,kW,2036,1781260.6048783166,2813192960.6997824,717431.4993116664,4779018.4858,874.8824188989768,1175.4681717258707,37.27251966425772,352.3730350253764
exp001_mlp,2,0,3,monthly,load,all,kW,4464,2357666.190653125,1902018708.2118704,-1272766.0274140625,19443840.3155,528.1510283721158,652.7476233008293,12.125517142689501,-285.11783768236165
exp001_mlp,2,0,3,monthly,load,pv_generating,kW,2426,1419235.026904297,1305823413.288849,-633526.0860121094,12447297.5511,585.0103161188364,733.6633547418286,11.401953083212634,-261.1401838467063
exp001_mlp,2,0,3,monthly,pv,all,kW,4464,1602323.5150625417,1091672792.9434824,-155526.77018590615,10285934.3167,358.9434397541536,494.52033005952137,15.577812046311116,-34.84022629612593
exp001_mlp,2,0,3,monthly,pv,pv_generating,kW,2426,1113210.1674754927,927047052.9866595,-644640.1177729552,10285934.3167,458.8665158596425,618.1665351705183,10.82264511127697,-265.7214005659337
exp001_mlp,2,0,3,monthly,net_load,all,kW,4464,2931635.8440246284,3022943909.4489555,-1117239.257228156,12562015.0946,656.7284596829364,822.9111588830185,23.33730553535828,-250.2776113862357
exp001_mlp,2,0,3,monthly,net_load,pv_generating,kW,2426,1705090.402568211,1960944231.2434072,11114.031760845806,5565472.3302,702.840231891266,899.0569922803912,30.636939713379856,4.581216719227455
exp001_mlp,2,0,4,monthly,load,all,kW,4320,1898426.2217953126,1235823207.726408,-1018433.57268125,18977659.7719,439.4505143044705,534.8552953591332,10.003479062293499,-235.74851219473382
exp001_mlp,2,0,4,monthly,load,pv_generating,kW,2526,1224231.6237728517,866636008.7812798,-575941.6727447265,12832349.4944,484.65226594333,585.7356963092068,9.540198576317632,-228.00541280472152
exp001_mlp,2,0,4,monthly,pv,all,kW,4320,1885721.1388763173,1977533933.391799,-1371464.152644052,11671282.177900001,436.50952288803643,676.5814692861717,16.156932118794963,-317.4685538527898
exp001_mlp,2,0,4,monthly,pv,pv_generating,kW,2526,1694749.962427704,1942633589.1591535,-1562435.329092665,11671282.177900001,670.9223920933111,876.9579584847746,14.520683645510474,-618.5413020952752
exp001_mlp,2,0,4,monthly,net_load,all,kW,4320,2623433.763190663,2726367723.679785,353030.57996280165,12041832.4582,607.2763340719127,794.4203167975319,21.786001194562466,81.72004165805593
