name,date,day,channel,n,days,wape_pct,squared_error_sum_kw2,absolute_error_sum_kw,actual_absolute_sum_kw,rmse_kw,mae_kw,bias_kw,price_weighted_rmse_kw,high_price_rmse_kw,high_price_bias_kw,daily_energy_rmse_kwh,daily_energy_mae_kwh,cumulative_error_rmse_kwh,daily_level_mse_kw2,within_day_mse_kw2,high_price_underprediction_kwh
baseline,2025-02-01,31,load,144,1,6.679059740204434,8767249.177908976,30578.821875300368,457831.2377,246.7461749381135,212.3529296895859,202.7097164042848,242.84332968170867,241.5656732623647,182.8418504662511,4865.033193702835,4865.033193702835,3011.829448995221,41091.22912470557,19792.445721884542,62.76863391812276
baseline,2025-02-01,31,pv,144,1,6.655249676287319,9113126.349301537,16742.091309871565,251562.18209999998,251.5662927498979,116.2645229852192,-79.43176731908495,227.77023890795797,64.11830381603629,4.327670319268963,1906.362415658039,1906.362415658039,1380.32991471859,6309.405659433252,56976.19398849408,74.04012597063273
baseline,2025-02-01,31,net,144,1,13.039402841449554,23784372.26401896,43282.09123052177,331933.0782,406.410201438725,300.5700779897345,282.1414837233698,379.6924210495262,238.74536707719335,178.51418014698208,6771.395609360875,6771.395609360875,4337.420349467679,79603.81683762454,85565.4349958405,66.5251053056614
baseline,2025-02-02,32,load,144,1,4.747477838502339,11303743.529160695,34667.784478154805,730235.8359000001,280.1753360888585,240.7485033205195,-238.1243349351487,286.56242684570344,307.01569319557575,-275.25200747286544,5714.984038443569,5714.984038443569,3475.5400614923756,56703.198888306884,21795.020064197943,1653.5179873124016
baseline,2025-02-02,32,pv,144,1,6.109336016348513,6472902.104893079,15890.271067705333,260098.16820000001,212.0158226683978,110.34910463684258,-96.94648563356935,210.8108579245,186.7331435669555,-41.748139831242376,2326.7156552056645,2326.7156552056645,1488.520159788888,9398.621076699868,35552.087985057624,386.11477063339515
baseline,2025-02-02,32,net,144,1,5.787048261153209,8240856.716944388,27510.700250011098,475383.97829999996,239.2241033956385,191.04652951396596,-141.17784930157936,250.34929250546435,314.64435453483765,-233.5038676416231,3388.2683832379043,3388.2683832379043,2100.3838206616924,19931.18513341945,37296.986512027695,1503.265744131113
baseline,2025-02-03,33,load,144,1,1.993507806817957,2242134.5267378716,14664.694238808326,735622.6140000001,124.781323353705,101.83815443616894,22.18501642306477,115.66220386300489,105.11221763489092,34.489134527567735,532.4403941535545,532.4403941535545,213.08003223805025,492.17495369165357,15078.203704210235,151.9733293350893
baseline,2025-02-03,33,pv,144,1,7.106782331244799,7988665.2711795475,18074.048065444764,254321.115,235.53522488360224,125.51422267669975,95.02869744435492,234.0513461080374,168.36817094695945,22.15973260503792,2280.688738664518,2280.688738664518,1511.9715342205986,9030.453337970746,46446.388822998335,190.23733304778727
baseline,2025-02-03,33,net,144,1,5.586026079952177,9940506.726541623,26939.699866902123,482269.49679999996,262.73807625103484,187.0812490757092,-72.84368102129014,261.7060226743481,209.0439622895832,12.329401922529819,1748.2483445109635,1748.2483445109635,1337.2475279107903,5306.201864731465,63725.094847363136,397.8030682524168
baseline,2025-02-04,34,load,144,1,2.080926006373945,2647938.9909375045,15179.701662148032,729468.5930999999,135.604075214736,105.414594876028,39.62569917627953,137.031317703238,151.0052057216889,62.28027363323339,951.0167802307087,951.0167802307087,631.2829767808197,1570.1960352090005,16818.26917963478,192.8541460263829
baseline,2025-02-04,34,pv,144,1,8.493737659370554,10113054.364232775,20580.27618464024,242299.4094,265.0085738161332,142.91858461555722,133.70424396802943,285.55330457235186,307.79491797518074,177.07576077949696,3208.9018552327066,3208.9018552327066,2152.798697767887,17876.824855062336,52352.71934099859,0.014883333333333333
baseline,2025-02-04,34,net,144,1,5.591581150277317,10525796.951587964,27454.538414515526,490997.7639,270.3623719451457,190.65651676746893,-94.07854479174989,279.5439190323459,263.25677662623167,-114.7954871462636,2257.8850750019974,2257.8850750019974,1574.0371721665347,8850.77259013329,64245.039573672024,940.9338206628554
baseline,2025-02-05,35,load,144,1,2.195546358704139,2688450.9148679916,16070.22487331845,731946.5066,136.6374693117397,111.59878384248924,-57.114099728410096,137.7034268229415,122.05868757412836,-57.4032008597345,1370.7383934818424,1370.7383934818424,946.1269334260938,3262.0203877867743,15407.777632129832,491.9599728706021
