name,fold_month,date,day,channel,n,days,wape_pct,squared_error_sum_kw2,absolute_error_sum_kw,actual_absolute_sum_kw,rmse_kw,mae_kw,bias_kw,price_weighted_rmse_kw,high_price_rmse_kw,high_price_bias_kw,daily_energy_rmse_kwh,daily_energy_mae_kwh,cumulative_error_rmse_kwh,daily_level_mse_kw2,within_day_mse_kw2,high_price_underprediction_kwh
hgb_learning_rate_0.064,4,2025-04-01,90,load,144,1,2.18622914452033,2583938.779211634,15474.192800217217,707802.8778,133.95528843640625,107.45967222373068,-42.62769624424978,134.5857144104296,141.76857238550735,-57.17375012246993,1023.0647098619947,1023.0647098619947,768.7743399134321,1817.1204870920271,16126.898812988764,503.61436794338186
hgb_learning_rate_0.064,4,2025-04-01,90,pv,144,1,10.630660442867958,42843967.195168376,36840.52917604131,346549.7687,545.4608601599633,255.83700816695352,216.5620747463483,474.3850039485953,201.41385347258196,1.162229102836439,5197.489793912359,5197.489793912359,3536.6158238157905,46899.132218442945,250628.41774800408,326.27921701943785
hgb_learning_rate_0.064,4,2025-04-01,90,net,144,1,12.367846327459077,48205481.8854156,49235.759396839334,398094.8509,578.5847309348404,341.91499581138424,-259.1897709905981,512.9266643206249,271.80002543645725,-58.335979225306396,6220.554503774354,6220.554503774354,4234.404408921916,67179.33738615869,267580.95348478295,785.4596282093715
hgb_learning_rate_0.064,4,2025-04-02,91,load,144,1,2.024454907518435,1998868.2928553727,14331.5166606967,707919.7767,117.81778223806305,99.52442125483819,-18.41563879826978,116.59137338161936,122.47156830056547,-9.540455074026328,441.9753311584747,441.9753311584747,473.72558197549455,339.13575234833917,13541.894059147304,336.3047461827957
hgb_learning_rate_0.064,4,2025-04-02,91,pv,144,1,12.075467270599118,38113360.27785446,41697.52606088405,345307.7643,514.4668240427715,289.56615320058364,181.87684608802445,537.0201355017804,569.4374167984197,271.84607596366146,4365.044306112587,4365.044306112587,3521.5771286275517,33079.18714292694,231596.92589772906,164.3547352829357
hgb_learning_rate_0.064,4,2025-04-02,91,net,144,1,12.203339927342643,39557756.46224622,49811.82326567167,408181.8876,524.1246436668782,345.9154393449422,-200.29248488629423,545.9764052723816,574.8631670999804,-281.3865310376878,4807.019637271062,4807.019637271062,3954.4296137311844,40117.079501926404,234589.5625970057,1964.0661765131872
hgb_learning_rate_0.064,4,2025-04-03,92,load,144,1,1.999043839428121,2339717.988405807,14139.371743862384,707306.7366,127.46780607726579,98.19008155459989,-9.38005239201846,122.940448655124,130.04403815152384,23.822533261526107,225.12125740844303,225.12125740844303,214.54995208503104,87.98538287701122,16160.056203274426,249.43730094167162
hgb_learning_rate_0.064,4,2025-04-03,92,pv,144,1,7.482440724040818,20781482.955971148,27844.07407188291,372125.555,379.8892652614848,193.36162549918689,-117.97556517326198,360.2963279682969,239.9625539180069,18.94590787841,2831.4135641582875,2831.4135641582875,2004.2289420787483,13918.233977950586,130397.61988296018,333.9971999285956
hgb_learning_rate_0.064,4,2025-04-03,92,net,144,1,7.899359628842335,20819834.51083282,33969.76941209134,430031.93940000003,380.23964036250305,235.9011764728565,108.59551278124354,368.47189983209523,282.38231050999497,4.876625383116119,2606.292306749845,2606.292306749845,1817.9909393041162,11792.98539622123,132789.19870678443,482.8229872549352
hgb_learning_rate_0.064,4,2025-04-04,93,load,144,1,3.2969180750532927,2246047.5609755116,14190.413807514324,430414.5109,124.89016176934989,98.54454032996058,-7.618717028773034,121.80391285081907,101.82475845589117,2.7002933747101503,182.8492086905528,182.8492086905528,160.64278414623743,58.04484916451621,15539.50765760987,221.99497266166085
