fold_month,validation_days,date,day,channel,n,days,wape_pct,squared_error_sum_kw2,absolute_error_sum_kw,actual_absolute_sum_kw,rmse_kw,mae_kw,bias_kw,price_weighted_rmse_kw,high_price_rmse_kw,high_price_bias_kw,daily_energy_rmse_kwh,daily_energy_mae_kwh,cumulative_error_rmse_kwh,daily_level_mse_kw2,within_day_mse_kw2,high_price_underprediction_kwh
4,7,2025-04-01,90,load,144,1,2.175697524151855,2563606.52650082,15399.649688170177,707802.8778,133.42722023897576,106.94201172340401,-43.01903076760456,133.81325854133078,140.94626886776084,-56.9256540858884,1032.4567384225095,1032.4567384225095,782.2599203732435,1850.637008184108,15952.186092516033,499.9083226830646
4,7,2025-04-01,90,pv,144,1,10.666307172236973,43103596.03480937,36964.06283421874,346549.7687,547.1110746635545,256.6948807931857,216.54078739727146,475.84050643955106,203.62026071216096,-0.20093036875273482,5196.978897534515,5196.978897534515,3537.818915949133,46889.912606630314,252440.61541287927,334.6939833163578
4,7,2025-04-01,90,net,144,1,12.386593531113549,48521886.258960046,49310.391049275524,398094.8509,580.4804419315093,342.43327117552445,-259.55981816487605,514.3692834373127,271.8939775739082,-56.72472371713565,6229.435635957026,6229.435635957026,4248.517720088074,67371.29920578352,269586.24425921676,780.4375124814475
4,7,2025-04-02,91,load,144,1,2.016814919729998,1980965.2728080316,14277.431676204887,707919.7767,117.28897340922167,99.14883108475617,-17.219940322680795,116.08782016022822,121.5392659141824,-8.250189335902746,413.2785677443391,413.2785677443391,462.477438908934,296.52634471668796,13460.17693867242,330.0988860026759
4,7,2025-04-02,91,pv,144,1,12.060252415286563,38048771.52315656,41644.98798416278,345307.7643,514.0307189477304,289.20130544557486,182.0911035482825,536.3444157463409,568.5266900814871,271.5554663548199,4370.18648515878,4370.18648515878,3523.2223134830097,33157.169991431336,231070.4100304892,163.5356232867239
4,7,2025-04-02,91,net,144,1,12.152906046763981,39262772.767547294,49605.961299935756,408181.8876,522.166778164868,344.48584236066495,-199.31104387096326,543.9555340813182,572.6874836521414,-279.80565569072263,4783.465052903118,4783.465052903118,3942.7524212205044,39724.892208933044,232933.25201014537,1954.9503405583575
4,7,2025-04-03,92,load,144,1,1.9969973726005,2313187.939636168,14124.896946128338,707306.7366,126.74306740947324,98.08956212589123,-7.336286550109346,122.41674940982827,129.85925585605574,24.492949203262143,176.0708772026243,176.0708772026243,181.06856402449247,53.82110034531529,16009.984036016964,246.55059604400503
4,7,2025-04-03,92,pv,144,1,7.49061830834145,20811718.71341945,27874.50495284723,372125.555,380.1655223698569,193.57295106143908,-117.95390536201097,360.6865066401139,240.38594075675292,18.834728867171307,2830.8937286882633,2830.8937286882633,2004.3975923829564,13913.12379015024,130612.70060859594,334.56355638003714
4,7,2025-04-03,92,net,144,1,7.933777541379275,21066297.335644692,34117.777428874935,430031.93940000003,382.4836355944298,236.9290099227426,110.61761881190165,370.4484801061769,283.77364724490326,5.658220336090823,2654.8228514856396,2654.8228514856396,1851.3778940975749,12236.257591615178,134057.4739059174,482.82250329864956
4,7,2025-04-04,93,load,144,1,3.331138275996457,2311418.4140014043,14337.702518032842,430414.5109,126.69458064139381,99.56737859745029,-6.614550500621075,123.1025525911772,100.99790096575218,3.33611463110521,158.7492120149058,158.7492120149058,158.03067101617677,43.75227832526651,16007.764485573374,217.02821788726632
4,7,2025-04-04,93,pv,144,1,5.752561605580817,13360239.888351284,22540.244731895895,391829.6974,304.5971826348795,156.5294773048326,-138.2409229309577,326.0416307929184,351.0026897356803,-144.62258645934648,3317.7821503429846,3317.7821503429846,2165.437574134726,19110.55277280299,73668.89089630317,988.8210254543934
4,7,2025-04-04,93,net,144,1,7.598623385172082,14755856.298440048,29188.14199618878,384124.0777,320.1112686156527,202.69543052908875,131.6263724303366,344.3587789715946,369.0286513204111,147.95870109045168,3159.0329383280787,3159.0329383280787,2033.1436691393026,17325.501919169674,85145.7223755529,224.8696191848786
4,7,2025-04-05,94,load,144,1,3.5572836441608247,2625191.8554918934,15496.112919217332,435616.4554,135.02036511753136,107.61189527234258,-39.91802512894183,132.43518265229767,115.16339515240787,-27.18150318872324,958.0326030946039,958.0326030946039,515.9044723574094,1593.4487301948313,16637.050266276652,377.0780520794374
4,7,2025-04-05,94,pv,144,1,9.345990408244603,26119853.35205921,33958.82115181742,363351.7655,425.896549059054,235.82514688762097,218.04313882354776,440.38397009275695,393.07956885617637,217.177899668209,5233.035331765146,5233.035331765146,3297.975207152413,47542.810388024925,133845.06011238627,20.494789979795012
4,7,2025-04-05,94,net,144,1,12.915953936669524,35754783.70814729,45897.44030970647,355354.6299,498.294199328425,318.7322243729616,-257.9611639524896,517.0362119976105,452.8665022908123,-244.35940285693218,6191.0679348597505,6191.0679348597505,3802.412863378227,66543.96210772322,181753.146976633,1575.7037293020396
4,7,2025-04-06,95,load,144,1,1.975823539633549,2115882.055047461,13894.634923166153,703232.5835,121.21726519879103,96.49052029976495,42.8918999241713,125.46863778371603,147.76346385772646,54.55477768925463,1029.4055981801112,1029.4055981801112,555.7834101697287,1839.7150791051258,12853.910303168908,192.0168765892735
4,7,2025-04-06,95,pv,144,1,3.3459351220003963,3607419.13178362,12606.55089039565,376772.1259,158.27672522672864,87.54549229441425,-1.3365556514329628,155.7770930503472,143.60797269415835,-67.12257816905792,32.07733563439111,32.07733563439111,163.18746469626575,1.7863810093773917,25049.735367487985,459.97377847725585
4,7,2025-04-06,95,net,144,1,5.375495023656891,6062503.812452868,22643.75085884082,421240.29059999995,205.1846020533987,157.24826985306126,44.228455575604244,212.76245551425987,241.01007725158846,121.6773558583125,1061.4829338145018,1061.4829338145018,620.062260185066,1956.1562826031982,40144.56463720838,185.4871754044635
4,7,2025-04-07,96,load,144,1,1.9157106153858212,2010886.3997149717,13450.028985248178,702090.8522000001,118.17143854125464,93.40297906422346,-3.8536801402680996,118.63178955484132,122.34486339053362,15.047716591682047,92.48832336643439,92.48832336643439,193.0842123812971,14.85085062349676,13949.63803628603,236.3839331117355
4,7,2025-04-07,96,pv,144,1,6.270957778832848,15661103.127198437,23994.850231147768,382634.53650000005,329.7842637324357,166.6309043829706,-50.47599916227869,348.84213094800685,288.82369719580817,-96.96050067969561,1211.4239798946885,1211.4239798946885,1055.6676922846696,2547.826491430359,106209.83411411435,797.8162397868679
4,7,2025-04-07,96,net,144,1,7.7033313536433425,17523465.38754507,32000.976118820676,415417.36490000004,348.8419869481767,222.22900082514357,46.6223190220106,361.2212832775252,288.4877675966618,112.00821727137766,1118.9356565282544,1118.9356565282544,923.4069743151485,2173.6406309901313,119517.09122696177,261.22301312156907
4,7,2025-04-08,97,load,144,1,1.7905912225573242,1784896.193932577,12646.583059790148,706279.7416,111.33333938162961,87.82349347076492,-18.090439150879412,111.39226692364954,100.03524818540869,-4.484502250968717,434.1705396211059,434.1705396211059,166.72547981868286,327.26398867167063,12067.84846919345,264.53707188406116
4,7,2025-04-08,97,pv,144,1,7.401865792593039,18857273.386575945,28138.97592054143,380160.5799,361.87468467243934,195.40955500375992,-55.53825848166749,341.09713665910016,240.58948684620498,104.96692528030246,1332.9182035600197,1332.9182035600197,1008.9616706092381,3084.498155176511,127868.78925160086,86.54942617489894
4,7,2025-04-08,97,net,144,1,8.34476302421994,21074486.948426276,36148.07505915259,433182.7633,382.5579744411503,251.02829902189296,37.44781933078808,361.4123434939727,250.79514040782266,-109.45142753127118,898.7476639389139,898.7476639389139,908.5970041562521,1402.3391726313453,144948.26463588452,868.9484902053715
