scenario,variant,seed,known_price,corrected,update_schedule,planned_kwh,final_kwh,emergency_kwh,emergency_minutes,charge_kwh,discharge_kwh,surplus_kwh,planned_cost,up_cost,down_cost,emergency_cost,total_cost,violations,solve_execute_seconds,initial_soc,final_soc,days
2,gru,2026,False,True,0,19783354.974785578,19783354.974785578,806962.8462775922,47060,6309657.425004833,5117252.569570849,1458723.4706625193,11985911.882932885,0.0,0.0,4727795.382146586,16713707.26507947,0,1.0661161198513582,8347.718047222224,1203.2121395182296,334
2,gru,3407,False,True,0,19853602.370880812,19853602.370880812,753402.938789517,46820,6333968.0896927435,5136869.451383295,1470717.176394212,12025308.926367996,0.0,0.0,4411253.243258872,16436562.16962687,0,1.0728215071139857,8347.718047222224,1286.2750114756943,334
2,gru,42,False,True,0,19765861.15134713,19765861.15134713,775020.8210090577,46130,6331454.268967119,5134910.904105866,1405149.1125282699,11989413.94087618,0.0,0.0,4513271.123766627,16502685.064642807,0,1.0706805833615363,8347.718047222224,1200.0,334
2,gru,mean,False,True,0,19803421.607285637,19803421.607285637,758830.8787144665,46550,6331095.885039378,5134604.569368713,1426571.6753627735,12000379.00513977,0.0,0.0,4451029.985867732,16451408.991007503,0,1.071764538413845,8347.718047222224,1217.8263952039933,334
2,gru_no_calendar,2026,False,True,0,19743783.527022246,19743783.527022246,817554.9372906213,49500,6300554.726468196,5109882.274681739,1431476.5175597458,11969820.34958446,0.0,0.0,4778854.5308439145,16748674.880428376,0,1.0350893024588004,8347.718047222224,1200.0,334
2,gru_no_calendar,3407,False,True,0,19899068.396472495,19899068.396472495,689879.4560343577,42690,6368528.19696783,5164940.785786442,1446170.9463587971,12070282.68779393,0.0,0.0,4025344.072623642,16095626.760417571,0,1.0396586189744994,8347.718047222224,1200.0,334
2,gru_no_calendar,42,False,True,0,19701106.450758893,19701106.450758893,795238.7681199138,47950,6347645.121336032,5148022.636596639,1357533.239172747,11927338.563130142,0.0,0.0,4637029.507033743,16564368.070163885,0,1.1190867433324456,8347.718047222224,1203.175475607639,334
2,gru_no_calendar,mean,False,True,0,19781715.036789823,19781715.036789823,755296.8561732505,45990,6345595.001887203,5146364.897771135,1398592.2938803372,11987959.790279262,0.0,0.0,4417669.452216982,16405629.242496245,0,1.0383565510855988,8347.718047222224,1200.0,334
2,gru_one_day,2026,False,True,0,19914166.754554667,19914166.754554667,741329.4411875177,43130,6324238.982666064,5129059.453030678,1521127.1711401339,12080671.129165236,0.0,0.0,4353432.965021314,16434104.09418655,0,1.0428908014437184,8347.718047222224,1207.8546348144534,334
2,gru_one_day,3407,False,True,0,19894997.39462413,19894997.39462413,725806.6418675736,44920,6334981.832493759,5137692.337444817,1484325.0464760922,12055911.620779905,0.0,0.0,4254464.779568059,16310376.400347965,0,1.0732934708939865,8347.718047222224,1284.3256862532553,334
2,gru_one_day,42,False,True,0,19776625.77780142,19776625.77780142,761455.4280665775,44770,6329891.059419997,5133644.7043726975,1402645.355854033,12001039.418726655,0.0,0.0,4452357.630824513,16453397.049551167,0,1.0385123307351023,8347.718047222224,1200.0,334
2,gru_one_day,mean,False,True,0,19866390.338583305,19866390.338583305,718405.8586106206,43090,6339588.828912726,5141486.7614824185,1447504.6347969505,12046877.850675816,0.0,0.0,4228622.315029959,16275500.165705774,0,1.0634373790817335,8347.718047222224,1214.5957548773874,334
2,mlp,2026,False,True,0,22628297.019410405,22628297.019410405,1361981.3169179424,53760,5559882.487881818,4509937.761426773,5001144.114906636,13779708.013926597,0.0,0.0,7533588.170236751,21313296.184163347,0,1.1449639595812187,8347.718047222224,1200.0,334
2,mlp,3407,False,True,0,21677564.161058497,21677564.161058497,2174314.2211586265,81250,5642258.819739047,4576662.590231128,4847092.657742538,13213173.970744759,0.0,0.0,10859635.694192735,24072809.664937492,0,1.1539287510095164,8347.718047222224,1200.0,334
2,mlp,42,False,True,0,9897861.69042212,9897861.69042212,10238619.764035257,229080,4218142.250832686,3423128.169416976,1402277.8780749992,5646491.5092857005,0.0,0.0,43777510.99322056,49424002.50250626,0,1.1145329200662673,8347.718047222224,1200.0,334
2,mlp,mean,False,True,0,17590969.722383764,17590969.722383764,3513165.9589305976,127380,5833664.127108206,4731700.889200147,2062982.9484396342,10300931.277552167,0.0,0.0,17828778.96504659,28129710.242598757,0,1.0907805787865072,8347.718047222224,1200.0,334
2,selected,mean,False,True,0,19836870.499803584,19836870.499803584,728394.1217597744,45820,6359633.61873862,5157736.177420782,1424177.6852788534,12025380.561354762,0.0,0.0,4232927.655999829,16258308.21735459,0,1.197190367267467,8347.718047222224,1200.0,334
2,tcn,2026,False,True,0,19838723.470411114,19838723.470411114,747552.7814751073,45850,6355850.436226182,5154639.666895087,1445875.9875884596,12021940.496448243,0.0,0.0,4346218.05473621,16368158.551184453,0,1.0606324622640386,8347.718047222224,1235.7029895779083,334
2,tcn,3407,False,True,0,19830777.290332913,19830777.290332913,742974.1720250396,49080,6362677.5099009825,5160201.729262296,1432086.1867526,12025522.566152059,0.0,0.0,4234627.341592144,16260149.907744203,0,1.1226076271850616,8347.718047222224,1200.0,334
2,tcn,42,False,True,0,19621240.11319308,19621240.11319308,868448.8201163362,51100,6307943.825319345,5115867.4447511695,1358423.0577745754,11895013.118673356,0.0,0.0,4994384.399633581,16889397.518306937,0,1.0681310758227482,8347.718047222224,1200.0,334
2,tcn,mean,False,True,0,19764963.114614997,19764963.114614997,770092.7698771688,48430,6349882.15635197,5149837.492887596,1395821.7260611246,11980166.630143829,0.0,0.0,4441059.8074785685,16421226.437622398,0,1.2661799103952944,8347.718047222224,1200.0,334
2,weekly,baseline,False,True,0,20075691.80864158,20075691.80864158,660040.6675532035,38750,6344365.571093203,5139083.534031494,1591260.9441664089,12199445.534534905,0.0,0.0,3866391.8732487177,16065837.407783624,0,1.309021710185334,1401.6922299999999,1237.8906233333335,334
2,yesterday,baseline,False,True,0,19769030.940463204,19769030.940463204,1994644.6759793044,68100,5766264.722992813,4677107.371866679,2735328.770349707,12059315.84591329,0.0,0.0,10429958.070984831,22489273.91689812,0,1.4555266225943342,8347.718047222224,1200.0,334
3,gru,2026,False,True,0+6+12+18,19731845.09046023,20458549.14793252,252669.13192318747,29090,6535664.477625498,5300321.173402486,1536685.4806660274,11973214.334733365,887169.8824620103,0.0,1280161.752907571,14140545.970102947,0,3.3315009113866836,8347.718362037042,1200.0,334
3,gru,3407,False,True,0+6+12+18,19748914.080514077,20441796.749907028,235504.35502966828,31690,6525814.43402698,5292232.511976285,1504529.6879193354,11982117.400321713,878598.9967743505,0.0,1147964.188982774,14008680.586078838,0,3.133876546169631,8347.718362037042,1322.3623460026045,334
3,gru,42,False,True,0+6+12+18,19654705.07449063,20420054.91333727,252302.27142658673,31650,6516355.784714176,5284289.341214487,1501101.2462975043,11933342.326984474,951927.104736174,0.0,1249934.7516048215,14135204.18332547,0,3.1999949185410514,8347.718362037042,1635.3232553645826,334
3,gru,mean,False,False,0+6+12+18,20108238.59580404,20741402.72216528,198049.32795549568,26620,6539763.901815697,5303524.205247328,1764022.858585739,12217530.411959702,734144.6920548168,0.0,996501.5140427473,13948176.618057266,0,3.1819020374678075,8347.718362037042,1330.5574991330295,334
3,gru,mean,False,True,0+6+12+18,19728643.736957427,20412314.67815543,248015.30944773578,32810,6541296.012813402,5304813.214431593,1484657.6942546885,11968454.347490422,848503.4125195378,0.0,1221878.4498696784,14038836.209879639,0,3.1422865082276985,8347.718362037042,1277.2249701074218,334
3,gru_no_calendar,2026,False,True,0+6+12+18,19732979.946060922,20386288.20623329,265905.5698927242,32460,6545016.573663009,5307891.478908135,1475879.1864044734,11967425.266407724,835546.7398763968,0.0,1316671.5998040955,14119643.606088217,0,3.2176207944285125,8347.718362037042,1205.4358719292536,334
3,gru_no_calendar,3407,False,True,0+6+12+18,19885635.38216505,20450707.0412551,235459.3038066093,29890,6572651.169305187,5330273.332011843,1504599.012801702,12062217.14630061,707717.2869221197,0.0,1158501.10480207,13928435.5380248,0,3.099419756093994,8347.718362037042,1207.846279101563,334
3,gru_no_calendar,42,False,True,0+6+12+18,19670760.8194812,20286307.22184042,278427.75710291276,34570,6577107.267505925,5333886.969987669,1382325.1864584081,11904790.28851601,793960.7714105553,0.0,1378535.6836578033,14077286.743584367,0,3.130849873297848,8347.718362037042,1203.1813532931862,334
3,gru_no_calendar,mean,False,True,0+6+12+18,19770331.775246106,20360988.797702815,256965.06131363957,32720,6576369.960120313,5333287.737349927,1435682.1412794022,11979635.099202657,752524.9146531193,0.0,1264792.598460723,13996952.6123165,0,3.193655993556604,8347.718362037042,1205.4187481770834,334
