scenario,days,start_date,end_date,planned_kwh,final_kwh,emergency_kwh,emergency_minutes,charge_kwh,discharge_kwh,surplus_kwh,planned_cost,up_cost,down_cost,emergency_cost,total_cost,violations,solve_execute_seconds,solver_calls,timeout_count,fallback_count,incumbent_count,gap_certified_count,initial_soc,final_soc,daily_cvar90,worst_day_cost,worst_date,max_balance_error,max_state_error,name,seed,kind,case_id,alpha_load,alpha_pv,method,weight,updates,cache_key
2,334,2025-02-01,2025-12-31,19576927.878671203,19576927.878671203,549745.630304618,34290,6341182.544297077,5707225.173739036,1553526.6434511114,11804823.083825326,0.0,0.0,3183791.15077276,14988614.234598085,0,12.757043551653624,334,0,0,0,334,1421.7991105135516,1252.2126194292532,84837.2764247096,154222.41144912122,2025-07-03,0.0,9.094947017729282e-13,periodic,42,periodic,periodic_seed_42,0.0,0.0,deterministic,0.0,0,6700959e6a312e4de055
2,334,2025-02-01,2025-12-31,19434153.144910023,19434153.144910023,607930.405578771,38790,6320654.212443613,5688799.208310919,1471039.0513894334,11686193.33326584,0.0,0.0,3571836.7579253,15258030.091191141,0,12.668886824278161,334,0,0,0,334,1421.7991105135516,1200.0,82559.01029586731,138931.1643456901,2025-06-01,0.0,9.094947017729282e-13,uncalibrated,42,mlp,uncalibrated_seed_42,1.0,1.0,deterministic,0.0,0,56bb6a42dd365d5b1dbf
2,334,2025-02-01,2025-12-31,19576927.868703015,19576927.868703015,549746.4200630353,34290,6341190.389431347,5707232.234319866,1553526.638687902,11804823.080143536,0.0,0.0,3183799.5680329795,14988622.648176515,0,12.398277213214897,334,0,0,0,334,1421.7991105135516,1252.2126616066803,84837.27708831233,154222.41305861215,2025-07-03,0.0,9.094947017729282e-13,primary,42,mlp,primary_seed_42,0.0,0.0,deterministic,0.0,0,bdb4c350107003ecd7f0
2,334,2025-02-01,2025-12-31,19576927.868703015,19576927.868703015,549746.4200630353,34290,6341190.389431347,5707232.234319866,1553526.638687902,11804823.080143536,0.0,0.0,3183799.5680329795,14988622.648176515,0,12.398277213214897,334,0,0,0,334,1421.7991105135516,1252.2126616066803,84837.27708831233,154222.41305861215,2025-07-03,0.0,9.094947017729282e-13,primary,2026,mlp,primary_seed_2026,0.0,0.0,deterministic,0.0,0,bdb4c350107003ecd7f0
2,334,2025-02-01,2025-12-31,19576927.868703015,19576927.868703015,549746.4200630353,34290,6341190.389431347,5707232.234319866,1553526.638687902,11804823.080143536,0.0,0.0,3183799.5680329795,14988622.648176515,0,12.398277213214897,334,0,0,0,334,1421.7991105135516,1252.2126616066803,84837.27708831233,154222.41305861215,2025-07-03,0.0,9.094947017729282e-13,primary,3407,mlp,primary_seed_3407,0.0,0.0,deterministic,0.0,0,bdb4c350107003ecd7f0
