scenario,issue_hour,month,period,target,population,unit,n,absolute_error_sum,squared_error_sum,signed_error_sum,actual_abs_sum,mae,rmse,wape_pct,bias,name,seed,case_id,alpha_load,alpha_pv,predictor_id
2,0,0,annual,load,all,kW,48096,8503167.0055,2870174503.9868774,93761.69490000003,222048476.9355,176.79572117223884,244.28661499529923,3.829419198389717,1.949469704341318,periodic,42,periodic_seed_42,0.0,0.0,periodic_seed_42
2,0,0,annual,load,pv_generating,kW,26880,4692123.9091,1543190229.29556,9959.614300000016,142806829.5625,174.55818114211309,239.60457172651263,3.2856439173635406,0.37052136532738156,periodic,42,periodic_seed_42,0.0,0.0,periodic_seed_42
2,0,0,annual,pv,all,kW,48096,8914424.8565,6769809675.0324,36601.88870000008,114413339.9657,185.34649152736193,375.1748781365903,7.791420877296701,0.7610173132900883,periodic,42,periodic_seed_42,0.0,0.0,periodic_seed_42
2,0,0,annual,pv,pv_generating,kW,26880,8914317.393399999,6769809123.751596,36494.4256,114413339.9657,331.6338315997023,501.8495969876943,7.79132695197293,1.3576795238095238,periodic,42,periodic_seed_42,0.0,0.0,periodic_seed_42
2,0,0,annual,net_load,all,kW,48096,14612966.913199998,9662178261.517368,57159.806199999875,144333055.96420002,303.8291523868929,448.2115496746542,10.124476902106583,1.1884523910512284,periodic,42,periodic_seed_42,0.0,0.0,periodic_seed_42
2,0,0,annual,net_load,pv_generating,kW,26880,10801924.220700001,8335200638.793941,-26534.811299999972,65091408.59120001,401.8572998772322,556.8566327870589,16.59500762771995,-0.9871581584821418,periodic,42,periodic_seed_42,0.0,0.0,periodic_seed_42
2,0,0,annual,load,all,kW,48096,7619926.628484048,2171603630.4766655,-271140.61495206563,222048476.9355,158.43160821033032,212.48868069323527,3.4316500314016842,-5.637487835829708,uncalibrated,42,uncalibrated_seed_42,1.0,1.0,uncalibrated_seed_42
2,0,0,annual,load,pv_generating,kW,26880,4258260.920229032,1205010738.1697094,-270521.0904403955,142806829.5625,158.41744494899672,211.72923400678357,2.98183282499482,-10.064028662217096,uncalibrated,42,uncalibrated_seed_42,1.0,1.0,uncalibrated_seed_42
2,0,0,annual,pv,all,kW,48096,8204928.249598557,5543508857.12518,479656.4903021632,114413339.9657,170.59481556883227,339.4985262973294,7.1713038462633065,9.97289775245682,uncalibrated,42,uncalibrated_seed_42,1.0,1.0,uncalibrated_seed_42
2,0,0,annual,pv,pv_generating,kW,26880,8161879.312038937,5542299623.21223,436607.55274254194,114413339.9657,303.6413434538295,454.07790293624595,7.133678043561868,16.242840503814804,uncalibrated,42,uncalibrated_seed_42,1.0,1.0,uncalibrated_seed_42
