predictor_id,scenario,issue_hour,month,period,target,population,unit,n,absolute_error_sum,squared_error_sum,signed_error_sum,actual_abs_sum,mae,rmse,wape_pct,bias,label,experiment,source,seed,exploratory,name,case_id,alpha_load,alpha_pv,period_label
exp001_selected,2,0,0,annual,load,all,kW,48096,8669526.319059374,2945028750.618527,-519810.24995312496,222048476.9355,180.25462240226577,247.45161352437032,3.904339466186779,-10.807764678000767,exp001 午夜重评分,exp001,data/results/exp003/baseline/forecast_annual.csv,42,False,,,,,2025-02-01—12-31，334日全部十分钟
exp001_selected,2,0,0,annual,pv,all,kW,48096,8638221.941362431,5601253511.279113,652012.4644214297,114413339.9657,179.60374961249232,341.26215987340083,7.550012912788041,13.55648004868242,exp001 午夜重评分,exp001,data/results/exp003/baseline/forecast_annual.csv,42,False,,,,,2025-02-01—12-31，334日全部十分钟
exp001_selected,2,0,0,annual,net_load,all,kW,48096,14100565.995138831,8684998062.593105,-1171822.7143745543,144333055.96420002,293.1754406840243,424.94271028376255,9.769464036454892,-24.364244726683182,exp001 午夜重评分,exp001,data/results/exp003/baseline/forecast_annual.csv,42,False,,,,,2025-02-01—12-31，334日全部十分钟
exp002_seed_42,2,0,0,annual,load,all,kW,48096,7870928.698315625,2344379286.2025948,-387159.6513203125,222048476.9355,163.65038045400087,220.77986238321833,3.544689343040146,-8.049726615941294,exp002 午夜重评分,exp002,data/results/exp003/baseline/forecast_annual.csv,42,False,,,,,2025-02-01—12-31，334日全部十分钟
exp002_seed_42,2,0,0,annual,pv,all,kW,48096,8297438.038425766,5674846520.367779,364862.10807730374,114413339.9657,172.51825595529286,343.4967091486276,7.252159617849856,7.586121674927306,exp002 午夜重评分,exp002,data/results/exp003/baseline/forecast_annual.csv,42,False,,,,,2025-02-01—12-31，334日全部十分钟
exp002_seed_42,2,0,0,annual,net_load,all,kW,48096,13515796.576567505,8164568388.897764,-752021.7593976159,144333055.96420002,281.01706122271094,412.0141544192623,9.364311235757334,-15.635848290868594,exp002 午夜重评分,exp002,data/results/exp003/baseline/forecast_annual.csv,42,False,,,,,2025-02-01—12-31，334日全部十分钟
primary_seed_42,2,0,0,annual,load,all,kW,48096,8503166.984880272,2870174500.6181593,93761.67155566398,222048476.9355,176.79572074351864,244.28661485193987,3.829419189103579,1.9494692189717229,exp003 正式,exp003,data/results/exp003/forecast_annual.csv,42,False,primary,primary_seed_42,0.0,0.0,2025-02-01—12-31，334日全部十分钟
primary_seed_42,2,0,0,annual,pv,all,kW,48096,8914424.861081518,6769809671.473829,36601.92253337457,114413339.9657,185.34649162261977,375.1748780379844,7.7914208813010575,0.7610180167451466,exp003 正式,exp003,data/results/exp003/forecast_annual.csv,42,False,primary,primary_seed_42,0.0,0.0,2025-02-01—12-31，334日全部十分钟
primary_seed_42,2,0,0,annual,net_load,all,kW,48096,14612966.872370996,9662178233.786337,57159.74902228953,144333055.96420002,303.82915153798643,448.21154903145714,10.124476873818535,1.1884512022265787,exp003 正式,exp003,data/results/exp003/forecast_annual.csv,42,False,primary,primary_seed_42,0.0,0.0,2025-02-01—12-31，334日全部十分钟
uncalibrated_seed_42,2,0,0,annual,load,all,kW,48096,7619926.628484048,2171603630.4766655,-271140.61495206563,222048476.9355,158.43160821033032,212.48868069323527,3.431650031401684,-5.637487835829708,exp003 未校准,exp003,data/results/exp003/forecast_annual.csv,42,False,uncalibrated,uncalibrated_seed_42,1.0,1.0,2025-02-01—12-31，334日全部十分钟
