target,month,population,n,mae,rmse,wape_pct
load,0,all,48096,195.4575632616615,258.3117746935212,4.233637218490613
load,2,all,4032,194.8705883349267,240.8236201152557,4.314258412661261
load,3,all,4464,163.94214219883804,209.85868705527454,3.7638538010015217
load,4,all,4320,142.35822178253517,177.22978205912975,3.2405866976873345
load,5,all,4464,166.31954457885635,210.4923887494169,3.7785488607675215
load,6,all,4320,209.58505116763405,270.91164504861547,4.366016293861955
load,7,all,4464,290.5917430007221,359.9921587815121,5.444587975330607
load,8,all,4464,203.9809989833409,254.99046749043902,4.043089012500667
load,9,all,4320,287.4667851113561,396.6724765362663,6.337576311716946
load,10,all,4464,196.4208185194376,248.28941482906143,4.518517087654285
load,11,all,4320,135.32872939417726,168.8280500460455,3.1198474614138303
load,12,all,4464,158.88301182673814,201.58109543146728,3.386754463308692
pv,0,all,48096,212.41978593355464,423.9991342452028,8.929502475256
pv,0,actual_generation,26880,379.33256043771917,567.1409994578295,8.911949627222393
pv,2,all,4032,159.9420752645173,331.7027492632831,8.13341844665987
pv,2,actual_generation,2036,315.6908713729606,466.77797728257633,8.106430501542265
pv,3,all,4464,213.5031527703486,423.61374079368943,9.265838616327164
pv,3,actual_generation,2426,391.19916402301067,574.5931079814749,9.226669573214851
pv,4,all,4320,262.2033020383912,498.81477373000337,9.705174183438846
pv,4,actual_generation,2526,447.4555691149382,652.310603423959,9.684221068054944
pv,5,all,4464,253.10239021517876,475.14777161928856,9.018427724355353
pv,5,actual_generation,2747,410.21166025518886,605.6782048198529,8.994500641362956
pv,6,all,4320,240.22986538143385,460.8761592169307,10.137023058939713
pv,6,actual_generation,2765,374.98849872532617,576.0670952649061,10.127745349684542
pv,7,all,4464,273.29601677310853,508.02939752934407,10.035640787642151
pv,7,actual_generation,2784,437.8640770085953,643.3002808093032,10.027580738678743
pv,8,all,4464,277.3970574941797,502.98002796730657,9.51295317403853
pv,8,actual_generation,2668,464.13060894078643,650.6087818285328,9.51295317403853
pv,9,all,4320,242.36813268843872,469.8267046001559,9.294683946771036
pv,9,actual_generation,2415,433.5529330078904,628.3780467833836,9.294683946771036
pv,10,all,4464,197.8851536920375,409.0689701168143,8.3696680329163
pv,10,actual_generation,2321,380.5942809484082,567.31081141112,8.369668032916298
pv,11,all,4320,114.19034086665647,231.70924233091134,6.157883848835632
pv,11,actual_generation,2095,232.59954496742964,332.5543478353283,6.082908234219947
pv,12,all,4464,97.72207309234548,204.94301975825024,6.455257720195777
pv,12,actual_generation,2097,207.77123519400638,299.01128420102833,6.447340104644857
net_load,0,all,48096,359.3111727469802,524.8382547955927,11.973300259592094
net_load,2,all,4032,322.95567742549355,453.9291750437113,10.897228757757473
net_load,3,all,4464,336.14031699502243,503.18209235661186,11.944981468067247
net_load,4,all,4320,362.6902860029488,558.1550011301979,13.011491739081595
net_load,5,all,4464,370.91919751776544,543.3008961152798,13.42908762554899
net_load,6,all,4320,385.5721635339131,551.412844044674,13.311952046454858
net_load,7,all,4464,457.1973891840589,615.5267990852632,14.019197434814927
net_load,8,all,4464,427.50741634720663,606.5190708087599,12.926481925695079
net_load,9,all,4320,489.2416227631592,675.9042883144099,16.266938381257557
net_load,10,all,4464,369.1900413911724,527.9253342433067,12.479957283696963
net_load,11,all,4320,211.17689717062987,295.87803527504815,7.186657483795948
net_load,12,all,4464,216.68253035374332,292.09548634163184,6.569696785052609
