label,beta,days,total_cost,planned_cost,emergency_cost,adjustment_cost,emergency_kwh,total_wan,overlap_intervals,max_overlap_kwh,throughput_kwh,tv_kw
exp004 无季节·原调度器,,334,13611587.832913544,12729841.366488634,881746.4664249113,0.0,160912.1654207412,1361.1587832913544,,,,
β=0.01敏感性对照,0.01,334,14740993.873912528,12142430.663598318,2598563.210314211,0.0,700763.4348475451,1474.0993873912528,0.0,1.2867928944615414e-11,11622043.98963216,12681513.558848687
β=0.1 主方案,0.1,334,14717882.165475883,12125606.983119221,2592275.182356661,0.0,698388.269991026,1471.7882165475883,0.0,7.673861546209079e-12,11513308.87090243,12692001.827970427
