beta,label,max_overlap_kwh,expected_tv_kw,second_cost,expected_throughput_kwh
0.0,β=0,566.5937811694077,8452.504786655352,0.0001,11620.078652724496
0.01,β=0.01,0.0,8452.504786655354,0.0001,10423.936225811312
0.1,β=0.1,0.0,8452.504786655352,0.0001,10423.936225811303
