beta,date,scope,layer,calls,nodes,overlap_nodes,windows_with_overlap,max_overlap_kwh,expected_overlap_sum_kwh,solver_seconds,scope_label
0.1,2025-02-13,midnight,2,1,432,0,0,0.0,0.0,0.1000279999570921,午夜规划·第2层
0.1,2025-02-13,execution,1,144,24948,0,0,0.0,-7.579122514774402e-14,0.6005265049170703,日内滚动·第1层
0.1,2025-02-13,execution,2,144,24948,0,0,0.0,-5.931810797077603e-12,1.6657744137337431,日内滚动·第2层
0.1,2025-02-14,midnight,1,1,468,0,0,0.0,0.0,0.014285749988630414,午夜规划·第1层
0.1,2025-02-14,midnight,2,1,468,0,0,0.0,0.0,0.08437937498092651,午夜规划·第2层
0.1,2025-02-14,execution,1,144,26280,0,0,0.0,0.0,0.6454524982254952,日内滚动·第1层
0.1,2025-02-14,execution,2,144,26280,0,0,0.0,-4.645966948201439e-13,1.6139164653141052,日内滚动·第2层
0.1,2025-02-15,midnight,1,1,504,0,0,0.0,0.0,0.01879566698335111,午夜规划·第1层
0.1,2025-02-15,midnight,2,1,504,0,0,0.0,0.0,0.09954450000077486,午夜规划·第2层
0.1,2025-02-15,execution,1,144,27072,0,0,0.0,-2.157056083093525e-13,0.6477085379883647,日内滚动·第1层
0.1,2025-02-15,execution,2,144,27072,0,0,0.0,-4.502992300428024e-12,1.6554610296152532,日内滚动·第2层
0.1,2025-02-16,midnight,1,1,504,0,0,0.0,0.0,0.02006995806004852,午夜规划·第1层
0.1,2025-02-16,midnight,2,1,504,0,0,0.0,0.0,0.12734262505546212,午夜规划·第2层
0.1,2025-02-16,execution,1,144,27288,0,0,0.0,-3.789561257387201e-14,0.661451374180615,日内滚动·第1层
0.1,2025-02-16,execution,2,144,27288,0,0,0.0,-6.836036845603306e-13,1.7852402492426336,日内滚动·第2层
0.1,2025-02-17,midnight,1,1,504,0,0,0.0,0.0,0.018986624898388982,午夜规划·第1层
0.1,2025-02-17,midnight,2,1,504,0,0,0.0,0.0,0.1383246670011431,午夜规划·第2层
0.1,2025-02-17,execution,1,144,28656,0,0,0.0,-3.789561257387201e-14,0.766690834891051,日内滚动·第1层
0.1,2025-02-17,execution,2,144,28656,0,0,0.0,-1.0729625731777197e-11,2.067863532807678,日内滚动·第2层
0.1,2025-02-18,midnight,1,1,468,0,0,0.0,0.0,0.015454667038284242,午夜规划·第1层
0.1,2025-02-18,midnight,2,1,468,0,0,0.0,0.0,0.1203375409822911,午夜规划·第2层
0.1,2025-02-18,execution,1,144,27288,0,0,0.0,-1.1368683772161603e-13,0.7262023846851662,日内滚动·第1层
0.1,2025-02-18,execution,2,144,27288,0,0,0.0,-1.2390181506117094e-13,1.9655166233424097,日内滚动·第2层
0.1,2025-02-19,midnight,1,1,468,0,0,0.0,0.0,0.015867084031924605,午夜规划·第1层
0.1,2025-02-19,midnight,2,1,468,0,0,0.0,0.0,0.13184754201211035,午夜规划·第2层
0.1,2025-02-19,execution,1,144,26784,0,0,0.0,-8.442424547498122e-13,0.6700358395464718,日内滚动·第1层
0.1,2025-02-19,execution,2,144,26784,0,0,0.0,-1.1682097721404984e-12,1.760038031381555,日内滚动·第2层
0.1,2025-02-20,midnight,1,1,504,0,0,0.0,0.0,0.021471041021868587,午夜规划·第1层
0.1,2025-02-20,midnight,2,1,504,0,0,0.0,0.0,0.14140695903915912,午夜规划·第2层
0.1,2025-02-20,execution,1,144,28152,0,0,0.0,-1.8947806286936003e-13,0.6957356289494783,日内滚动·第1层
0.1,2025-02-20,execution,2,144,28152,0,0,0.0,-3.4952114974247906e-13,1.8779210802167654,日内滚动·第2层
0.1,2025-02-21,midnight,1,1,468,0,0,0.0,0.0,0.014375749975442886,午夜规划·第1层
0.1,2025-02-21,midnight,2,1,468,0,0,0.0,-2.8392165019708157e-14,0.09124929190147668,午夜规划·第2层
0.1,2025-02-21,execution,1,144,26316,0,0,0.0,0.0,0.6330632095923647,日内滚动·第1层
0.1,2025-02-21,execution,2,144,26316,0,0,0.0,-1.3454643894482534e-11,1.5930061988765374,日内滚动·第2层
0.1,2025-02-22,midnight,1,1,468,0,0,0.0,0.0,0.014528249972499907,午夜规划·第1层
0.1,2025-02-22,midnight,2,1,468,0,0,0.0,0.0,0.08171091601252556,午夜规划·第2层
0.1,2025-02-22,execution,1,144,28692,0,0,0.0,0.0,0.6975187556818128,日内滚动·第1层
0.1,2025-02-22,execution,2,144,28692,0,0,0.0,-3.377396846005684e-12,1.8771757601061836,日内滚动·第2层
0.1,2025-02-23,midnight,1,1,504,0,0,0.0,0.0,0.021326000103726983,午夜规划·第1层
0.1,2025-02-23,midnight,2,1,504,0,0,0.0,0.0,0.13503100001253188,午夜规划·第2层
0.1,2025-02-23,execution,1,144,28152,0,0,0.0,-3.49113330836796e-12,0.6717022119555622,日内滚动·第1层
0.1,2025-02-23,execution,2,144,28152,0,0,0.0,-7.2277153272853005e-12,1.8859582794830203,日内滚动·第2层
0.1,2025-02-24,midnight,1,1,432,0,0,0.0,0.0,0.013779708067886531,午夜规划·第1层
0.1,2025-02-24,midnight,2,1,432,0,0,0.0,0.0,0.09363570797722787,午夜规划·第2层
0.1,2025-02-24,execution,1,144,27720,0,0,0.0,-6.643574579356937e-13,0.6711213354719803,日内滚动·第1层
0.1,2025-02-24,execution,2,144,27720,0,0,0.0,-7.279554060034804e-13,2.0593904218403623,日内滚动·第2层
0.1,2025-02-25,midnight,1,1,396,0,0,0.0,0.0,0.015697874943725765,午夜规划·第1层
0.1,2025-02-25,midnight,2,1,396,0,0,0.0,0.0,0.08274562493897974,午夜规划·第2层
0.1,2025-02-25,execution,1,144,26280,0,0,0.0,-7.579122514774402e-14,0.644037822377868,日内滚动·第1层
0.1,2025-02-25,execution,2,144,26280,0,0,0.0,-1.719658658181381e-12,1.640228497213684,日内滚动·第2层
0.1,2025-02-26,midnight,1,1,396,0,0,0.0,0.0,0.01654195797163993,午夜规划·第1层
0.1,2025-02-26,midnight,2,1,396,0,0,0.0,0.0,0.08505474997218698,午夜规划·第2层
0.1,2025-02-26,execution,1,144,26316,0,0,0.0,-1.1368683772161603e-13,0.6559462902368978,日内滚动·第1层
0.1,2025-02-26,execution,2,144,26316,0,0,0.0,-7.579122514774402e-14,1.8417182130506262,日内滚动·第2层
0.1,2025-02-27,midnight,1,1,432,0,0,0.0,0.0,0.015696541988290846,午夜规划·第1层
0.1,2025-02-27,midnight,2,1,432,0,0,0.0,0.0,0.09850799990817904,午夜规划·第2层
0.1,2025-02-27,execution,1,144,26424,0,0,0.0,0.0,0.656159584177658,日内滚动·第1层
0.1,2025-02-27,execution,2,144,26424,0,0,0.0,0.0,1.5832136244280264,日内滚动·第2层
0.1,2025-02-28,midnight,1,1,432,0,0,0.0,0.0,0.011248250026255846,午夜规划·第1层
0.1,2025-02-28,midnight,2,1,432,0,0,0.0,0.0,0.063429250032641,午夜规划·第2层
0.1,2025-02-28,execution,1,144,25308,0,0,0.0,0.0,0.6106757883680984,日内滚动·第1层
0.1,2025-02-28,execution,2,144,25308,0,0,0.0,-4.906302341722687e-12,1.454954216023907,日内滚动·第2层
0.1,2025-03-01,midnight,1,1,432,0,0,0.0,0.0,0.011119875009171665,午夜规划·第1层
0.1,2025-03-01,midnight,2,1,432,0,0,0.0,-1.6724541199961583e-13,0.06957216700538993,午夜规划·第2层
0.1,2025-03-01,execution,1,144,25488,0,0,0.0,0.0,0.6105884269345552,日内滚动·第1层
0.1,2025-03-01,execution,2,144,25488,0,0,0.0,-2.575779117997261e-14,1.447330996277742,日内滚动·第2层
0.1,2025-03-02,midnight,1,1,396,0,0,0.0,0.0,0.015950499917380512,午夜规划·第1层
0.1,2025-03-02,midnight,2,1,396,0,0,0.0,0.0,0.08464799995999783,午夜规划·第2层
0.1,2025-03-02,execution,1,144,26676,0,0,0.0,-9.475015976108041e-12,0.6509424683172256,日内滚动·第1层
0.1,2025-03-02,execution,2,144,26676,0,0,0.0,-9.790749159108572e-12,1.7076194948749617,日内滚动·第2层
0.1,2025-03-03,midnight,1,1,360,0,0,0.0,0.0,0.01362441701348871,午夜规划·第1层
0.1,2025-03-03,midnight,2,1,360,0,0,0.0,0.0,0.07062137499451637,午夜规划·第2层
0.1,2025-03-03,execution,1,144,25704,0,0,0.0,-1.6105635343895603e-13,0.6354235432809219,日内滚动·第1层
0.1,2025-03-03,execution,2,144,25704,0,0,0.0,-6.73728472209703e-13,1.6005907119251788,日内滚动·第2层
0.1,2025-03-04,midnight,1,1,324,0,0,0.0,0.0,0.01283637504093349,午夜规划·第1层
0.1,2025-03-04,midnight,2,1,324,0,0,0.0,0.0,0.06454933399800211,午夜规划·第2层
0.1,2025-03-04,execution,1,144,24984,0,0,3.4106051316484763e-13,-6.371199863982235e-13,0.7140154995722696,日内滚动·第1层
0.1,2025-03-04,execution,2,144,24984,0,0,0.0,-5.992243738243511e-13,2.0968752541812137,日内滚动·第2层
0.1,2025-03-05,midnight,1,1,396,0,0,0.0,0.0,0.01384633406996727,午夜规划·第1层
0.1,2025-03-05,midnight,2,1,396,0,0,0.0,-1.6776703483224587e-15,0.08834295906126499,午夜规划·第2层
0.1,2025-03-05,execution,1,144,25956,0,0,0.0,-7.579122514774402e-14,0.6752816358348355,日内滚动·第1层
0.1,2025-03-05,execution,2,144,25956,0,0,0.0,-1.9587294749120097e-11,1.8757584171835333,日内滚动·第2层
0.1,2025-03-06,midnight,1,1,396,0,0,0.0,0.0,0.017762708943337202,午夜规划·第1层
0.1,2025-03-06,midnight,2,1,396,0,0,0.0,0.0,0.09617662499658763,午夜规划·第2层
0.1,2025-03-06,execution,1,144,26280,0,0,0.0,-3.789561257387201e-14,0.7097223367309198,日内滚动·第1层
0.1,2025-03-06,execution,2,144,26280,0,0,0.0,-1.9967481880588637e-13,2.2759919189848006,日内滚动·第2层
0.1,2025-03-07,midnight,1,1,396,0,0,0.0,0.0,0.011192915961146355,午夜规划·第1层
0.1,2025-03-07,midnight,2,1,396,0,0,0.0,0.0,0.056405415991321206,午夜规划·第2层
0.1,2025-03-07,execution,1,144,26460,0,0,0.0,0.0,0.6778746703639627,日内滚动·第1层
0.1,2025-03-07,execution,2,144,26460,0,0,0.0,0.0,1.746784454677254,日内滚动·第2层
0.1,2025-03-08,midnight,1,1,396,0,0,0.0,0.0,0.01253391697537154,午夜规划·第1层
0.1,2025-03-08,midnight,2,1,396,0,0,0.0,-1.5116630515280233e-14,0.06745058298110962,午夜规划·第2层
0.1,2025-03-08,execution,1,144,25956,0,0,0.0,0.0,0.662618669681251,日内滚动·第1层
0.1,2025-03-08,execution,2,144,25956,0,0,0.0,-1.889128581677331e-12,1.7023414619034156,日内滚动·第2层
0.1,2025-03-09,midnight,1,1,396,0,0,0.0,0.0,0.014798250049352646,午夜规划·第1层
0.1,2025-03-09,midnight,2,1,396,0,0,0.0,0.0,0.09431654203217477,午夜规划·第2层
0.1,2025-03-09,execution,1,144,27000,0,0,0.0,0.0,0.7234532509464771,日内滚动·第1层
0.1,2025-03-09,execution,2,144,27000,0,0,0.0,-4.1694527115379085e-13,2.1638935825321823,日内滚动·第2层
0.1,2025-03-10,midnight,1,1,396,0,0,0.0,0.0,0.016632082988508046,午夜规划·第1层
0.1,2025-03-10,midnight,2,1,396,0,0,0.0,0.0,0.08774045796599239,午夜规划·第2层
0.1,2025-03-10,execution,1,144,25164,0,0,0.0,-4.736951571734e-13,0.7189239612780511,日内滚动·第1层
0.1,2025-03-10,execution,2,144,25164,0,0,0.0,-8.675785890175713e-13,1.9264998780563474,日内滚动·第2层
0.1,2025-03-11,midnight,1,1,432,0,0,0.0,0.0,0.02279204095248133,午夜规划·第1层
0.1,2025-03-11,midnight,2,1,432,0,0,0.0,0.0,0.11469341698102653,午夜规划·第2层
0.1,2025-03-11,execution,1,144,27288,0,0,0.0,-3.789561257387201e-14,0.754888498224318,日内滚动·第1层
0.1,2025-03-11,execution,2,144,27288,0,0,0.0,0.0,2.15173399890773,日内滚动·第2层
0.1,2025-03-12,midnight,1,1,432,0,0,0.0,0.0,0.018663540948182344,午夜规划·第1层
0.1,2025-03-12,midnight,2,1,432,0,0,0.0,0.0,0.10088483395520598,午夜规划·第2层
0.1,2025-03-12,execution,1,144,27252,0,0,0.0,-3.60008319451784e-13,0.7957594150211662,日内滚动·第1层
0.1,2025-03-12,execution,2,144,27252,0,0,0.0,-1.0841028389908669e-12,2.1717895406764,日内滚动·第2层
0.1,2025-03-13,midnight,1,1,468,0,0,0.0,0.0,0.019764833035878837,午夜规划·第1层
0.1,2025-03-13,midnight,2,1,468,0,0,0.0,0.0,0.12681504094507545,午夜规划·第2层
0.1,2025-03-13,execution,1,144,25812,0,0,0.0,0.0,0.7134825391694903,日内滚动·第1层
0.1,2025-03-13,execution,2,144,25812,0,0,0.0,-3.0551717394038636e-12,1.8806238288525492,日内滚动·第2层
0.1,2025-03-14,midnight,1,1,432,0,0,0.0,0.0,0.01541154203005135,午夜规划·第1层
0.1,2025-03-14,midnight,2,1,432,0,0,0.0,0.0,0.0753902499563992,午夜规划·第2层
0.1,2025-03-14,execution,1,144,26388,0,0,0.0,0.0,0.7405166272073984,日内滚动·第1层
0.1,2025-03-14,execution,2,144,26388,0,0,0.0,-3.905157896524539e-13,1.9957801647251472,日内滚动·第2层
0.1,2025-03-15,midnight,1,1,432,0,0,0.0,0.0,0.015158249996602535,午夜规划·第1层
0.1,2025-03-15,midnight,2,1,432,0,0,0.0,0.0,0.0789687919896096,午夜规划·第2层
0.1,2025-03-15,execution,1,144,26604,0,0,0.0,-6.188054638374545e-12,0.6732654568040743,日内滚动·第1层
0.1,2025-03-15,execution,2,144,26604,0,0,0.0,-1.2314416368986148e-11,1.7506850404897705,日内滚动·第2层
0.1,2025-03-16,midnight,1,1,396,0,0,0.0,0.0,0.024086541961878538,午夜规划·第1层
0.1,2025-03-16,midnight,2,1,396,0,0,0.0,0.0,0.09931916696950793,午夜规划·第2层
0.1,2025-03-16,execution,1,144,25416,0,0,0.0,0.0,0.727997379261069,日内滚动·第1层
0.1,2025-03-16,execution,2,144,25416,0,0,0.0,-3.659291569533659e-13,2.1463031225139275,日内滚动·第2层
0.1,2025-03-17,midnight,1,1,360,0,0,0.0,0.0,0.011227042065002024,午夜规划·第1层
0.1,2025-03-17,midnight,2,1,360,0,0,0.0,0.0,0.07492591603659093,午夜规划·第2层
0.1,2025-03-17,execution,1,144,25020,0,0,0.0,-1.7325400373617104e-12,0.703704827115871,日内滚动·第1层
0.1,2025-03-17,execution,2,144,25020,0,0,0.0,-1.2508611879033975e-11,1.9672907575732097,日内滚动·第2层
0.1,2025-03-18,midnight,1,1,432,0,0,0.0,0.0,0.020208834088407457,午夜规划·第1层
0.1,2025-03-18,midnight,2,1,432,0,0,0.0,0.0,0.10013166698627174,午夜规划·第2层
0.1,2025-03-18,execution,1,144,26100,0,0,0.0,0.0,0.7060908639105037,日内滚动·第1层
0.1,2025-03-18,execution,2,144,26100,0,0,0.0,-1.254390878137492e-13,1.9862731572939083,日内滚动·第2层
0.1,2025-03-19,midnight,1,1,360,0,0,0.0,0.0,0.013567124959081411,午夜规划·第1层
0.1,2025-03-19,midnight,2,1,360,0,0,0.0,0.0,0.07344100007321686,午夜规划·第2层
0.1,2025-03-19,execution,1,144,26424,0,0,0.0,0.0,0.7441071257926524,日内滚动·第1层
0.1,2025-03-19,execution,2,144,26424,0,0,0.0,-1.3416704438706098e-12,2.3626665010815486,日内滚动·第2层
0.1,2025-03-20,midnight,1,1,360,0,0,0.0,0.0,0.015932250069454312,午夜规划·第1层
0.1,2025-03-20,midnight,2,1,360,0,0,0.0,-1.2459355237726996e-14,0.0816035409225151,午夜规划·第2层
0.1,2025-03-20,execution,1,144,24912,0,0,0.0,0.0,0.7574151643784717,日内滚动·第1层
0.1,2025-03-20,execution,2,144,24912,0,0,0.0,-3.700763982372821e-14,1.9568269971059635,日内滚动·第2层
0.1,2025-03-21,midnight,1,1,468,0,0,0.0,0.0,0.017971834051422775,午夜规划·第1层
0.1,2025-03-21,midnight,2,1,468,0,0,0.0,0.0,0.0949209580430761,午夜规划·第2层
0.1,2025-03-21,execution,1,144,26352,0,0,0.0,0.0,0.7530672115972266,日内滚动·第1层
0.1,2025-03-21,execution,2,144,26352,0,0,0.0,-9.491046765611512e-12,1.9192712934454903,日内滚动·第2层
0.1,2025-03-22,midnight,1,1,468,0,0,0.0,0.0,0.018300832947716117,午夜规划·第1层
0.1,2025-03-22,midnight,2,1,468,0,0,0.0,0.0,0.10165958304423839,午夜规划·第2层
0.1,2025-03-22,execution,1,144,26640,0,0,0.0,0.0,0.777294956613332,日内滚动·第1层
0.1,2025-03-22,execution,2,144,26640,0,0,0.0,-2.5839865704985136e-12,1.8938593284692615,日内滚动·第2层
0.1,2025-03-23,midnight,1,1,360,0,0,0.0,0.0,0.01580929197371006,午夜规划·第1层
0.1,2025-03-23,midnight,2,1,360,0,0,0.0,0.0,0.0789939999813214,午夜规划·第2层
0.1,2025-03-23,execution,1,144,26532,0,0,0.0,0.0,0.8493027945514768,日内滚动·第1层
0.1,2025-03-23,execution,2,144,26532,0,0,0.0,-2.5078089532607926e-12,2.3580727907828987,日内滚动·第2层
0.1,2025-03-24,midnight,1,1,396,0,0,0.0,0.0,0.01764362503308803,午夜规划·第1层
0.1,2025-03-24,midnight,2,1,396,0,0,0.0,-6.161582936069658e-15,0.10362800001166761,午夜规划·第2层
0.1,2025-03-24,execution,1,144,27288,0,0,0.0,0.0,0.939078330877237,日内滚动·第1层
0.1,2025-03-24,execution,2,144,27288,0,0,0.0,0.0,2.6431941284099594,日内滚动·第2层
0.1,2025-03-25,midnight,1,1,396,0,0,0.0,0.0,0.017941459082067013,午夜规划·第1层
0.1,2025-03-25,midnight,2,1,396,0,0,0.0,0.0,0.09419358393643051,午夜规划·第2层
0.1,2025-03-25,execution,1,144,25776,0,0,0.0,-1.8604608716681645e-11,0.830199207412079,日内滚动·第1层
0.1,2025-03-25,execution,2,144,25776,0,0,0.0,-1.3535526921411865e-11,2.1838283776305616,日内滚动·第2层
0.1,2025-03-26,midnight,1,1,396,0,0,0.0,0.0,0.017951791058294475,午夜规划·第1层
0.1,2025-03-26,midnight,2,1,396,0,0,0.0,0.0,0.0991490000160411,午夜规划·第2层
0.1,2025-03-26,execution,1,144,26928,0,0,0.0,0.0,0.8386706237215549,日内滚动·第1层
0.1,2025-03-26,execution,2,144,26928,0,0,0.0,0.0,2.2971067097969353,日内滚动·第2层
0.1,2025-03-27,midnight,1,1,360,0,0,0.0,0.0,0.014718708000145853,午夜规划·第1层
0.1,2025-03-27,midnight,2,1,360,0,0,0.0,0.0,0.07612350000999868,午夜规划·第2层
0.1,2025-03-27,execution,1,144,25344,0,0,0.0,0.0,0.7963729196926579,日内滚动·第1层
0.1,2025-03-27,execution,2,144,25344,0,0,0.0,-1.6193253270310018e-11,2.188416748540476,日内滚动·第2层
0.1,2025-03-28,midnight,1,1,468,0,0,0.0,0.0,0.01876766700297594,午夜规划·第1层
0.1,2025-03-28,midnight,2,1,468,0,0,0.0,0.0,0.10035266692284495,午夜规划·第2层
0.1,2025-03-28,execution,1,144,27756,0,0,0.0,-8.08896031160072e-12,0.8960689676459879,日内滚动·第1层
0.1,2025-03-28,execution,2,144,27756,0,0,0.0,-3.445146496530299e-12,2.299309710622765,日内滚动·第2层
0.1,2025-03-29,midnight,1,1,360,0,0,0.0,0.0,0.014413582975976169,午夜规划·第1层
0.1,2025-03-29,midnight,2,1,360,0,0,0.0,-2.5165055224836883e-15,0.06499574996996671,午夜规划·第2层
0.1,2025-03-29,execution,1,144,24912,0,0,0.0,0.0,0.8631979613564909,日内滚动·第1层
0.1,2025-03-29,execution,2,144,24912,0,0,0.0,0.0,2.148094176664017,日内滚动·第2层
0.1,2025-03-30,midnight,1,1,432,0,0,0.0,0.0,0.022073250031098723,午夜规划·第1层
0.1,2025-03-30,midnight,2,1,432,0,0,0.0,0.0,0.12733670801389962,午夜规划·第2层
0.1,2025-03-30,execution,1,144,27036,0,0,0.0,0.0,0.9647423708811402,日内滚动·第1层
0.1,2025-03-30,execution,2,144,27036,0,0,0.0,-3.4966610728052213e-13,2.4745066319592297,日内滚动·第2层
0.1,2025-03-31,midnight,1,1,432,0,0,0.0,0.0,0.023478041985072196,午夜规划·第1层
0.1,2025-03-31,midnight,2,1,432,0,0,0.0,0.0,0.13618304091505706,午夜规划·第2层
0.1,2025-03-31,execution,1,144,25560,0,0,0.0,-7.579122514774402e-14,0.9183273779926822,日内滚动·第1层
0.1,2025-03-31,execution,2,144,25560,0,0,0.0,0.0,2.555145129794255,日内滚动·第2层
0.1,2025-04-01,midnight,1,1,432,0,0,0.0,0.0,0.021100749960169196,午夜规划·第1层
0.1,2025-04-01,midnight,2,1,432,0,0,0.0,0.0,0.12392995890695602,午夜规划·第2层
0.1,2025-04-01,execution,1,144,25164,0,0,0.0,0.0,1.0062879165634513,日内滚动·第1层
0.1,2025-04-01,execution,2,144,25164,0,0,0.0,-8.581936487156719e-13,2.433280171942897,日内滚动·第2层
0.1,2025-04-02,midnight,1,1,324,0,0,0.0,0.0,0.016087666037492454,午夜规划·第1层
0.1,2025-04-02,midnight,2,1,324,0,0,0.0,0.0,0.071572957909666,午夜规划·第2层
0.1,2025-04-02,execution,1,144,23760,0,0,0.0,-2.157056083093525e-13,0.714463543263264,日内滚动·第1层
0.1,2025-04-02,execution,2,144,23760,0,0,0.0,-5.2855900894964565e-12,1.9125152541091666,日内滚动·第2层
0.1,2025-04-03,midnight,1,1,432,0,0,0.0,0.0,0.021597916027531028,午夜规划·第1层
0.1,2025-04-03,midnight,2,1,432,0,0,0.0,0.0,0.10569933394435793,午夜规划·第2层
0.1,2025-04-03,execution,1,144,27072,0,0,0.0,0.0,0.748138040304184,日内滚动·第1层
0.1,2025-04-03,execution,2,144,27072,0,0,0.0,-1.030390456119284e-13,2.200736877741292,日内滚动·第2层
0.1,2025-04-04,midnight,1,1,396,0,0,0.0,0.0,0.013534416910260916,午夜规划·第1层
