variant,target,mae_mean,mae_std,rmse_mean,rmse_std,wape_mean,wape_std
gru,load,188.69141647829187,9.38462959594965,265.44230965555835,24.17867397580356,4.085740037814491,0.20320562321202126
gru,price,0.043918741257520454,0.0005570772659460873,0.058947930188570065,0.0007099867571148599,5.795915309720075,0.0735169670610956
gru,pv,185.1264213744804,0.9858088796830541,347.0284939203282,1.3056474767253317,7.779916387933561,0.04142850383794009
gru,pv_corrected,163.279254462447,5.7093278290937635,306.5290253130352,4.107048024949037,6.861791732215032,0.23993383986935704
gru_no_calendar,load,191.98665787304716,9.194400569253169,277.50106096736386,25.494723812342897,4.1570919835049525,0.1990865892610644
gru_no_calendar,price,0.04684624375943644,0.0001332415291116813,0.06358014137352076,0.0001582920528529407,6.182255083681453,0.017583760289046586
gru_no_calendar,pv,177.44292880895753,4.302066262733688,344.92108900815214,2.3457925218609628,7.457018503972644,0.18079383575245653
gru_no_calendar,pv_corrected,150.33125281621426,5.117408990874909,294.8133317248719,5.635130449821952,6.317653464697032,0.2150585193419313
gru_one_day,load,188.25043543483483,9.774385320992703,264.07503382338876,24.488485858034043,4.076191464070137,0.21164501383453518
gru_one_day,price,0.04386076369365418,0.0004306449587231375,0.05883028521368952,0.0005212948268404878,5.78826406470687,0.0568318134320339
gru_one_day,pv,183.7150116335283,1.734928138662812,344.7179838174361,1.0381718573441296,7.720602057260521,0.07291015381627512
gru_one_day,pv_corrected,163.46210777848682,5.935143817464658,306.6690606155981,5.294492647167871,6.869476121614903,0.2494237305912783
mlp,load,942.3176556520102,372.26091225627135,1144.0213609221803,411.95531739503457,20.40402815291728,8.060574996498449
mlp,price,0.10815814932828884,0.00927303976863231,0.13694024371825142,0.010583051232779328,14.273530060597444,1.223754406974401
mlp,pv,1589.9498724016912,1544.8407972758873,1994.3097802572493,1741.296097521798,66.81745899073458,64.92175534016887
mlp,pv_corrected,883.8397326810604,290.6055892795819,1214.4763005895506,277.13083764654755,37.14326226121325,12.21266618603243
tcn,load,187.182438590507,5.339460349451827,258.3933026122989,10.263118917234111,4.053066101249874,0.11561547068352238
tcn,price,0.04400608875532935,0.0010072338250849903,0.05903770270392592,0.001461837360079689,5.807442477514979,0.13292370819663152
tcn,pv,182.9253508425534,6.656912549892988,345.57222908476325,10.445123986971291,7.687416654101959,0.27975597786331025
tcn,pv_corrected,163.31181662773352,8.487250382138363,308.91795752903863,17.834409970694008,6.863160153434748,0.35667571298710254
