month,scenario,variant,validation_cost,selected,validation_start,decision_time,initial_soc
7,2,mlp,524817.6825100152,False,2025-06-24,2025-07-01 00:00:00,1328.291347962963
7,2,gru,342488.04421294556,False,2025-06-24,2025-07-01 00:00:00,1328.291347962963
7,2,tcn,336038.6824445703,True,2025-06-24,2025-07-01 00:00:00,1328.291347962963
7,3,mlp,560989.1272476448,False,2025-06-24,2025-07-01 00:00:00,1328.291347962963
7,3,gru,295896.9801141816,True,2025-06-24,2025-07-01 00:00:00,1328.291347962963
7,3,tcn,296603.4027005753,False,2025-06-24,2025-07-01 00:00:00,1328.291347962963
7,4-2,mlp,538107.0345049379,False,2025-06-24,2025-07-01 00:00:00,1237.9524259259258
7,4-2,gru,361561.90055928397,False,2025-06-24,2025-07-01 00:00:00,1237.9524259259258
7,4-2,tcn,355293.6920869973,True,2025-06-24,2025-07-01 00:00:00,1237.9524259259258
7,4-3,mlp,578195.0503644185,False,2025-06-24,2025-07-01 00:00:00,1237.9524259259258
7,4-3,gru,308241.8697546252,False,2025-06-24,2025-07-01 00:00:00,1237.9524259259258
7,4-3,tcn,306448.24767076917,True,2025-06-24,2025-07-01 00:00:00,1237.9524259259258
8,2,mlp,557135.2387588068,False,2025-07-25,2025-08-01 00:00:00,1544.144025
8,2,gru,348233.4660866669,True,2025-07-25,2025-08-01 00:00:00,1544.144025
8,2,tcn,350809.555293983,False,2025-07-25,2025-08-01 00:00:00,1544.144025
8,3,mlp,621871.7581830397,False,2025-07-25,2025-08-01 00:00:00,1678.3205473148148
8,3,gru,321030.8619833588,False,2025-07-25,2025-08-01 00:00:00,1678.3205473148148
8,3,tcn,320321.4474406888,True,2025-07-25,2025-08-01 00:00:00,1678.3205473148148
8,4-2,mlp,626167.2587597223,False,2025-07-25,2025-08-01 00:00:00,1544.144025
8,4-2,gru,393809.10760900803,True,2025-07-25,2025-08-01 00:00:00,1544.144025
8,4-2,tcn,399053.58478088374,False,2025-07-25,2025-08-01 00:00:00,1544.144025
8,4-3,mlp,703081.570449613,False,2025-07-25,2025-08-01 00:00:00,1677.823899166667
8,4-3,gru,359982.2479486066,False,2025-07-25,2025-08-01 00:00:00,1677.823899166667
8,4-3,tcn,359826.7853926452,True,2025-07-25,2025-08-01 00:00:00,1677.823899166667
9,2,mlp,496538.62437120336,False,2025-08-25,2025-09-01 00:00:00,1200.0
9,2,gru,356301.76600704703,True,2025-08-25,2025-09-01 00:00:00,1200.0
9,2,tcn,369134.86179936654,False,2025-08-25,2025-09-01 00:00:00,1200.0
9,3,mlp,653273.3634163949,False,2025-08-25,2025-09-01 00:00:00,1200.0
9,3,gru,297677.42447304795,True,2025-08-25,2025-09-01 00:00:00,1200.0
9,3,tcn,299137.65316845843,False,2025-08-25,2025-09-01 00:00:00,1200.0
9,4-2,mlp,539463.030863836,False,2025-08-25,2025-09-01 00:00:00,1200.0
9,4-2,gru,393025.83667826816,True,2025-08-25,2025-09-01 00:00:00,1200.0
9,4-2,tcn,409953.1260093185,False,2025-08-25,2025-09-01 00:00:00,1200.0
9,4-3,mlp,735829.1702692723,False,2025-08-25,2025-09-01 00:00:00,1200.0
9,4-3,gru,331536.7865988345,True,2025-08-25,2025-09-01 00:00:00,1200.0
9,4-3,tcn,334837.6207670011,False,2025-08-25,2025-09-01 00:00:00,1200.0
10,2,mlp,572841.1546837655,False,2025-09-24,2025-10-01 00:00:00,1487.2073405555557
10,2,gru,301158.5456367158,True,2025-09-24,2025-10-01 00:00:00,1487.2073405555557
10,2,tcn,303311.6659641453,False,2025-09-24,2025-10-01 00:00:00,1487.2073405555557
10,3,mlp,535151.8188764092,False,2025-09-24,2025-10-01 00:00:00,1487.2073405555557
10,3,gru,270262.6379945886,True,2025-09-24,2025-10-01 00:00:00,1487.2073405555557
10,3,tcn,274025.04970288277,False,2025-09-24,2025-10-01 00:00:00,1487.2073405555557
10,4-2,mlp,568998.7976788484,False,2025-09-24,2025-10-01 00:00:00,1487.2073405555557
10,4-2,gru,302244.5085686509,True,2025-09-24,2025-10-01 00:00:00,1487.2073405555557
10,4-2,tcn,303450.26160944893,False,2025-09-24,2025-10-01 00:00:00,1487.2073405555557
10,4-3,mlp,531972.5546045767,False,2025-09-24,2025-10-01 00:00:00,1487.2073405555557
10,4-3,gru,273175.0284014497,True,2025-09-24,2025-10-01 00:00:00,1487.2073405555557
10,4-3,tcn,276736.3178308822,False,2025-09-24,2025-10-01 00:00:00,1487.2073405555557
11,2,mlp,921358.0966034961,False,2025-10-25,2025-11-01 00:00:00,7752.636853333336
11,2,gru,302072.2734080554,False,2025-10-25,2025-11-01 00:00:00,7752.636853333336
11,2,tcn,285724.10211281374,True,2025-10-25,2025-11-01 00:00:00,7752.636853333336
11,3,mlp,675434.5910378948,False,2025-10-25,2025-11-01 00:00:00,7752.643982962964
11,3,gru,265377.5030332882,False,2025-10-25,2025-11-01 00:00:00,7752.643982962964
11,3,tcn,259178.9989160106,True,2025-10-25,2025-11-01 00:00:00,7752.643982962964
11,4-2,mlp,924383.7520206758,False,2025-10-25,2025-11-01 00:00:00,8615.118660740742
11,4-2,gru,303946.9403748109,False,2025-10-25,2025-11-01 00:00:00,8615.118660740742
11,4-2,tcn,287758.555414052,True,2025-10-25,2025-11-01 00:00:00,8615.118660740742
11,4-3,mlp,666340.0660383243,False,2025-10-25,2025-11-01 00:00:00,8615.124045740742
11,4-3,gru,269268.490272912,False,2025-10-25,2025-11-01 00:00:00,8615.124045740742
11,4-3,tcn,262768.3788653517,True,2025-10-25,2025-11-01 00:00:00,8615.124045740742
12,2,mlp,786460.1529063962,False,2025-11-24,2025-12-01 00:00:00,1200.0
12,2,gru,370525.7611643361,False,2025-11-24,2025-12-01 00:00:00,1200.0
12,2,tcn,366289.33941503643,True,2025-11-24,2025-12-01 00:00:00,1200.0
12,3,mlp,603890.0645387941,False,2025-11-24,2025-12-01 00:00:00,1200.0
12,3,gru,311068.099047206,False,2025-11-24,2025-12-01 00:00:00,1200.0
12,3,tcn,309205.03840842703,True,2025-11-24,2025-12-01 00:00:00,1200.0
12,4-2,mlp,809040.0166589968,False,2025-11-24,2025-12-01 00:00:00,1200.0
12,4-2,gru,381457.7424212822,False,2025-11-24,2025-12-01 00:00:00,1200.0
12,4-2,tcn,377058.1478335585,True,2025-11-24,2025-12-01 00:00:00,1200.0
12,4-3,mlp,620237.3577910741,False,2025-11-24,2025-12-01 00:00:00,1200.0
12,4-3,gru,327597.466952672,False,2025-11-24,2025-12-01 00:00:00,1200.0
12,4-3,tcn,325580.1900750881,True,2025-11-24,2025-12-01 00:00:00,1200.0
