variant,seed,target,population,n,absolute_error_sum,squared_error_sum,actual_abs_sum,mae,rmse,wape_pct,model_label,target_label
mlp,3407,price,all,192168,20579.010366769566,3510.8816768006855,145615.9419,0.1070886430975478,0.13516603102377595,14.13238832112349,多层感知机,电价
mlp,3407,pv,all,192168,648158678.9552759,3077028823511.4795,457271934.1543,3372.8751871033464,4001.5223516348105,141.74468856349358,多层感知机,光伏历史预测
mlp,3407,pv,generating,107413,390486682.36617357,1901487557033.3525,457271934.1543,3635.376373122188,4207.443771003568,85.39485002252715,多层感知机,光伏历史预测
mlp,3407,pv_corrected,all,192168,126079384.39198044,180502422477.65753,457271934.1543,656.0893821655033,969.1722760684436,27.572080194503414,多层感知机,光伏预报修正
mlp,3407,pv_corrected,generating,107413,89639288.07090475,128425453635.37402,457271934.1543,834.5292289658119,1093.4454733234734,19.603059224854423,多层感知机,光伏预报修正
mlp,42,load,all,192168,250377723.97893873,456711885047.5866,887487989.598,1302.9105989495583,1541.6316631935808,28.211956320935766,多层感知机,小区负载
mlp,42,price,all,192168,22660.367820209227,4226.2309073402575,145615.9419,0.11791956944032944,0.14829826694901485,15.561735565856493,多层感知机,电价
mlp,42,pv,all,192168,143672648.32162115,229513304436.54987,457271934.1543,747.6408575913844,1092.8571495327008,31.41952033144917,多层感知机,光伏历史预测
mlp,42,pv,generating,107413,108052529.29095569,176591713135.45853,457271934.1543,1005.9539282112565,1282.202846396663,23.62981876217553,多层感知机,光伏历史预测
mlp,42,pv_corrected,all,192168,150716003.2170283,258209111765.03116,457271934.1543,784.2929271108004,1159.1649659497152,32.95981930222101,多层感知机,光伏预报修正
mlp,42,pv_corrected,generating,107413,90014409.17749116,149717368631.80188,457271934.1543,838.0215539784864,1180.6132950421813,19.685093803967654,多层感知机,光伏预报修正
mlp,mean,load,all,192168,88254592.36026973,72411073174.92764,887487989.598,459.2574849104415,613.849571340739,9.944313995758506,多层感知机,小区负载
mlp,mean,price,all,192168,15083.856152753984,1877.4189872002048,145615.9419,0.07849306935990376,0.09884166846866899,10.35865713323658,多层感知机,电价
mlp,mean,pv,all,192168,231147824.726787,372575577215.65295,457271934.1543,1202.8424333228581,1392.4084698175766,50.549313758842985,多层感知机,光伏历史预测
mlp,mean,pv,generating,107413,119521190.62895696,185967250913.32147,457271934.1543,1112.725560490415,1315.7997887698905,26.13788026374394,多层感知机,光伏历史预测
mlp,mean,pv_corrected,all,192168,146233775.13159746,163034676607.95862,457271934.1543,760.9683981287075,921.0844660762715,31.979608676847622,多层感知机,光伏预报修正
mlp,mean,pv_corrected,generating,107413,80786658.20847398,91601982659.53172,457271934.1543,752.1124836702631,923.4725989175731,17.667093074033637,多层感知机,光伏预报修正
