run_id,rl_seed,cutoff_day,iteration_at_cutoff,global_iteration,transitions,training_start_day,training_end_day,history_days,max_observed_index,rollout_seconds,update_seconds,mean_episode_reward,mean_episode_cost_yuan,mean_episode_throughput_kwh,loss,policy_loss,value_loss,entropy,approx_kl,clip_fraction,gradient_norm
regularized_42,42,31,0,0,4608,8,30,23,4463,0.09810570802073926,0.16099899995606393,-76.70329284667969,77500.67686099716,44038.14942070094,50.5045550664266,-0.0013510783772087758,101.08794487847223,3.806579656071133,7.45251040048029e-05,0.0,39.56223964691162
regularized_42,42,31,1,1,4608,8,30,23,4463,0.03800554189365357,0.025548000005073845,-83.68684387207031,84451.46935522548,44332.03469555416,57.958247396681045,-0.0008759282063692808,115.99436484442816,3.8059738410843744,0.0001452319931350606,0.0,49.16191938188341
regularized_42,42,31,2,2,4608,8,30,23,4463,0.03684687498025596,0.02541383297648281,-74.68911743164062,75658.50698037038,44087.01808068354,44.95855024125841,-0.003050156157567269,89.99927753872342,3.803797099325392,0.0008391990708168527,0.0,48.65254836612277
regularized_42,42,31,3,3,4608,8,30,23,4463,0.036782082985155284,0.02478237508330494,-78.01174926757812,78836.34409060774,44490.91360512993,48.946403715345596,-0.0037272670823666784,97.97616725497775,3.7952383822864957,0.0017360165503280062,0.007107204861111111,56.88637818230523
regularized_42,42,31,4,4,4608,8,30,23,4463,0.037749084061942995,0.02563599997665733,-79.16969299316406,79810.04831388115,44709.22836271718,52.109825981987846,-0.003579511100219356,104.30248790317111,3.783827735318078,0.0018993096229627958,0.009548611111111112,61.4353240331014
regularized_42,42,31,5,5,4608,8,30,23,4463,0.03682470798958093,0.024928999948315322,-79.75981140136719,80823.47355306448,43101.526736820524,54.7894794676039,-0.005462556663486693,109.66523170471191,3.7673979004224143,0.002860924137318458,0.024142795138888888,63.72818035549588
regularized_42,42,31,6,6,4608,8,30,23,4463,0.03701583400834352,0.024889583932235837,-76.67877197265625,77562.34552867312,43760.940701871994,51.1833283106486,-0.0027748600114136934,102.44725057813856,3.752214835749732,0.0016177187202528229,0.007269965277777778,61.39675627814399
regularized_42,42,31,7,7,4608,8,30,23,4463,0.036748082959093153,0.025016875006258488,-76.81533813476562,77424.19039241776,41564.756968885165,53.02062066396078,-0.002515498005474607,106.1210371653239,3.738216585583157,0.0017149780132462587,0.010579427083333334,61.42474291059706
regularized_42,42,31,8,8,4608,8,30,23,4463,0.03684458299539983,0.025008500088006258,-75.088134765625,75867.21703921177,41236.15220391949,50.20494768354628,-0.002782320345027579,100.4899107615153,3.7225308219591775,0.0017664267986548213,0.014919704861111112,59.12546963161893
regularized_42,42,31,9,9,4608,8,30,23,4463,0.036831083009019494,0.02504645800217986,-77.57329559326172,78340.99502904687,42623.31215655615,54.404450946384,-0.0033470588581015668,108.88999366760254,3.719855705897013,0.002340191166215138,0.015299479166666666,61.452061335245766
regularized_42,42,31,10,10,4608,8,30,23,4463,0.03693775006104261,0.025098541984334588,-80.18824768066406,80720.23282564012,43896.962866535316,56.10312260521783,-0.006428799902399381,112.29322814941406,3.7063350081443787,0.0032542441375527334,0.04074435763888889,63.59274991353353
regularized_42,42,31,11,11,4608,8,30,23,4463,0.037132499972358346,0.02513775008264929,-80.55878448486328,81110.02187788705,39079.855481910665,59.06339751349555,-0.0043033290809641285,118.20933850606282,3.6968225373162165,0.002733824968597926,0.014702690972222222,63.38339508904351
regularized_42,42,31,12,12,4608,8,30,23,4463,0.03769795794505626,0.025187207967974246,-75.9612808227539,76375.19802187687,38979.13592079283,50.633156882392036,-0.005089984171920353,101.35031445821126,3.6910716891288757,0.002875781113693342,0.026963975694444444,57.905126359727646
regularized_42,42,31,13,13,4608,8,30,23,4463,0.037359333015047014,0.025084792054258287,-75.51495361328125,76357.18944593504,35430.553208427475,51.89397663540311,-0.004939088468543357,103.87174712287054,3.6958000659942627,0.003764069712992245,0.057779947916666664,56.80502880944146
regularized_42,42,31,14,14,4608,8,30,23,4463,0.03726550005376339,0.02547058300115168,-73.8045654296875,74335.10161681435,36852.632459618566,49.861565272013344,-0.005092671445001745,99.80712784661188,3.6905601157082453,0.0033720818754924644,0.04226345486111111,54.42959796057807
regularized_42,42,31,15,15,4608,8,30,23,4463,0.0377872500102967,0.0253827910637483,-77.41970825195312,78224.09708866497,33933.08528902673,56.00895733303494,-0.004242037862746252,112.10014724731445,3.6873942481146917,0.0027324647289282845,0.031575520833333336,57.597709867689346
regularized_42,42,31,16,16,4608,8,30,23,4463,0.03708650008775294,0.02500175009481609,-81.88276672363281,82387.77119350864,38408.228155233606,60.63073020511203,-0.0025832914980128407,121.34034771389432,3.6860101024309793,0.0016221645971149377,0.011067708333333334,61.87635379367404
regularized_42,42,31,17,17,4608,8,30,23,4463,0.036999500007368624,0.024907374987378716,-80.01896667480469,80238.16639643806,36110.698217852165,56.06205293867323,-0.003453957899991009,112.20477803548177,3.688198447227478,0.0020963085897720804,0.009765625,59.782239807976616
regularized_42,42,31,18,18,4608,8,30,23,4463,0.037068207981064916,0.024953874992206693,-77.00320434570312,77722.15819934549,35688.380772135206,52.13588682810465,-0.004605113968460096,104.35465855068631,3.6836935546663074,0.0031655647676416265,0.02978515625,56.90814505683051
regularized_42,42,31,19,19,4608,8,30,23,4463,0.03698054200503975,0.02477499993983656,-77.21917724609375,77872.91388270818,38566.99524173603,50.33665466308594,-0.003997895245750745,100.75478977627225,3.674202091164059,0.0024574380927838823,0.023166232638888888,57.81585152943929
regularized_42,42,31,20,20,4608,8,30,23,4463,0.03700675000436604,0.02509250002913177,-77.58999633789062,78351.97970662561,38223.11081607702,45.95560963948568,-0.004807662555120057,91.99418195088704,3.667364021142324,0.0026403008981661616,0.022894965277777776,58.11831421322293
regularized_42,42,31,21,21,4608,8,30,23,4463,0.036817834014073014,0.02495887503027916,-77.87374877929688,78634.71120469223,38895.25806347007,43.06981372833252,-0.003250726938454641,86.21943028767903,3.665076580312517,0.0015015148974018505,0.00830078125,58.04673067728678
regularized_42,42,31,22,22,4608,8,30,23,4463,0.036979999975301325,0.02487979200668633,-75.65972900390625,76417.1309651678,39019.0540558776,35.64641809463501,-0.0030987968978782496,71.37245877583821,3.67128856976827,0.0018407511846210884,0.010904947916666666,54.43910884857178
regularized_42,42,31,23,23,4608,8,30,23,4463,0.03688666701782495,0.024851292022503912,-79.25115966796875,79554.75904372412,38324.65719418944,38.496292008294,-0.0044064658965605,77.07503191630046,3.6817349394162497,0.0020692663873534104,0.013943142361111112,56.17685763041178
regularized_42,42,31,24,24,4608,8,30,23,4463,0.03689216694328934,0.024967958917841315,-82.90428161621094,83645.5307498236,38087.90434570392,40.33203411102295,-0.004347494079007043,80.74647967020671,3.6858053472306995,0.002211496991751321,0.026529947916666668,58.650522232055664
regularized_42,42,31,25,25,4608,8,30,23,4463,0.03717562498059124,0.025263958028517663,-80.44243621826172,81545.85023138302,38172.402394224795,37.09284528096517,-0.0039430698767925305,74.26714875962999,3.67859728468789,0.00224241241340274,0.019856770833333332,54.99820507897271
regularized_42,42,31,26,26,4608,8,30,23,4463,0.037254041992127895,0.024888125015422702,-74.91539001464844,75717.18463409328,36832.49242959953,30.87734752231174,-0.005246878097144266,61.83840963575575,3.6610568496916027,0.003957185152507413,0.05392795138888889,48.06670061747233
regularized_42,42,31,27,27,4608,8,30,23,4463,0.03688629192765802,0.024982542032375932,-75.64288330078125,76578.60683779992,35383.27565077132,29.862142615848118,-0.005140941835836404,59.80790032280816,3.6666707926326327,0.0029239053087874506,0.03195529513888889,47.92801094055176
regularized_42,42,31,28,28,4608,8,30,23,4463,0.036928582936525345,0.02500229107681662,-71.81266784667969,73005.0665793166,35861.62278037224,25.062730259365505,-0.005238735194628437,50.20945527818468,3.6758775446150036,0.003491385801529153,0.038628472222222224,42.79409154256185
regularized_42,42,31,29,29,4608,8,30,23,4463,0.037314999965019524,0.0254026249749586,-75.37173461914062,76115.21719506488,36394.343743651225,27.019782914055718,-0.0037607485169751775,54.12045658959283,3.6684729788038464,0.0027784017145475242,0.03369140625,44.92095915476481
regularized_42,42,31,30,30,4608,8,30,23,4463,0.03697716596070677,0.02483645803295076,-78.51896667480469,79411.63911098626,35680.49067127027,29.082098695966934,-0.004960419920583566,58.24730661180284,3.659417834546831,0.002184318404639877,0.021647135416666668,47.312995698716904
regularized_42,42,31,31,31,4608,8,30,23,4463,0.0371711669722572,0.025026292074471712,-80.34544372558594,81129.13516425622,33709.94886090897,31.63592513402303,-0.0031561899231746793,63.35102770063612,3.6432430810398526,0.002221973446062798,0.022677951388888888,48.05234305063883
regularized_42,42,31,32,32,4608,8,30,23,4463,0.037137791980057955,0.025171624962240458,-85.22567749023438,85194.86491795658,35704.51201895754,34.65494749281142,-0.00566829415038228,69.3935579723782,3.6163660751448736,0.002896683479826202,0.029513888888888888,51.73933855692545
regularized_42,42,31,33,33,4608,8,30,23,4463,0.037231915979646146,0.02517541602719575,-80.52799224853516,81384.94050816548,32513.73378778214,29.90538109673394,-0.0050095735479974085,59.89276568094889,3.599248641067081,0.0027914881987069545,0.030815972222222224,47.648963928222656
regularized_42,42,31,34,34,4608,8,30,23,4463,0.03721750003751367,0.02500370901543647,-76.01315307617188,76471.25026219938,30306.077140738205,27.662222491370308,-0.005262179287253982,55.406989627414276,3.6010009712643094,0.0037362986447785967,0.043023003472222224,41.956414964463974
regularized_42,42,31,35,35,4608,8,30,23,4463,0.03686345799360424,0.025137624936178327,-76.8304443359375,77064.01405869587,32095.062415884924,25.24170806672838,-0.004262911466260751,50.56369400024414,3.5875799589686923,0.002302883886967619,0.013237847222222222,41.72558095720079
regularized_42,42,31,36,36,4608,8,30,23,4463,0.03727683296892792,0.0250904590357095,-79.68289184570312,79987.9675818979,30737.378339751405,28.193063577016193,-0.00557414245688253,56.468386226230194,3.555537866221534,0.0032400817283233766,0.03575303819444445,44.03238985273573
regularized_42,42,31,37,37,4608,8,30,23,4463,0.03697395802009851,0.02554308297112584,-82.37381744384766,82407.03768359532,28142.34316455907,31.584794521331787,-0.004451324477688306,63.24942864312066,3.5468693905406528,0.0022693201708787252,0.022352430555555556,45.87607775794135
regularized_42,42,31,38,38,4608,8,30,23,4463,0.03724070906173438,0.024898958043195307,-74.61119079589844,74802.59297589395,29221.001825364154,24.10385783513387,-0.006194213198290931,48.29105991787381,3.5477793415387473,0.0035603343092892223,0.04123263888888889,38.54426574707031
regularized_42,42,31,39,39,4608,8,30,23,4463,0.03722733398899436,0.025138166965916753,-76.14213562011719,76880.74735765695,28362.07745204919,23.734884791904026,-0.004639379059274991,47.54979525672065,3.537340078088972,0.0033503935627297527,0.035590277777777776,38.853718015882706
regularized_42,42,31,40,40,4608,8,30,23,4463,0.036942207952961326,0.025506625068373978,-78.24700927734375,78337.73462433094,28682.715045602177,24.658308347066242,-0.004510744371347957,49.39633051554362,3.5345959862073264,0.002662159448340794,0.029947916666666668,39.2694550620185
regularized_42,42,31,41,41,4608,8,30,23,4463,0.03741529199760407,0.025450499961152673,-73.43163299560547,74076.76730013384,28432.353096281175,20.435200903150772,-0.005852253745413489,40.952592319912384,3.5243301457828946,0.004255183072725938,0.052191840277777776,34.47715420193143
regularized_42,42,31,42,42,4608,8,30,23,4463,0.03718533297069371,0.025235750013962388,-81.63091278076172,81679.44898298566,29609.49918656956,25.740702946980793,-0.005227490237707065,51.561738120185005,3.4938670065667896,0.0026052569739173728,0.019314236111111112,40.2768939336141
regularized_42,42,31,43,43,4608,8,30,23,4463,0.03705187502782792,0.02531512500718236,-74.16848754882812,74785.87200699889,29985.45525578939,20.036125395033096,-0.006175033851630158,40.15454069773356,3.4969789716932507,0.004225940532655336,0.05555555555555555,33.93854681650797
regularized_42,42,31,44,44,4608,8,30,23,4463,0.0374910410027951,0.025332374963909388,-80.5189437866211,80774.67841901028,30712.465630457544,23.006211757659912,-0.004192372900433838,46.09075238969591,3.497220774491628,0.002220249799317268,0.0126953125,38.17533100975884
regularized_42,42,31,45,45,4608,8,30,23,4463,0.03749962500296533,0.02538524998817593,-79.76837158203125,79800.7097477029,28229.124585243684,24.467363198598225,-0.004958903572211663,49.01434908972846,3.485229319996304,0.002279243790098917,0.028645833333333332,36.884977128770615
regularized_42,42,31,46,46,4608,8,30,23,4463,0.03721133293583989,0.025222708005458117,-77.48355865478516,78047.44696781223,28741.896380100585,23.8101421462165,-0.004491296545084979,47.69936074150933,3.5047131048308477,0.0031730476642021837,0.026746961805555556,34.83608627319336
regularized_42,42,31,47,47,4608,8,30,23,4463,0.037573875044472516,0.02526854199822992,-72.78706359863281,73388.047447543,28290.243473436145,19.59355486763848,-0.005060235646346377,39.267230139838325,3.5000135236316257,0.003601386069703949,0.03683810763888889,30.091056664784748
