predictor_id,scenario,issue_hour,month,period,target,population,unit,n,absolute_error_sum,squared_error_sum,signed_error_sum,actual_abs_sum,mae,rmse,wape_pct,bias,policy_label,experiment,name,seed,order,case_id,alpha_load,alpha_pv,target_label,month_label
exp001_selected,2,0,0,annual,load,all,kW,48096,8669526.319059374,2945028750.618527,-519810.24995312496,222048476.9355,180.25462240226577,247.45161352437032,3.904339466186779,-10.807764678000767,v1旧预测·v2重算,exp001,selected,ensemble,0.0,,,,负载,0月
exp001_selected,2,0,0,annual,load,pv_generating,kW,26880,4917328.458295313,1711753958.4789786,-441620.3046875,142806829.5625,182.93632657348633,252.35158580853232,3.443342642197111,-16.429326811290924,v1旧预测·v2重算,exp001,selected,ensemble,0.0,,,,负载,0月
exp001_selected,2,0,0,annual,net_load,all,kW,48096,14100565.995138831,8684998062.593105,-1171822.7143745543,144333055.96420002,293.1754406840243,424.94271028376255,9.769464036454892,-24.364244726683182,v1旧预测·v2重算,exp001,selected,ensemble,0.0,,,,净负载,0月
exp001_selected,2,0,0,annual,net_load,pv_generating,kW,26880,10316524.041175414,7431766893.919571,-695719.3135161217,65091408.59120001,383.7992574842043,525.8131066613771,15.849286817508125,-25.88241493735572,v1旧预测·v2重算,exp001,selected,ensemble,0.0,,,,净负载,0月
exp001_selected,2,0,0,annual,pv,all,kW,48096,8638221.941362431,5601253511.279113,652012.4644214297,114413339.9657,179.60374961249232,341.26215987340083,7.550012912788041,13.55648004868242,v1旧预测·v2重算,exp001,selected,ensemble,0.0,,,,光伏,0月
exp001_selected,2,0,0,annual,pv,pv_generating,kW,26880,8240308.485769624,5584148724.50453,254099.00882862177,114413339.9657,306.559095452739,455.7890171381598,7.2022270202408105,9.453088126064795,v1旧预测·v2重算,exp001,selected,ensemble,0.0,,,,光伏,0月
exp002_seed_42,2,0,0,annual,load,all,kW,48096,7870928.698315625,2344379286.2025948,-387159.6513203125,222048476.9355,163.65038045400087,220.77986238321833,3.544689343040146,-8.049726615941294,v2网络·确定性,exp002,primary,42,1.0,,,,负载,0月
exp002_seed_42,2,0,0,annual,load,pv_generating,kW,26880,4405724.509967579,1300411335.456397,-363425.1359863281,142806829.5625,163.90344159105575,219.9508988307239,3.085093705577572,-13.520280356634233,v2网络·确定性,exp002,primary,42,1.0,,,,负载,0月
exp002_seed_42,2,0,0,annual,net_load,all,kW,48096,13515796.576567505,8164568388.897764,-752021.7593976159,144333055.96420002,281.01706122271094,412.0141544192623,9.364311235757334,-15.635848290868594,v2网络·确定性,exp002,primary,42,1.0,,,,净负载,0月
exp002_seed_42,2,0,0,annual,net_load,pv_generating,kW,26880,10051009.224804034,7121210704.854832,-688143.5469048847,65091408.59120001,373.9214741370549,514.7096205475304,15.441376123734514,-25.60057838187815,v2网络·确定性,exp002,primary,42,1.0,,,,净负载,0月
exp002_seed_42,2,0,0,annual,pv,all,kW,48096,8297438.038425766,5674846520.367779,364862.10807730374,114413339.9657,172.51825595529286,343.4967091486276,7.252159617849856,7.586121674927306,v2网络·确定性,exp002,primary,42,1.0,,,,光伏,0月
exp002_seed_42,2,0,0,annual,pv,pv_generating,kW,26880,8257294.3412670195,5673901370.044096,324718.4109185565,114413339.9657,307.1910097197552,459.4373082963732,7.217073064856314,12.080298025243918,v2网络·确定性,exp002,primary,42,1.0,,,,光伏,0月
periodic_seed_42,2,0,0,annual,load,all,kW,48096,8503167.0055,2870174503.9868774,93761.69490000005,222048476.9355,176.79572117223884,244.28661499529923,3.829419198389717,1.949469704341318,周期基线,exp003,periodic,42,4.0,periodic_seed_42,0.0,0.0,负载,0月
periodic_seed_42,2,0,0,annual,load,pv_generating,kW,26880,4692123.9091,1543190229.29556,9959.614300000016,142806829.5625,174.55818114211309,239.60457172651263,3.285643917363541,0.3705213653273815,周期基线,exp003,periodic,42,4.0,periodic_seed_42,0.0,0.0,负载,0月
periodic_seed_42,2,0,0,annual,net_load,all,kW,48096,14612966.913199998,9662178261.517368,57159.806199999875,144333055.96420002,303.8291523868929,448.2115496746542,10.124476902106585,1.1884523910512284,周期基线,exp003,periodic,42,4.0,periodic_seed_42,0.0,0.0,净负载,0月
periodic_seed_42,2,0,0,annual,net_load,pv_generating,kW,26880,10801924.2207,8335200638.793941,-26534.811299999972,65091408.59120001,401.8572998772322,556.8566327870589,16.59500762771995,-0.9871581584821418,周期基线,exp003,periodic,42,4.0,periodic_seed_42,0.0,0.0,净负载,0月
periodic_seed_42,2,0,0,annual,pv,all,kW,48096,8914424.8565,6769809675.0324,36601.88870000008,114413339.9657,185.34649152736193,375.1748781365903,7.791420877296701,0.7610173132900883,周期基线,exp003,periodic,42,4.0,periodic_seed_42,0.0,0.0,光伏,0月
periodic_seed_42,2,0,0,annual,pv,pv_generating,kW,26880,8914317.393399999,6769809123.751596,36494.4256,114413339.9657,331.6338315997023,501.8495969876943,7.79132695197293,1.3576795238095238,周期基线,exp003,periodic,42,4.0,periodic_seed_42,0.0,0.0,光伏,0月
uncalibrated_seed_42,2,0,0,annual,load,all,kW,48096,7619926.628484048,2171603630.4766655,-271140.61495206563,222048476.9355,158.43160821033032,212.48868069323527,3.431650031401684,-5.637487835829708,Q2独立·未校准,exp003,uncalibrated,42,5.0,uncalibrated_seed_42,1.0,1.0,负载,0月
