date,hour,plan_kwh,emergency_kwh,actual_net_kwh,predicted_net_kwh
2025-03-20,0.08333333333333333,1436.19189453125,0.0,549.8448166666667,602.8585611979166
2025-03-20,0.25,1430.885701497396,0.0,570.3135,597.5523681640625
2025-03-20,0.4166666666666667,1419.0349934895835,0.0,613.8516666666667,585.70166015625
2025-03-20,0.5833333333333334,1427.7938639322917,0.0,579.4561666666667,594.4605305989584
2025-03-20,0.75,1421.6273193359375,0.0,550.4449166666667,588.2939860026041
2025-03-20,0.9166666666666666,1398.433349609375,0.0,571.1566666666666,565.1000162760416
2025-03-20,1.0833333333333333,558.8130696614584,0.0,601.5890499999999,558.8130696614584
2025-03-20,1.25,1384.817586263021,0.0,611.48375,551.4842529296875
2025-03-20,1.4166666666666667,1376.6800130208335,0.0,598.2166666666667,543.3466796875
2025-03-20,1.5833333333333333,558.9097493489584,0.0,583.9359499999999,558.9097493489584
2025-03-20,1.75,592.1398518880209,0.0,590.99505,592.1398518880209
2025-03-20,1.9166666666666667,1131.3329108776143,0.0,598.4433333333333,609.288330078125
2025-03-20,2.0833333333333335,1414.1082763671875,0.0,565.9836166666666,580.7749430338541
2025-03-20,2.25,569.4045003255209,0.0,546.1207666666667,569.4045003255209
2025-03-20,2.4166666666666665,588.1983235677084,0.0,565.7133333333334,588.1983235677084
2025-03-20,2.5833333333333335,594.1827799479166,0.0,597.9265666666666,594.1827799479166
2025-03-20,2.75,610.4752197265625,0.0,600.9544666666667,610.4752197265625
2025-03-20,2.9166666666666665,624.8566487630209,0.0,587.1316666666667,624.8566487630209
2025-03-20,3.0833333333333335,596.0557454427084,0.0,605.2103000000001,596.0557454427084
2025-03-20,3.25,575.0658772786459,0.0,621.8923833333333,575.0658772786459
2025-03-20,3.4166666666666665,587.0616861979166,0.0,620.1683333333334,587.0616861979166
2025-03-20,3.5833333333333335,605.2046712239584,0.0,616.6230833333333,605.2046712239584
2025-03-20,3.75,594.9064534505209,0.0,612.46375,594.9064534505209
2025-03-20,3.9166666666666665,575.8400065104166,0.0,603.93,575.8400065104166
2025-03-20,4.083333333333333,597.3303477864634,0.0,589.7946333333333,597.3303477864634
2025-03-20,4.25,607.63720703125,0.0,581.4640499999999,607.63720703125
2025-03-20,4.416666666666667,596.1783447265625,0.0,585.585,596.1783447265625
2025-03-20,4.583333333333333,605.0691309245303,0.0,599.7251333333334,605.0691309245303
2025-03-20,4.75,619.5839029947916,0.0,616.7393166666667,619.5839029947916
2025-03-20,4.916666666666667,621.1783447265625,0.0,625.595,621.1783447265625
2025-03-20,5.083333333333333,608.6624855448803,0.0,619.4339166666667,608.6624855448803
2025-03-20,5.25,604.5978190104166,0.0,617.8444000000001,604.5978190104166
2025-03-20,5.416666666666667,1437.64501953125,0.0,607.115,604.3116861979166
2025-03-20,5.583333333333333,1433.026223341624,0.0,575.4300666666667,599.6928900082906
2025-03-20,5.75,696.463623046875,0.0,671.4631166666667,696.463623046875
2025-03-20,5.916666666666667,0.0,0.0,827.015,829.3766276041666
2025-03-20,6.083333333333333,0.0,0.0,791.9499333333334,797.202507019043
2025-03-20,6.25,0.0,0.0,709.9633166666667,738.9431813557943
2025-03-20,6.416666666666667,0.0,0.0,671.3708333333333,712.5375366210938
2025-03-20,6.583333333333333,0.0,0.0,629.0448666666667,642.4057312011719
2025-03-20,6.75,0.0,0.0,586.1559166666666,573.3634033203125
2025-03-20,6.916666666666667,0.0,0.0,531.1820833333333,523.6087646484375
2025-03-20,7.083333333333333,0.0,0.0,446.5755000000001,469.144287109375
2025-03-20,7.25,0.0,0.0,401.24161666666663,447.2504069010417
2025-03-20,7.416666666666667,419.6907958984375,0.0,369.5770833333333,419.6907958984375
2025-03-20,7.583333333333333,1066.5288968352836,0.0,280.6902,331.1488444010417
2025-03-20,7.75,0.0,0.0,334.57806666666664,407.3735758463542
2025-03-20,7.916666666666667,0.0,0.0,488.17958333333337,569.3387858072916
2025-03-20,8.083333333333334,0.0,0.0,482.80385,498.8089599609375
2025-03-20,8.25,0.0,0.0,438.37139999999994,413.7157796223958
2025-03-20,8.416666666666666,0.0,0.0,411.1575000000001,415.681640625
2025-03-20,8.583333333333334,0.0,0.0,332.6721833333333,388.7413736979167
2025-03-20,8.75,0.0,0.0,278.0051333333333,361.7265625
2025-03-20,8.916666666666666,0.0,0.0,262.82041666666674,339.1412760416667
2025-03-20,9.083333333333334,0.0,0.0,221.2837666666666,277.9453938802083
2025-03-20,9.25,0.0,0.0,150.51836666666668,197.543701171875
2025-03-20,9.416666666666666,0.0,0.0,77.1854166666667,118.3837890625
2025-03-20,9.583333333333334,0.0,0.0,36.094750000000055,46.968424479166664
2025-03-20,9.75,0.0,0.0,41.25734999999986,-5.41845703125
2025-03-20,9.916666666666666,0.0,0.0,45.20708333333338,-37.452473958333336
2025-03-20,10.083333333333334,0.0,0.0,-16.208749999999934,-58.007486979166664
2025-03-20,10.25,0.0,0.0,-54.78779999999991,-71.90608723958333
2025-03-20,10.416666666666666,0.0,0.0,-67.57750000000003,-92.99625651041667
2025-03-20,10.583333333333334,0.0,0.0,-135.7130666666667,-137.77490234375
2025-03-20,10.75,0.0,0.0,-183.8365666666667,-192.04345703125
2025-03-20,10.916666666666666,0.0,0.0,-163.85000000000005,-219.22005208333334
2025-03-20,11.083333333333334,630.3016764322917,0.0,-109.9373833333334,-203.03165690104166
2025-03-20,11.25,0.0,0.0,-109.84115000000004,-258.3509114583333
2025-03-20,11.416666666666666,267.3820997783951,0.0,-159.57708333333326,-340.0775553385417
2025-03-20,11.583333333333334,542.4401041666667,0.0,-180.26761666666667,-290.8932291666667
2025-03-20,11.75,565.2613118489584,0.0,-209.23511666666658,-268.072021484375
2025-03-20,11.916666666666666,510.52709960937506,0.0,-275.0216666666667,-322.8062337239583
2025-03-20,12.083333333333334,480.28792317708337,0.0,-354.02131666666673,-353.04541015625
2025-03-20,12.25,445.02449544270837,0.0,-372.5568,-388.308837890625
2025-03-20,12.416666666666666,405.2421061197917,0.0,-304.28375000000005,-428.0912272135417
2025-03-20,12.583333333333334,413.88655598958337,0.0,-199.82943333333333,-419.44677734375
2025-03-20,12.75,0.0,0.0,-173.0982333333333,-360.7482096354167
2025-03-20,12.916666666666666,0.0,0.0,-195.73666666666668,-291.168701171875
2025-03-20,13.083333333333334,0.0,0.0,-138.07556666666656,-256.623046875
2025-03-20,13.25,0.0,0.0,-90.30038333333323,-223.04386393229166
2025-03-20,13.416666666666666,0.0,0.0,-95.11874999999993,-183.31624348958334
2025-03-20,13.583333333333334,0.0,0.0,-102.19911666666667,-164.35994466145834
2025-03-20,13.75,0.0,0.0,-104.79273333333337,-141.220703125
2025-03-20,13.916666666666666,0.0,0.0,-86.6549999999999,-97.73958333333333
2025-03-20,14.083333333333334,0.0,0.0,-28.35523333333337,-44.677652994791664
2025-03-20,14.25,0.0,0.0,18.553900000000038,-9.094156901041666
2025-03-20,14.416666666666666,0.0,0.0,39.517083333333325,29.36083984375
2025-03-20,14.583333333333334,0.0,0.0,70.29328333333326,112.85514322916667
2025-03-20,14.75,0.0,0.0,126.35851666666667,169.30354817708334
2025-03-20,14.916666666666666,175.623779296875,0.0,180.6441666666668,175.623779296875
2025-03-20,15.083333333333334,528.3842773437499,0.0,197.31856666666667,182.25146484375
2025-03-20,15.25,219.91162109375,0.0,248.8067666666666,219.91162109375
2025-03-20,15.416666666666666,284.7196451822917,0.0,340.1425000000001,284.7196451822917
2025-03-20,15.583333333333334,341.358154296875,0.0,402.7822666666666,341.358154296875
2025-03-20,15.75,347.8629964192708,0.0,452.45245,347.8629964192708
2025-03-20,15.916666666666666,347.1995442708333,0.0,507.3241666666667,347.1995442708333
2025-03-20,16.083333333333332,428.9967854817708,0.0,562.26155,428.9967854817708
2025-03-20,16.25,527.0007731119791,0.0,599.0672166666667,527.0007731119791
2025-03-20,16.416666666666668,593.3712158203125,0.0,630.75625,593.3712158203125
2025-03-20,16.583333333333332,640.6949869791666,0.0,688.73555,640.6949869791666
2025-03-20,16.75,689.7735799153646,0.0,742.7242833333333,689.7735799153646
2025-03-20,16.916666666666668,759.0733642578125,0.0,787.4129166666665,759.0733642578125
2025-03-20,17.083333333333332,843.8038736979166,0.0,843.2324500000001,843.8038736979166
2025-03-20,17.25,867.4050801595052,0.0,873.8551833333332,867.4050801595052
2025-03-20,17.416666666666668,877.944580078125,0.0,904.7237500000001,877.944580078125
2025-03-20,17.583333333333332,975.3697306315104,0.0,973.09075,975.3697306315104
2025-03-20,17.75,913.1465733846029,0.0,873.0031833333334,913.1465733846029
2025-03-20,17.916666666666668,723.27001953125,0.0,682.3533333333334,723.27001953125
2025-03-20,18.083333333333332,419.7271617622487,0.0,697.9972833333333,697.4002278645834
2025-03-20,18.25,724.9004139105479,0.0,739.3082166666667,724.9004139105479
2025-03-20,18.416666666666668,718.191650390625,0.0,709.2416666666667,718.191650390625
2025-03-20,18.583333333333332,725.7100423177084,0.0,714.4228166666667,725.7100423177084
2025-03-20,18.75,0.0,0.0,744.9743333333332,722.9817234377066
2025-03-20,18.916666666666668,0.0,0.0,763.2066666666666,714.8199869791666
2025-03-20,19.083333333333332,0.0,0.0,746.7180333333334,735.8408203125
2025-03-20,19.25,0.0,0.0,714.2555000000001,741.2892875000834
2025-03-20,19.416666666666668,0.0,0.0,699.4633333333333,738.4933268229166
2025-03-20,19.583333333333332,0.0,0.0,721.8114,774.7227376302084
2025-03-20,19.75,0.0,0.0,728.491,771.7914794270959
2025-03-20,19.916666666666668,0.0,0.0,726.3683333333333,734.2616373697916
2025-03-20,20.083333333333332,0.0,0.0,764.3365166666667,743.3182779947916
2025-03-20,20.25,0.0,540.2984063608594,753.9438166666667,731.62548828125
2025-03-20,20.416666666666668,0.0,702.5616666666666,702.5616666666666,699.2283528645834
2025-03-20,20.583333333333332,0.0,709.3744833333334,709.3744833333334,721.3134765625
2025-03-20,20.75,752.0056966145834,0.0,719.8359833333334,752.0056966145834
2025-03-20,20.916666666666668,747.4783528645834,0.0,709.5416666666666,747.4783528645834
2025-03-20,21.083333333333332,712.1774088541666,0.0,715.0446833333334,712.1774088541666
2025-03-20,21.25,706.631591796875,0.0,736.4506,706.631591796875
2025-03-20,21.416666666666668,734.4300130208334,0.0,758.9333333333334,734.4300130208334
2025-03-20,21.583333333333332,731.77490234375,16.69440778645876,754.3754666666667,731.77490234375
2025-03-20,21.75,652.2301839192709,14.707349414062492,666.9375333333334,652.2301839192709
2025-03-20,21.916666666666668,557.7683512369791,0.0,553.1566666666666,557.7683512369791
2025-03-20,22.083333333333332,1203.9439109519678,0.0,538.9014666666667,562.166748046875
2025-03-20,22.25,0.0,0.0,553.3285,577.5994466145834
2025-03-20,22.416666666666668,563.60498046875,0.0,542.64,563.60498046875
2025-03-20,22.583333333333332,562.5255126953125,0.0,524.0221,562.5255126953125
2025-03-20,22.75,554.3868001302084,0.0,526.9695666666667,554.3868001302084
2025-03-20,22.916666666666668,549.6933186848959,0.0,549.4,549.6933186848959
2025-03-20,23.083333333333332,581.4035237630209,0.0,559.40135,581.4035237630209
2025-03-20,23.25,587.5698649088541,0.0,543.6279333333333,587.5698649088541
2025-03-20,23.416666666666668,569.7449951171875,0.0,544.6216666666667,569.7449951171875
2025-03-20,23.583333333333332,578.2926025390625,0.0,600.6793333333334,578.2926025390625
2025-03-20,23.75,515.012939453125,0.0,540.9781833333333,515.012939453125
2025-03-20,23.916666666666668,406.7183430989583,0.0,400.1666666666667,406.7183430989583
2025-06-21,0.08333333333333333,548.7034505208334,0.0,514.6639666666666,548.7034505208334
2025-06-21,0.25,1308.1737794845453,0.0,533.34865,541.2936604817709
2025-06-21,0.4166666666666667,522.5699869791666,0.0,566.91,522.5699869791666
2025-06-21,0.5833333333333334,524.1490478515625,0.0,510.58768333333336,524.1490478515625
2025-06-21,0.75,531.5594482421875,0.0,470.04286666666667,531.5594482421875
2025-06-21,0.9166666666666666,531.9766845703125,0.0,480.56333333333333,531.9766845703125
2025-06-21,1.0833333333333333,523.5521647135416,0.0,478.3299333333334,523.5521647135416
2025-06-21,1.25,496.3817545572917,0.0,497.6381166666667,496.3817545572917
2025-06-21,1.4166666666666667,476.6599934895833,0.0,527.3633333333333,476.6599934895833
2025-06-21,1.5833333333333333,498.5694986979167,0.0,510.80761666666666,498.5694986979167
2025-06-21,1.75,481.0748291015625,0.0,492.3409833333333,481.0748291015625
2025-06-21,1.9166666666666667,447.4300130208333,0.0,499.1033333333333,447.4300130208333
2025-06-21,2.0833333333333335,496.97900390625,0.0,512.0669,496.97900390625
2025-06-21,2.25,506.7176920572917,0.0,502.1835833333334,506.7176920572917
2025-06-21,2.4166666666666665,463.7683512369792,0.0,473.125,463.7683512369792
2025-06-21,2.5833333333333335,476.9005533854167,0.0,458.3199833333333,476.9005533854167
2025-06-21,2.75,477.2148030598958,0.0,470.09745,477.2148030598958
2025-06-21,2.9166666666666665,451.1233317057292,0.0,489.3733333333333,451.1233317057292
2025-06-21,3.0833333333333335,461.2514016276109,0.0,486.69803333333334,461.2514016276109
2025-06-21,3.25,471.0972493489583,0.0,491.8388,471.0972493489583
2025-06-21,3.4166666666666665,470.22998046875,0.0,496.2516666666667,470.22998046875
2025-06-21,3.5833333333333335,487.24664218754816,0.0,463.3803,487.24664218754816
2025-06-21,3.75,499.4479573567708,0.0,454.71765,499.4479573567708
2025-06-21,3.9166666666666665,480.9666748046875,0.0,477.0316666666667,480.9666748046875
2025-06-21,4.083333333333333,434.7276139954726,0.0,474.28198333333336,434.7276139954726
2025-06-21,4.25,433.7089029947917,0.0,458.1585,433.7089029947917
2025-06-21,4.416666666666667,466.6483154296875,0.0,446.2183333333333,466.6483154296875
2025-06-21,4.583333333333333,452.75968194007874,0.0,442.9532833333333,452.75968194007874
2025-06-21,4.75,440.2032877604167,0.0,450.38674999999995,440.2032877604167
2025-06-21,4.916666666666667,437.3337483406067,0.0,454.1741666666667,437.3337483406067
2025-06-21,5.083333333333333,391.6065928141276,0.0,424.65871666666663,391.6065928141276
2025-06-21,5.25,373.1641845703125,0.0,390.48345,373.1641845703125
2025-06-21,5.416666666666667,384.7162577311198,0.0,370.84583333333336,384.7162577311198
2025-06-21,5.583333333333333,1189.16357421875,0.0,359.578,355.8302408854167
2025-06-21,5.75,0.0,0.0,337.0349166666667,305.02562459309894
2025-06-21,5.916666666666667,0.0,0.0,308.48999999999995,264.8049723307292
2025-06-21,6.083333333333333,0.0,0.0,291.9625,244.4643351236979
2025-06-21,6.25,0.0,0.0,246.47136666666668,200.3332316080729
2025-06-21,6.416666666666667,0.0,0.0,166.35125000000002,135.74833170572916
2025-06-21,6.583333333333333,0.0,55.71529013199241,97.38518333333332,102.84702555338542
2025-06-21,6.75,0.0,86.21210000000004,86.21210000000004,106.9049072265625
2025-06-21,6.916666666666667,0.0,100.83666666666666,100.83666666666666,107.15791829427083
2025-06-21,7.083333333333333,0.0,63.2823,63.2823,51.335856119791664
2025-06-21,7.25,0.0,21.927683333333334,21.927683333333334,-25.258544921875
2025-06-21,7.416666666666667,0.0,0.0,-8.339583333333318,-89.08540852864583
2025-06-21,7.583333333333333,0.0,0.0,-62.966783333333375,-133.65425618489584
2025-06-21,7.75,0.0,0.0,-116.30371666666663,-164.28780110677084
2025-06-21,7.916666666666667,0.0,0.0,-156.84416666666667,-182.58585611979166
2025-06-21,8.083333333333334,0.0,0.0,-195.45211666666668,-191.6246337890625
2025-06-21,8.25,0.0,0.0,-213.46854999999996,-224.29866536458334
2025-06-21,8.416666666666666,0.0,0.0,-220.18499999999995,-281.5137125651042
2025-06-21,8.583333333333334,0.0,0.0,-241.48293333333336,-321.9352620442708
2025-06-21,8.75,0.0,0.0,-229.76293333333334,-297.5940348307292
2025-06-21,8.916666666666666,0.0,0.0,-182.57583333333332,-256.4900309244792
2025-06-21,9.083333333333334,0.0,0.0,-160.17538333333337,-291.65234375
2025-06-21,9.25,0.0,0.0,-214.9699666666667,-294.389892578125
2025-06-21,9.416666666666666,0.0,0.0,-328.28541666666666,-262.2628987630208
2025-06-21,9.583333333333334,0.0,0.0,-421.11823333333336,-308.2163492838542
2025-06-21,9.75,0.0,0.0,-449.5261833333334,-377.6510009765625
2025-06-21,9.916666666666666,0.0,0.0,-440.5662500000001,-415.9433186848958
2025-06-21,10.083333333333334,0.0,0.0,-460.63086666666663,-424.4075520833333
2025-06-21,10.25,0.0,0.0,-489.01713333333333,-451.2294108072917
2025-06-21,10.416666666666666,0.0,0.0,-516.5129166666667,-499.0421142578125
2025-06-21,10.583333333333334,0.0,0.0,-561.1812333333334,-526.2216796875
2025-06-21,10.75,0.0,0.0,-612.9263166666667,-541.1504313151041
2025-06-21,10.916666666666666,0.0,0.0,-620.1483333333334,-562.3216959635416
2025-06-21,11.083333333333334,0.0,0.0,-560.1608333333335,-593.5127360026041
2025-06-21,11.25,0.0,0.0,-647.0425166666668,-594.448974609375
2025-06-21,11.416666666666666,0.0,0.0,-807.4108333333334,-576.5133056640625
2025-06-21,11.583333333333334,0.0,0.0,-745.9289500000001,-585.41552734375
2025-06-21,11.75,0.0,0.0,-658.8928833333334,-557.4785970052084
2025-06-21,11.916666666666666,0.0,0.0,-672.33875,-488.7803955078125
2025-06-21,12.083333333333334,0.0,0.0,-718.1202666666668,-452.3770751953125
2025-06-21,12.25,0.0,0.0,-741.4567166666667,-475.9232991536458
2025-06-21,12.416666666666666,0.0,0.0,-742.4087500000002,-525.7674967447916
2025-06-21,12.583333333333334,0.0,0.0,-757.6472166666668,-536.1616617838541
2025-06-21,12.75,0.0,0.0,-771.6880166666666,-509.9390055338542
2025-06-21,12.916666666666666,0.0,0.0,-726.9316666666667,-490.421630859375
2025-06-21,13.083333333333334,0.0,0.0,-597.1579833333333,-511.0687662760417
2025-06-21,13.25,0.0,0.0,-582.0512833333333,-480.41162109375
2025-06-21,13.416666666666666,0.0,0.0,-625.26625,-406.22998046875
2025-06-21,13.583333333333334,0.0,0.0,-477.58713333333327,-391.3092041015625
2025-06-21,13.75,0.0,0.0,-358.25280000000004,-397.3529052734375
2025-06-21,13.916666666666666,0.0,0.0,-349.05833333333334,-390.7916259765625
2025-06-21,14.083333333333334,0.0,0.0,-315.6512166666667,-378.3495279947917
2025-06-21,14.25,0.0,0.0,-288.67765,-361.6298421223958
2025-06-21,14.416666666666666,0.0,0.0,-288.4579166666667,-327.7395833333333
2025-06-21,14.583333333333334,0.0,0.0,-289.53489999999994,-267.5807291666667
2025-06-21,14.75,0.0,0.0,-299.4660833333334,-234.7257080078125
2025-06-21,14.916666666666666,0.0,0.0,-300.13041666666663,-217.72664388020834
2025-06-21,15.083333333333334,0.0,0.0,-256.8200666666667,-158.88260904947916
2025-06-21,15.25,0.0,0.0,-204.78816666666663,-133.05550130208334
2025-06-21,15.416666666666666,0.0,0.0,-155.9333333333334,-118.66792805989583
2025-06-21,15.583333333333334,0.0,0.0,-90.65628333333325,-17.828694661458332
2025-06-21,15.75,56.790771484375,0.0,-27.328983333333326,56.790771484375
2025-06-21,15.916666666666666,76.22871907552083,0.0,27.005000000000035,76.22871907552083
2025-06-21,16.083333333333332,118.1229248046875,0.0,78.57155000000004,118.1229248046875
2025-06-21,16.25,139.846923828125,0.0,103.20429999999995,139.846923828125
2025-06-21,16.416666666666668,169.04585774739584,0.0,105.90750000000003,169.04585774739584
2025-06-21,16.583333333333332,274.0273844401042,0.0,115.4240333333333,274.0273844401042
2025-06-21,16.75,288.9128011067708,0.0,109.61968333333327,288.9128011067708
2025-06-21,16.916666666666668,228.64542643229166,0.0,102.78125,228.64542643229166
2025-06-21,17.083333333333332,275.04661051432294,0.0,142.62743333333333,275.04661051432294
2025-06-21,17.25,321.4010823567708,0.0,212.795,321.4010823567708
2025-06-21,17.416666666666668,320.54750569661456,0.0,288.96791666666667,320.54750569661456
2025-06-21,17.583333333333332,340.2977294921875,0.0,353.47016666666667,340.2977294921875
2025-06-21,17.75,371.9537760416667,0.0,382.3209166666666,371.9537760416667
2025-06-21,17.916666666666668,407.13916015625,0.0,385.9016666666667,407.13916015625
2025-06-21,18.083333333333332,0.0,0.0,402.35903333333334,453.1721598307292
2025-06-21,18.25,362.56750977588536,0.0,436.62475,497.05023193359375
2025-06-21,18.416666666666668,0.0,0.0,481.6816666666667,534.1349843343099
2025-06-21,18.583333333333332,0.0,0.0,530.1291666666667,569.4978535970052
2025-06-21,18.75,0.0,0.0,585.4546833333334,593.2048174540201
2025-06-21,18.916666666666668,0.0,0.0,640.82625,610.8437662919363
2025-06-21,19.083333333333332,0.0,0.0,667.4907,634.4964192708334
2025-06-21,19.25,0.0,0.0,617.2469166666666,637.8711998065313
2025-06-21,19.416666666666668,0.0,0.0,548.9133333333333,614.413330078125
2025-06-21,19.583333333333332,0.0,0.0,582.0875666666667,594.940673828125
2025-06-21,19.75,0.0,0.0,581.7387500000001,578.4789382815361
2025-06-21,19.916666666666668,0.0,0.0,531.6033333333334,584.489990234375
2025-06-21,20.083333333333332,0.0,0.0,558.0394333333334,634.9885660807291
2025-06-21,20.25,0.0,0.0,620.8647333333333,648.4959327472994
2025-06-21,20.416666666666668,0.0,0.0,660.0216666666666,628.433349609375
2025-06-21,20.583333333333332,0.0,0.0,646.9707500000001,655.4149576822916
2025-06-21,20.75,676.3886179687494,0.0,585.61195,676.3886179687494
2025-06-21,20.916666666666668,653.1283365885416,0.0,526.72,653.1283365885416
2025-06-21,21.083333333333332,602.3349202473959,0.0,535.7850999999999,602.3349202473959
2025-06-21,21.25,561.7986653645834,0.0,581.51715,561.7986653645834
2025-06-21,21.416666666666668,557.0966796875,0.0,618.915,557.0966796875
2025-06-21,21.583333333333332,582.3134358723959,0.0,619.2412833333334,582.3134358723959
2025-06-21,21.75,576.7703043619791,0.0,576.7794666666667,576.7703043619791
2025-06-21,21.916666666666668,544.5733235677084,0.0,528.28,544.5733235677084
2025-06-21,22.083333333333332,1139.507197627315,0.0,526.8737333333333,543.5498046875
2025-06-21,22.25,0.0,0.0,544.7410833333333,536.3616536458334
2025-06-21,22.416666666666668,531.6983235677084,0.0,552.865,531.6983235677084
2025-06-21,22.583333333333332,578.8273111979166,0.0,546.83985,578.8273111979166
2025-06-21,22.75,608.9878336588541,0.0,541.7929,608.9878336588541
2025-06-21,22.916666666666668,577.2049967447916,0.0,531.7316666666667,577.2049967447916
2025-06-21,23.083333333333332,508.0796712239583,0.0,499.8227166666666,508.0796712239583
2025-06-21,23.25,484.2649739583333,0.0,486.82905,484.2649739583333
2025-06-21,23.416666666666668,511.989990234375,0.0,498.2166666666667,511.989990234375
2025-06-21,23.583333333333332,532.2108968098959,0.0,504.09516666666667,532.2108968098959
2025-06-21,23.75,582.97021484375,0.0,532.2190166666667,582.97021484375
2025-06-21,23.916666666666668,654.8966471354166,0.0,606.0233333333333,654.8966471354166
2025-09-23,0.08333333333333333,1489.5242919921875,0.0,570.1843333333334,656.1909586588541
2025-09-23,0.25,1500.0669352213542,0.0,560.3181833333333,666.7336018880209
2025-09-23,0.4166666666666667,1458.560017903646,0.0,564.7666666666667,625.2266845703125
2025-09-23,0.5833333333333334,1421.9638671875,0.0,598.5089166666667,588.6305338541666
2025-09-23,0.75,1406.1142985026042,0.0,606.51065,572.7809651692709
2025-09-23,0.9166666666666666,1409.0900065104167,0.0,589.77,575.7566731770834
2025-09-23,1.0833333333333333,628.9504429062887,0.0,597.35335,586.206298828125
2025-09-23,1.25,1416.2549641927085,0.0,579.9716666666667,582.921630859375
2025-09-23,1.4166666666666667,1403.789998372396,0.0,552.68,570.4566650390625
2025-09-23,1.5833333333333333,576.1825764973959,0.0,584.05335,576.1825764973959
2025-09-23,1.75,604.6679280598959,0.0,601.8616166666667,604.6679280598959
2025-09-23,1.9166666666666667,1454.6283365885417,0.0,590.6066666666667,621.2950032552084
2025-09-23,2.0833333333333335,1420.1219075520835,0.0,604.56305,586.78857421875
2025-09-23,2.25,572.6755777994791,0.0,607.7995500000001,572.6755777994791
2025-09-23,2.4166666666666665,604.0916748046875,0.0,594.9866666666667,604.0916748046875
2025-09-23,2.5833333333333335,633.2806803385416,0.0,598.5124,633.2806803385416
2025-09-23,2.75,621.6542154947916,0.0,587.2797666666667,621.6542154947916
2025-09-23,2.9166666666666665,599.8999837239584,0.0,567.005,599.8999837239584
2025-09-23,3.0833333333333335,627.8063557942709,0.0,578.4799333333334,627.8063557942709
2025-09-23,3.25,622.0963134765625,0.0,591.0519666666667,622.0963134765625
2025-09-23,3.4166666666666665,581.1933186848959,0.0,586.85,581.1933186848959
2025-09-23,3.5833333333333335,590.3946940104166,0.0,582.1735833333333,590.3946940104166
2025-09-23,3.75,611.9051513671875,0.0,602.7533333333333,611.9051513671875
2025-09-23,3.9166666666666665,625.6416829427084,0.0,623.1283333333333,625.6416829427084
2025-09-23,4.083333333333333,647.9300292317834,0.0,595.5226833333332,647.9300292317834
2025-09-23,4.25,644.1480305989584,0.0,591.4709333333334,644.1480305989584
2025-09-23,4.416666666666667,624.4200032552084,0.0,616.0716666666666,624.4200032552084
2025-09-23,4.583333333333333,633.3069342449307,0.0,604.8963,633.3069342449307
