name,scenario,seed,kind,method,weight,update_hours,anticipate,raw_pv,known_price,planned_kwh,final_kwh,emergency_kwh,emergency_minutes,charge_kwh,discharge_kwh,surplus_kwh,planned_cost,up_cost,down_cost,emergency_cost,total_cost,violations,solve_execute_seconds,solver_calls,timeout_count,fallback_count,incumbent_count,gap_certified_count,final_soc,daily_cvar90,worst_day_cost,worst_date,cache_key,source_experiment,comparison_status,strict_q2_input_isolation_verified,experiment,policy_id,policy_label,order,planned_wan,emergency_wan,total_wan,days,start_date,end_date,initial_soc,max_balance_error,max_state_error,case_id,alpha_load,alpha_pv,updates
legacy_rebased,2,42,legacy,deterministic,0.0,[],True,False,False,19310623.56978458,19310623.56978458,730041.0880550798,44340.0,6276030.03677205,5648637.450206511,1474082.5763074558,11613278.032118578,0.0,0.0,4229376.15856689,15842654.19068547,0.0,19.06835708755534,334.0,0.0,0.0,0.0,334.0,1200.0,92651.63688211232,142797.63500743534,2025-07-03,b046af101c7471d7,exp002,archived_v2_protocol_only,False,exp002,exp001_legacy_rebased,v1旧预测·v2重算,0,1161.3278032118578,422.93761585668904,1584.2654190685469,,,,,,,,,,
new_deterministic,2,42,mlp,deterministic,0.0,[],True,False,False,19421489.42026521,19421489.42026521,628285.6174340288,39410.0,6315396.677972004,5684067.42728647,1479256.2920470352,11677852.86107377,0.0,0.0,3674449.4188399934,15352302.279913764,0.0,17.69889313308522,334.0,0.0,0.0,0.0,334.0,1200.0,84488.05931153643,138741.68016550646,2025-06-01,11dcc1f0cbd5f8d1,exp002,archived_v2_protocol_only,False,exp002,exp002_new_deterministic,v2网络·确定性,1,1167.785286107377,367.4449418839993,1535.2302279913765,,,,,,,,,,
primary,2,42,mlp,risk,0.1,[],True,False,False,19494424.579403117,19494424.579403117,579717.6630443097,36830.0,6316145.326189278,5684741.210682016,1503548.631973502,11755724.512758028,0.0,0.0,3373172.939952124,15128897.452710154,0.0,907.7401532150108,334.0,334.0,0.0,334.0,0.0,1200.0,83083.73793737212,138575.9787136527,2025-06-01,e1adab7c9c5c9092,exp002,archived_v2_protocol_only,False,exp002,exp002_primary,v2正式·风险调度,2,1175.5724512758027,337.31729399521237,1512.8897452710153,,,,,,,,,,
periodic,2,42,periodic,deterministic,0.0,,,,,19576927.878671203,19576927.878671203,549745.630304618,34290.0,6341182.544297077,5707225.173739036,1553526.6434511114,11804823.083825326,0.0,0.0,3183791.15077276,14988614.234598083,0.0,12.757043551653624,334.0,0.0,0.0,0.0,334.0,1252.2126194292532,84837.2764247096,154222.41144912122,2025-07-03,6700959e6a312e4de055,,,,exp003,exp003_periodic,周期基线,4,1180.4823083825327,318.379115077276,1498.8614234598083,334.0,2025-02-01,2025-12-31,1421.7991105135516,0.0,9.094947017729282e-13,periodic_seed_42,0.0,0.0,0.0
uncalibrated,2,42,mlp,deterministic,0.0,,,,,19434153.144910023,19434153.144910023,607930.405578771,38790.0,6320654.212443613,5688799.208310919,1471039.0513894334,11686193.33326584,0.0,0.0,3571836.7579253,15258030.09119114,0.0,12.66888682427816,334.0,0.0,0.0,0.0,334.0,1200.0,82559.01029586731,138931.1643456901,2025-06-01,56bb6a42dd365d5b1dbf,,,,exp003,exp003_uncalibrated,Q2独立·未校准,5,1168.619333326584,357.18367579253,1525.803009119114,334.0,2025-02-01,2025-12-31,1421.7991105135516,0.0,9.094947017729282e-13,uncalibrated_seed_42,1.0,1.0,0.0
primary,2,42,mlp,deterministic,0.0,,,,,19576927.868703015,19576927.868703015,549746.4200630353,34290.0,6341190.389431347,5707232.234319866,1553526.638687902,11804823.080143536,0.0,0.0,3183799.5680329795,14988622.648176515,0.0,12.398277213214897,334.0,0.0,0.0,0.0,334.0,1252.2126616066805,84837.27708831233,154222.41305861215,2025-07-03,bdb4c350107003ecd7f0,,,,exp003,exp003_primary,Q2独立·费用校准,6,1180.4823080143535,318.37995680329794,1498.8622648176515,334.0,2025-02-01,2025-12-31,1421.7991105135516,0.0,9.094947017729282e-13,primary_seed_42,0.0,0.0,0.0
primary,2,2026,mlp,deterministic,0.0,,,,,19576927.868703015,19576927.868703015,549746.4200630353,34290.0,6341190.389431347,5707232.234319866,1553526.638687902,11804823.080143536,0.0,0.0,3183799.5680329795,14988622.648176515,0.0,12.398277213214897,334.0,0.0,0.0,0.0,334.0,1252.2126616066805,84837.27708831233,154222.41305861215,2025-07-03,bdb4c350107003ecd7f0,,,,exp003,exp003_primary,Q2独立·费用校准,6,1180.4823080143535,318.37995680329794,1498.8622648176515,334.0,2025-02-01,2025-12-31,1421.7991105135516,0.0,9.094947017729282e-13,primary_seed_2026,0.0,0.0,0.0
primary,2,3407,mlp,deterministic,0.0,,,,,19576927.868703015,19576927.868703015,549746.4200630353,34290.0,6341190.389431347,5707232.234319866,1553526.638687902,11804823.080143536,0.0,0.0,3183799.5680329795,14988622.648176515,0.0,12.398277213214897,334.0,0.0,0.0,0.0,334.0,1252.2126616066805,84837.27708831233,154222.41305861215,2025-07-03,bdb4c350107003ecd7f0,,,,exp003,exp003_primary,Q2独立·费用校准,6,1180.4823080143535,318.37995680329794,1498.8622648176515,334.0,2025-02-01,2025-12-31,1421.7991105135516,0.0,9.094947017729282e-13,primary_seed_3407,0.0,0.0,0.0
