date,repeat,grid_kwh,off_grid_check,risk_seconds,planning_seconds,grid_states,max_actions_per_state,objective_surrogate_yuan,terminal_value_yuan_per_soc_kwh,exact_for_discrete_surrogate_only,projected_seconds,greedy_seconds,full_day_seconds,greedy_simultaneous_slots,total_cost,planned_cost,emergency_cost,simultaneous_slots,throughput_kwh,direction_reversals,equivalent_full_cycles,initial_soc,final_soc,final_mode,max_balance_error,max_state_error
2025-02-01,0,100.0,False,0.023377332952804863,0.016807666048407555,97,16,47955.914512426534,0.39138456507350644,True,0.00047929096035659313,0.00040125008672475815,0.04066428996156901,0,36570.95469290548,36570.95469290548,0.0,0,22920.9388442939,7,0.9555018547327169,6000.0,5185.391386258548,-1,0.0,9.094947017729282e-13
2025-02-01,0,50.0,False,0.023377332952804863,0.04626683401875198,193,33,47754.370227932064,0.39138456507350644,True,0.0004719160497188568,0.00039908301550894976,0.0701160830212757,0,36199.24008291572,36199.24008291572,0.0,0,23207.979029883223,7,0.9674446062756085,6000.0,5185.701281458156,-1,0.0,9.094947017729282e-13
2025-02-01,0,25.0,False,0.023377332952804863,0.1538992919959128,385,67,47695.32383836766,0.39138456507350644,True,0.00041554193012416363,0.0003335409564897418,0.17769216687884182,0,36217.780737580884,36217.78073758088,0.0,0,23275.387697355567,7,0.9706166074121408,6000.0,5018.258302696431,-1,0.0,9.094947017729282e-13
2025-02-15,0,100.0,False,0.004083291976712644,0.01403775007929653,97,16,19094.79562233969,0.39138456507350644,True,0.000397459021769464,0.00032445904798805714,0.018518501077778637,0,19768.85224715041,17974.611579363827,1794.240667786587,0,26402.038410371824,5,1.1076576275396253,6000.0,1851.5793300886091,-1,0.0,7.958078640513122e-13
2025-02-15,0,50.0,False,0.004083291976712644,0.0399832499679178,193,33,18844.428610372972,0.39138456507350644,True,0.0004077500198036432,0.0003323330311104655,0.04447429196443409,0,19441.58518387688,17710.89246678361,1730.6927170932659,0,26812.093644204127,5,1.1246802645891247,6000.0,1869.5078678149755,-1,0.0,9.094947017729282e-13
2025-02-15,0,25.0,False,0.004083291976712644,0.14664845797233284,385,67,18749.530301247734,0.39138456507350644,True,0.00041520793456584215,0.00046758295502513647,0.15114695788361132,0,19479.545676317543,17694.295197430605,1785.2504788869355,0,26930.12098224792,5,1.129695359108184,6000.0,1822.0360534340643,-1,0.0,9.094947017729282e-13
2025-03-20,0,100.0,False,0.006423749960958958,0.014386416994966567,97,16,42667.76691842036,0.39138456507350644,True,0.0003868750063702464,0.000321374973282218,0.02119704196229577,0,43184.774493284654,40788.68967449758,2396.084818787075,0,32574.93496376241,9,1.365118275472829,6000.0,1572.001088452466,-1,0.0,9.094947017729282e-13
2025-03-20,0,50.0,False,0.006423749960958958,0.039989582961425185,193,33,42394.94281132974,0.39138456507350644,True,0.000447375001385808,0.0003292089095339179,0.04686070792376995,0,42795.904420039995,40469.80285058192,2326.101569458076,0,33498.440867752375,9,1.4035950104416648,6000.0,1548.9024779896192,-1,0.0,7.176481631177012e-13
2025-03-20,0,25.0,False,0.006423749960958958,0.14469624997582287,385,67,42265.55254608564,0.39138456507350644,True,0.0003944580676034093,0.00032716698478907347,0.15151445800438523,0,42652.229990419735,40244.45253650399,2407.7774539157444,0,33610.84430873393,9,1.4082813352956443,6000.0,1544.643686627151,-1,0.0,9.094947017729282e-13
2025-06-21,0,100.0,False,0.006614624988287687,0.014042291091755033,97,16,24636.915249199603,0.39138456507350644,True,0.0003934999695047736,0.0003220409853383899,0.021050416049547493,0,22264.650545166045,22128.125271149802,136.5252740162439,0,23591.520389920162,6,0.9882050608656485,6000.0,2996.1196359723453,-1,0.0,7.958078640513122e-13
