model,model_id,role,seed,issue_hour,evaluation_start,evaluation_end,forecast_source,target,population,lead_slot,lead_start_exclusive_minutes,lead_end_inclusive_minutes,n,mae_kw,rmse_kw,wape_pct,bias_kw,absolute_error_sum_kw,squared_error_sum_kw2,signed_error_sum_kw,actual_absolute_sum_kw,missing_reason
final_blend,hgb_extra_trees_half_ridge28_memory,Q2 accepted final midnight forecast,42,0,2025-02-01,2025-12-31,data/results/exp008/forecast_hgb_extra_trees_half/hgb_extra_trees_half_ridge28_memory.npz,net_load,pv_generating,57,560,570,334,382.1024107248643,503.1901130628986,29.979947335291254,-32.33976367966698,127622.20518210466,84568896.8213404,-10801.481069008772,425691.8925,
final_blend,hgb_extra_trees_half_ridge28_memory,Q2 accepted final midnight forecast,42,0,2025-02-01,2025-12-31,data/results/exp008/forecast_hgb_extra_trees_half/hgb_extra_trees_half_ridge28_memory.npz,net_load,pv_generating,58,570,580,334,407.83016431043046,516.930893476417,31.871932379421406,-34.99439060504374,136215.27487968377,89250661.24252915,-11688.126462084609,427383.16980000003,
final_blend,hgb_extra_trees_half_ridge28_memory,Q2 accepted final midnight forecast,42,0,2025-02-01,2025-12-31,data/results/exp008/forecast_hgb_extra_trees_half/hgb_extra_trees_half_ridge28_memory.npz,net_load,pv_generating,59,580,590,334,416.75703014378036,541.3060272196649,31.344834339084873,-39.33957893542512,139196.84806802263,97866079.84484842,-13139.419364431991,444082.25789999997,
final_blend,hgb_extra_trees_half_ridge28_memory,Q2 accepted final midnight forecast,42,0,2025-02-01,2025-12-31,data/results/exp008/forecast_hgb_extra_trees_half/hgb_extra_trees_half_ridge28_memory.npz,net_load,pv_generating,60,590,600,334,430.3570258984101,566.21542679921,30.644234045246414,-46.492575978574166,143739.24665006896,107080369.78816745,-15528.520376843771,469058.05000000005,
final_blend,hgb_extra_trees_half_ridge28_memory,Q2 accepted final midnight forecast,42,0,2025-02-01,2025-12-31,data/results/exp008/forecast_hgb_extra_trees_half/hgb_extra_trees_half_ridge28_memory.npz,net_load,pv_generating,61,600,610,334,440.07089080356775,565.3069706934335,30.063848098061108,-46.35402688151395,146983.67752839162,106737038.35227188,-15482.24497842566,488905.0698,
final_blend,hgb_extra_trees_half_ridge28_memory,Q2 accepted final midnight forecast,42,0,2025-02-01,2025-12-31,data/results/exp008/forecast_hgb_extra_trees_half/hgb_extra_trees_half_ridge28_memory.npz,net_load,pv_generating,62,610,620,334,439.8162071794393,555.8339194763373,28.800632548859486,-48.18924088273525,146898.61319793272,103189749.57750276,-16095.206454833573,510053.4266,
final_blend,hgb_extra_trees_half_ridge28_memory,Q2 accepted final midnight forecast,42,0,2025-02-01,2025-12-31,data/results/exp008/forecast_hgb_extra_trees_half/hgb_extra_trees_half_ridge28_memory.npz,net_load,pv_generating,63,620,630,334,445.09841662781224,574.7642829702809,27.51963977655511,-30.853640728651495,148662.87115368928,110338229.64676595,-10305.1160033696,540206.4575,
final_blend,hgb_extra_trees_half_ridge28_memory,Q2 accepted final midnight forecast,42,0,2025-02-01,2025-12-31,data/results/exp008/forecast_hgb_extra_trees_half/hgb_extra_trees_half_ridge28_memory.npz,net_load,pv_generating,64,630,640,334,451.80682532965085,586.3556098783324,26.3184131861466,-17.794038328132633,150903.4796601034,114833509.01275426,-5943.208801596299,573376.0565000001,
final_blend,hgb_extra_trees_half_ridge28_memory,Q2 accepted final midnight forecast,42,0,2025-02-01,2025-12-31,data/results/exp008/forecast_hgb_extra_trees_half/hgb_extra_trees_half_ridge28_memory.npz,net_load,pv_generating,65,640,650,334,470.8718872759173,599.2559785950973,25.900070569130072,-7.331324194743544,157271.21035015638,119941981.1125772,-2448.6622810443437,607223.0959000001,
final_blend,hgb_extra_trees_half_ridge28_memory,Q2 accepted final midnight forecast,42,0,2025-02-01,2025-12-31,data/results/exp008/forecast_hgb_extra_trees_half/hgb_extra_trees_half_ridge28_memory.npz,net_load,pv_generating,66,650,660,334,463.47296740089394,602.8041624212149,24.36922181852535,-9.684243615809365,154799.97111189857,121366534.64960235,-3234.537367680328,635227.3875,
