variant,seed,target,population,n,absolute_error_sum,squared_error_sum,actual_abs_sum,mae,rmse,wape_pct,model_label,target_label,registry_experiment,registry_record,registry_source,registry_sha256,comparison_basis,raw_record_json,scenario,role,predictor_id,issue_hour,month,period,unit,signed_error_sum,bias,policy_label,experiment,name,order,case_id,alpha_load,alpha_pv,month_label,exploratory,label,source,forecast_reused
gru_no_calendar,mean,pv_corrected,all,192168,28470530.845669914,16298988183.684328,457271934.1543,148.154379738926,291.232465826154,6.22617062609,移除日历特征,光伏预报修正,exp001,10,reports/registry/exp001.json,03dcdf0382c96acd2120ab8fbdf2f95c2e33e4353b526a7125345f94017bcd79,original registry; preserve original protocol and population,"{""variant"": ""gru_no_calendar"", ""seed"": ""mean"", ""target"": ""pv_corrected"", ""population"": ""all"", ""n"": 192168, ""absolute_error_sum"": 28470530.845669914, ""squared_error_sum"": 16298988183.684328, ""actual_abs_sum"": 457271934.1543, ""mae"": 148.154379738926, ""rmse"": 291.232465826154, ""wape_pct"": 6.22617062609, ""model_label"": ""移除日历特征"", ""target_label"": ""光伏预报修正""}",,,,,,,,,,,,,,,,,,,,,
gru_no_calendar,mean,pv_corrected,generating,107413,27495506.20859046,16241572373.012993,457271934.1543,255.979315432866,388.853142143735,6.012944192484,移除日历特征,光伏预报修正,exp001,11,reports/registry/exp001.json,03dcdf0382c96acd2120ab8fbdf2f95c2e33e4353b526a7125345f94017bcd79,original registry; preserve original protocol and population,"{""variant"": ""gru_no_calendar"", ""seed"": ""mean"", ""target"": ""pv_corrected"", ""population"": ""generating"", ""n"": 107413, ""absolute_error_sum"": 27495506.20859046, ""squared_error_sum"": 16241572373.012993, ""actual_abs_sum"": 457271934.1543, ""mae"": 255.979315432866, ""rmse"": 388.853142143735, ""wape_pct"": 6.012944192484, ""model_label"": ""移除日历特征"", ""target_label"": ""光伏预报修正""}",,,,,,,,,,,,,,,,,,,,,
gru_one_day,mean,load,all,192168,34979630.63170664,12424200994.900354,887487989.598,182.026303191513,254.269166384602,3.941420170379,一天历史窗口,小区负载,exp001,12,reports/registry/exp001.json,03dcdf0382c96acd2120ab8fbdf2f95c2e33e4353b526a7125345f94017bcd79,original registry; preserve original protocol and population,"{""variant"": ""gru_one_day"", ""seed"": ""mean"", ""target"": ""load"", ""population"": ""all"", ""n"": 192168, ""absolute_error_sum"": 34979630.63170664, ""squared_error_sum"": 12424200994.900354, ""actual_abs_sum"": 887487989.598, ""mae"": 182.026303191513, ""rmse"": 254.269166384602, ""wape_pct"": 3.941420170379, ""model_label"": ""一天历史窗口"", ""target_label"": ""小区负载""}",,,,,,,,,,,,,,,,,,,,,
gru_one_day,mean,price,all,192168,8242.344947541285,636.645641679873,145615.9419,0.042891350004,0.057558351902,5.66033144448,一天历史窗口,电价,exp001,13,reports/registry/exp001.json,03dcdf0382c96acd2120ab8fbdf2f95c2e33e4353b526a7125345f94017bcd79,original registry; preserve original protocol and population,"{""variant"": ""gru_one_day"", ""seed"": ""mean"", ""target"": ""price"", ""population"": ""all"", ""n"": 192168, ""absolute_error_sum"": 8242.344947541285, ""squared_error_sum"": 636.645641679873, ""actual_abs_sum"": 145615.9419, ""mae"": 0.042891350004, ""rmse"": 0.057558351902, ""wape_pct"": 5.66033144448, ""model_label"": ""一天历史窗口"", ""target_label"": ""电价""}",,,,,,,,,,,,,,,,,,,,,
gru_one_day,mean,pv,all,192168,34768294.036506705,22423374296.88748,457271934.1543,180.926554038689,341.59377523225,7.603417450233,一天历史窗口,光伏历史预测,exp001,14,reports/registry/exp001.json,03dcdf0382c96acd2120ab8fbdf2f95c2e33e4353b526a7125345f94017bcd79,original registry; preserve original protocol and population,"{""variant"": ""gru_one_day"", ""seed"": ""mean"", ""target"": ""pv"", ""population"": ""all"", ""n"": 192168, ""absolute_error_sum"": 34768294.036506705, ""squared_error_sum"": 22423374296.88748, ""actual_abs_sum"": 457271934.1543, ""mae"": 180.926554038689, ""rmse"": 341.59377523225, ""wape_pct"": 7.603417450233, ""model_label"": ""一天历史窗口"", ""target_label"": ""光伏历史预测""}",,,,,,,,,,,,,,,,,,,,,
gru_one_day,mean,pv,generating,107413,33113782.27205263,22355836742.726307,457271934.1543,308.284679434078,456.212353937519,7.241595164439,一天历史窗口,光伏历史预测,exp001,15,reports/registry/exp001.json,03dcdf0382c96acd2120ab8fbdf2f95c2e33e4353b526a7125345f94017bcd79,original registry; preserve original protocol and population,"{""variant"": ""gru_one_day"", ""seed"": ""mean"", ""target"": ""pv"", ""population"": ""generating"", ""n"": 107413, ""absolute_error_sum"": 33113782.27205263, ""squared_error_sum"": 22355836742.726307, ""actual_abs_sum"": 457271934.1543, ""mae"": 308.284679434078, ""rmse"": 456.212353937519, ""wape_pct"": 7.241595164439, ""model_label"": ""一天历史窗口"", ""target_label"": ""光伏历史预测""}",,,,,,,,,,,,,,,,,,,,,
gru_one_day,mean,pv_corrected,all,192168,30403697.21493313,17159314364.43359,457271934.1543,158.214152277867,298.819840951445,6.648931400341,一天历史窗口,光伏预报修正,exp001,16,reports/registry/exp001.json,03dcdf0382c96acd2120ab8fbdf2f95c2e33e4353b526a7125345f94017bcd79,original registry; preserve original protocol and population,"{""variant"": ""gru_one_day"", ""seed"": ""mean"", ""target"": ""pv_corrected"", ""population"": ""all"", ""n"": 192168, ""absolute_error_sum"": 30403697.21493313, ""squared_error_sum"": 17159314364.43359, ""actual_abs_sum"": 457271934.1543, ""mae"": 158.214152277867, ""rmse"": 298.819840951445, ""wape_pct"": 6.648931400341, ""model_label"": ""一天历史窗口"", ""target_label"": ""光伏预报修正""}",,,,,,,,,,,,,,,,,,,,,
gru_one_day,mean,pv_corrected,generating,107413,28354269.87494631,17013578386.898762,457271934.1543,263.974285002247,397.98747985294,6.200745717619,一天历史窗口,光伏预报修正,exp001,17,reports/registry/exp001.json,03dcdf0382c96acd2120ab8fbdf2f95c2e33e4353b526a7125345f94017bcd79,original registry; preserve original protocol and population,"{""variant"": ""gru_one_day"", ""seed"": ""mean"", ""target"": ""pv_corrected"", ""population"": ""generating"", ""n"": 107413, ""absolute_error_sum"": 28354269.87494631, ""squared_error_sum"": 17013578386.898762, ""actual_abs_sum"": 457271934.1543, ""mae"": 263.974285002247, ""rmse"": 397.98747985294, ""wape_pct"": 6.200745717619, ""model_label"": ""一天历史窗口"", ""target_label"": ""光伏预报修正""}",,,,,,,,,,,,,,,,,,,,,
issued,baseline,pv_corrected,all,192168,38568534.13041666,36348368354.36048,457271934.1543,200.702167532662,434.912535130033,8.434485313809,附件原始光伏预报,光伏预报修正,exp001,18,reports/registry/exp001.json,03dcdf0382c96acd2120ab8fbdf2f95c2e33e4353b526a7125345f94017bcd79,original registry; preserve original protocol and population,"{""variant"": ""issued"", ""seed"": ""baseline"", ""target"": ""pv_corrected"", ""population"": ""all"", ""n"": 192168, ""absolute_error_sum"": 38568534.13041666, ""squared_error_sum"": 36348368354.36048, ""actual_abs_sum"": 457271934.1543, ""mae"": 200.702167532662, ""rmse"": 434.912535130033, ""wape_pct"": 8.434485313809, ""model_label"": ""附件原始光伏预报"", ""target_label"": ""光伏预报修正""}",,,,,,,,,,,,,,,,,,,,,
issued,baseline,pv_corrected,generating,107413,38098696.67445,36248936598.97454,457271934.1543,354.693534995299,580.923856907568,8.331737381808,附件原始光伏预报,光伏预报修正,exp001,19,reports/registry/exp001.json,03dcdf0382c96acd2120ab8fbdf2f95c2e33e4353b526a7125345f94017bcd79,original registry; preserve original protocol and population,"{""variant"": ""issued"", ""seed"": ""baseline"", ""target"": ""pv_corrected"", ""population"": ""generating"", ""n"": 107413, ""absolute_error_sum"": 38098696.67445, ""squared_error_sum"": 36248936598.97454, ""actual_abs_sum"": 457271934.1543, ""mae"": 354.693534995299, ""rmse"": 580.923856907568, ""wape_pct"": 8.331737381808, ""model_label"": ""附件原始光伏预报"", ""target_label"": ""光伏预报修正""}",,,,,,,,,,,,,,,,,,,,,
