previous_policy_id,previous_experiment,previous_label,current_policy_id,current_experiment,current_label,metric,population,unit,absolute_change_unit,previous,current,absolute_change,relative_change_pct,comparable,comparability_reason,previous_source,current_source,forecast_seed,rl_seed,period
exp003/primary,exp003,exp003 正式,exp007/regularized_42,exp007,exp007 正式·轻惩罚·42,total_cost,,元,元,14988622.6481765,17925755.5844111,2937132.93623464,19.595749423927,True,同物理口径,data/results/exp003/dispatch_metrics.csv,data/results/exp007/regularized_42/dispatch_2.npz,42,42,2025-02-01/2025-12-31
exp003/primary,exp003,exp003 正式,exp007/regularized_42,exp007,exp007 正式·轻惩罚·42,planned_cost,,元,元,11804823.0801435,15770026.2459973,3965203.16585384,33.5896873585812,True,同物理口径,data/results/exp003/dispatch_metrics.csv,data/results/exp007/regularized_42/dispatch_2.npz,42,42,2025-02-01/2025-12-31
exp003/primary,exp003,exp003 正式,exp007/regularized_42,exp007,exp007 正式·轻惩罚·42,emergency_cost,,元,元,3183799.56803298,2155729.33841381,-1028070.22961917,-32.2906705541873,True,同物理口径,data/results/exp003/dispatch_metrics.csv,data/results/exp007/regularized_42/dispatch_2.npz,42,42,2025-02-01/2025-12-31
exp003/primary,exp003,exp003 正式,exp007/regularized_42,exp007,exp007 正式·轻惩罚·42,planned_kwh,,kWh,kWh,19576927.868703,21363488.8941576,1786561.02545455,9.12584976272335,True,同物理口径,data/results/exp003/dispatch_metrics.csv,data/results/exp007/regularized_42/dispatch_2.npz,42,42,2025-02-01/2025-12-31
exp003/primary,exp003,exp003 正式,exp007/regularized_42,exp007,exp007 正式·轻惩罚·42,emergency_kwh,,kWh,kWh,549746.420063035,488218.146266992,-61528.2737960431,-11.1921190480855,True,同物理口径,data/results/exp003/dispatch_metrics.csv,data/results/exp007/regularized_42/dispatch_2.npz,42,42,2025-02-01/2025-12-31
exp003/uncalibrated,exp003,exp003 未校准,exp007/regularized_42,exp007,exp007 正式·轻惩罚·42,total_cost,,元,元,15258030.0911911,17925755.5844111,2667725.49322004,17.4840754492954,True,同物理口径,data/results/exp003/dispatch_metrics.csv,data/results/exp007/regularized_42/dispatch_2.npz,42,42,2025-02-01/2025-12-31
exp003/uncalibrated,exp003,exp003 未校准,exp007/regularized_42,exp007,exp007 正式·轻惩罚·42,planned_cost,,元,元,11686193.3332658,15770026.2459973,4083832.91273154,34.9457928366335,True,同物理口径,data/results/exp003/dispatch_metrics.csv,data/results/exp007/regularized_42/dispatch_2.npz,42,42,2025-02-01/2025-12-31
exp003/uncalibrated,exp003,exp003 未校准,exp007/regularized_42,exp007,exp007 正式·轻惩罚·42,emergency_cost,,元,元,3571836.7579253,2155729.33841381,-1416107.41951149,-39.6464764625479,True,同物理口径,data/results/exp003/dispatch_metrics.csv,data/results/exp007/regularized_42/dispatch_2.npz,42,42,2025-02-01/2025-12-31
exp003/uncalibrated,exp003,exp003 未校准,exp007/regularized_42,exp007,exp007 正式·轻惩罚·42,planned_kwh,,kWh,kWh,19434153.14491,21363488.8941576,1929335.74924755,9.92755246324107,True,同物理口径,data/results/exp003/dispatch_metrics.csv,data/results/exp007/regularized_42/dispatch_2.npz,42,42,2025-02-01/2025-12-31
exp003/uncalibrated,exp003,exp003 未校准,exp007/regularized_42,exp007,exp007 正式·轻惩罚·42,emergency_kwh,,kWh,kWh,607930.405578771,488218.146266992,-119712.259311779,-19.69177034299,True,同物理口径,data/results/exp003/dispatch_metrics.csv,data/results/exp007/regularized_42/dispatch_2.npz,42,42,2025-02-01/2025-12-31
exp004/no_season,exp004,exp004 无季节,exp007/regularized_42,exp007,exp007 正式·轻惩罚·42,total_cost,,元,元,13611587.8329135,17925755.5844111,4314167.75149764,31.6948162437432,True,同物理口径,data/results/exp004/dispatch_metrics.csv,data/results/exp007/regularized_42/dispatch_2.npz,42,42,2025-02-01/2025-12-31
exp004/no_season,exp004,exp004 无季节,exp007/regularized_42,exp007,exp007 正式·轻惩罚·42,planned_cost,,元,元,12729841.3664886,15770026.2459973,3040184.87950874,23.8823469356975,True,同物理口径,data/results/exp004/dispatch_metrics.csv,data/results/exp007/regularized_42/dispatch_2.npz,42,42,2025-02-01/2025-12-31
exp004/no_season,exp004,exp004 无季节,exp007/regularized_42,exp007,exp007 正式·轻惩罚·42,emergency_cost,,元,元,881746.466424911,2155729.33841381,1273982.8719889,144.484034867112,True,同物理口径,data/results/exp004/dispatch_metrics.csv,data/results/exp007/regularized_42/dispatch_2.npz,42,42,2025-02-01/2025-12-31
exp004/no_season,exp004,exp004 无季节,exp007/regularized_42,exp007,exp007 正式·轻惩罚·42,planned_kwh,,kWh,kWh,20997147.6116725,21363488.8941576,366341.282485057,1.74471927930537,True,同物理口径,data/results/exp004/dispatch_metrics.csv,data/results/exp007/regularized_42/dispatch_2.npz,42,42,2025-02-01/2025-12-31
exp004/no_season,exp004,exp004 无季节,exp007/regularized_42,exp007,exp007 正式·轻惩罚·42,emergency_kwh,,kWh,kWh,160912.165420741,488218.146266992,327305.980846251,203.40661005365,True,同物理口径,data/results/exp004/dispatch_metrics.csv,data/results/exp007/regularized_42/dispatch_2.npz,42,42,2025-02-01/2025-12-31
exp004/causal_season,exp004,exp004 历史季节,exp007/regularized_42,exp007,exp007 正式·轻惩罚·42,total_cost,,元,元,13626145.4059908,17925755.5844111,4299610.17842034,31.5541193075042,True,同物理口径,data/results/exp004/dispatch_metrics.csv,data/results/exp007/regularized_42/dispatch_2.npz,42,42,2025-02-01/2025-12-31
exp004/causal_season,exp004,exp004 历史季节,exp007/regularized_42,exp007,exp007 正式·轻惩罚·42,planned_cost,,元,元,12727957.7050103,15770026.2459973,3042068.54098704,23.9006807807787,True,同物理口径,data/results/exp004/dispatch_metrics.csv,data/results/exp007/regularized_42/dispatch_2.npz,42,42,2025-02-01/2025-12-31
exp004/causal_season,exp004,exp004 历史季节,exp007/regularized_42,exp007,exp007 正式·轻惩罚·42,emergency_cost,,元,元,898187.700980567,2155729.33841381,1257541.63743324,140.008779463398,True,同物理口径,data/results/exp004/dispatch_metrics.csv,data/results/exp007/regularized_42/dispatch_2.npz,42,42,2025-02-01/2025-12-31
exp004/causal_season,exp004,exp004 历史季节,exp007/regularized_42,exp007,exp007 正式·轻惩罚·42,planned_kwh,,kWh,kWh,21007720.4459155,21363488.8941576,355768.448242053,1.69351286427283,True,同物理口径,data/results/exp004/dispatch_metrics.csv,data/results/exp007/regularized_42/dispatch_2.npz,42,42,2025-02-01/2025-12-31
exp004/causal_season,exp004,exp004 历史季节,exp007/regularized_42,exp007,exp007 正式·轻惩罚·42,emergency_kwh,,kWh,kWh,162942.389089906,488218.146266992,325275.757177086,199.626235379187,True,同物理口径,data/results/exp004/dispatch_metrics.csv,data/results/exp007/regularized_42/dispatch_2.npz,42,42,2025-02-01/2025-12-31
exp004/oracle_season,exp004,exp004 全年探索,exp007/regularized_42,exp007,exp007 正式·轻惩罚·42,total_cost,,元,元,13572926.4785818,17925755.5844111,,,False,含未来信息，仅探索,data/results/exp004/dispatch_metrics.csv,data/results/exp007/regularized_42/dispatch_2.npz,42,42,2025-02-01/2025-12-31
exp004/oracle_season,exp004,exp004 全年探索,exp007/regularized_42,exp007,exp007 正式·轻惩罚·42,planned_cost,,元,元,12774482.5882529,15770026.2459973,,,False,含未来信息，仅探索,data/results/exp004/dispatch_metrics.csv,data/results/exp007/regularized_42/dispatch_2.npz,42,42,2025-02-01/2025-12-31
exp004/oracle_season,exp004,exp004 全年探索,exp007/regularized_42,exp007,exp007 正式·轻惩罚·42,emergency_cost,,元,元,798443.890328896,2155729.33841381,,,False,含未来信息，仅探索,data/results/exp004/dispatch_metrics.csv,data/results/exp007/regularized_42/dispatch_2.npz,42,42,2025-02-01/2025-12-31
exp004/oracle_season,exp004,exp004 全年探索,exp007/regularized_42,exp007,exp007 正式·轻惩罚·42,planned_kwh,,kWh,kWh,21070735.9394918,21363488.8941576,,,False,含未来信息，仅探索,data/results/exp004/dispatch_metrics.csv,data/results/exp007/regularized_42/dispatch_2.npz,42,42,2025-02-01/2025-12-31
exp004/oracle_season,exp004,exp004 全年探索,exp007/regularized_42,exp007,exp007 正式·轻惩罚·42,emergency_kwh,,kWh,kWh,145611.632424135,488218.146266992,,,False,含未来信息，仅探索,data/results/exp004/dispatch_metrics.csv,data/results/exp007/regularized_42/dispatch_2.npz,42,42,2025-02-01/2025-12-31
exp001/original,exp001,exp001 原登记（不可比）,exp007/regularized_42,exp007,exp007 正式·轻惩罚·42,total_cost,,元,元,16258308.2173546,17925755.5844111,,,False,原协议不可直接比较,data/results/exp003/baseline/exp001_original_q2_costs.csv,data/results/exp007/regularized_42/dispatch_2.npz,42,42,2025-02-01/2025-12-31
exp001/original,exp001,exp001 原登记（不可比）,exp007/regularized_42,exp007,exp007 正式·轻惩罚·42,planned_cost,,元,元,12025380.5613548,15770026.2459973,,,False,原协议不可直接比较,data/results/exp003/baseline/exp001_original_q2_costs.csv,data/results/exp007/regularized_42/dispatch_2.npz,42,42,2025-02-01/2025-12-31
exp001/original,exp001,exp001 原登记（不可比）,exp007/regularized_42,exp007,exp007 正式·轻惩罚·42,emergency_cost,,元,元,4232927.65599983,2155729.33841381,,,False,原协议不可直接比较,data/results/exp003/baseline/exp001_original_q2_costs.csv,data/results/exp007/regularized_42/dispatch_2.npz,42,42,2025-02-01/2025-12-31
exp001/original,exp001,exp001 原登记（不可比）,exp007/regularized_42,exp007,exp007 正式·轻惩罚·42,planned_kwh,,kWh,kWh,19836870.4998036,21363488.8941576,,,False,原协议不可直接比较,data/results/exp003/baseline/exp001_original_q2_costs.csv,data/results/exp007/regularized_42/dispatch_2.npz,42,42,2025-02-01/2025-12-31
exp001/original,exp001,exp001 原登记（不可比）,exp007/regularized_42,exp007,exp007 正式·轻惩罚·42,emergency_kwh,,kWh,kWh,728394.121759774,488218.146266992,,,False,原协议不可直接比较,data/results/exp003/baseline/exp001_original_q2_costs.csv,data/results/exp007/regularized_42/dispatch_2.npz,42,42,2025-02-01/2025-12-31
exp006/primary,exp006,exp006 正式·树DP,exp007/regularized_42,exp007,exp007 正式·轻惩罚·42,total_cost,,元,元,14066257.4772568,17925755.5844111,3859498.10715435,27.4379884869492,True,同物理口径；新规划及执行,data/results/exp006/primary/dispatch_2.npz,data/results/exp007/regularized_42/dispatch_2.npz,42,42,2025-02-01/2025-12-31
exp006/primary,exp006,exp006 正式·树DP,exp007/regularized_42,exp007,exp007 正式·轻惩罚·42,planned_cost,,元,元,13215791.4492587,15770026.2459973,2554234.79673864,19.3271421280026,True,同物理口径；新规划及执行,data/results/exp006/primary/dispatch_2.npz,data/results/exp007/regularized_42/dispatch_2.npz,42,42,2025-02-01/2025-12-31
exp006/primary,exp006,exp006 正式·树DP,exp007/regularized_42,exp007,exp007 正式·轻惩罚·42,emergency_cost,,元,元,850466.027998076,2155729.33841381,1305263.31041574,153.476243311942,True,同物理口径；新规划及执行,data/results/exp006/primary/dispatch_2.npz,data/results/exp007/regularized_42/dispatch_2.npz,42,42,2025-02-01/2025-12-31
exp006/primary,exp006,exp006 正式·树DP,exp007/regularized_42,exp007,exp007 正式·轻惩罚·42,planned_kwh,,kWh,kWh,21702244.435096,21363488.8941576,-338755.540938444,-1.56092399544916,True,同物理口径；新规划及执行,data/results/exp006/primary/dispatch_2.npz,data/results/exp007/regularized_42/dispatch_2.npz,42,42,2025-02-01/2025-12-31
exp006/primary,exp006,exp006 正式·树DP,exp007/regularized_42,exp007,exp007 正式·轻惩罚·42,emergency_kwh,,kWh,kWh,197559.782603584,488218.146266992,290658.363663408,147.124257697039,True,同物理口径；新规划及执行,data/results/exp006/primary/dispatch_2.npz,data/results/exp007/regularized_42/dispatch_2.npz,42,42,2025-02-01/2025-12-31
exp006/seed_2026,exp006,exp006 树DP·种子2026,exp007/regularized_42,exp007,exp007 正式·轻惩罚·42,total_cost,,元,元,14055726.4251002,17925755.5844111,3870029.15931094,27.5334695786337,True,同物理口径；新规划及执行,data/results/exp006/seed_2026/dispatch_2.npz,data/results/exp007/regularized_42/dispatch_2.npz,42,42,2025-02-01/2025-12-31
exp006/seed_2026,exp006,exp006 树DP·种子2026,exp007/regularized_42,exp007,exp007 正式·轻惩罚·42,planned_cost,,元,元,13210305.315116,15770026.2459973,2559720.93088134,19.3766977357621,True,同物理口径；新规划及执行,data/results/exp006/seed_2026/dispatch_2.npz,data/results/exp007/regularized_42/dispatch_2.npz,42,42,2025-02-01/2025-12-31
exp006/seed_2026,exp006,exp006 树DP·种子2026,exp007/regularized_42,exp007,exp007 正式·轻惩罚·42,emergency_cost,,元,元,845421.109984166,2155729.33841381,1310308.22842965,154.988823079446,True,同物理口径；新规划及执行,data/results/exp006/seed_2026/dispatch_2.npz,data/results/exp007/regularized_42/dispatch_2.npz,42,42,2025-02-01/2025-12-31
