name,seed,case_id,exploratory,target,lead_start_hour,lead_end_hour,n,absolute_error_sum,squared_error_sum,signed_error_sum,actual_abs_sum,mae,rmse,wape_pct,bias,forecast_reused
no_season,42,no_season_seed_42,False,load,0,4,8016,1550744.70624257,524854385.801723,819563.176161855,27935677.3395,193.456175928464,255.882485786251,5.55112620824079,102.240915189852,True
no_season,42,no_season_seed_42,False,pv,0,4,8016,761.161659681493,10249.6027725673,758.087259681492,1.6239,0.0949552968664536,1.13077100265704,46872.4465596091,0.0945717639323219,True
no_season,42,no_season_seed_42,False,load,4,8,8016,1453206.44917182,425569192.418993,779469.758585288,32783673.431,181.288229687103,230.412606239645,4.4327139001991,97.2392413404801,True
no_season,42,no_season_seed_42,False,pv,4,8,8016,820740.021989183,305169772.18072,-462111.694962813,7868652.7278,102.38772729406,195.115558989718,10.4305025317677,-57.6486645412691,True
no_season,42,no_season_seed_42,False,load,8,12,8016,1432961.45060041,418785674.384054,742349.941918377,46507328.0133,178.762656013025,228.568855827512,3.08115196424661,92.6085256884203,True
no_season,42,no_season_seed_42,False,pv,8,12,8016,4492975.13049117,4313845073.41637,-2922192.66173787,50642302.9044,560.500889532331,733.590025508794,8.87198028686172,-364.54499273177,True
no_season,42,no_season_seed_42,False,load,12,16,8016,1562761.1019058,541433816.701259,804898.548520707,45186244.1546,194.955227283658,259.892552432803,3.45848859789935,100.41149557394,True
no_season,42,no_season_seed_42,False,pv,12,16,8016,4235920.40372767,3809060269.61333,-2774031.3054377,49192026.388,528.433184097764,689.334584481977,8.61098985904145,-346.061789600511,True
no_season,42,no_season_seed_42,False,load,16,20,8016,1694756.5463717,648669921.357015,859475.100539815,38937812.863,211.421724846769,284.467742243076,4.35246980187251,107.219947672133,True
no_season,42,no_season_seed_42,False,pv,16,20,8016,664615.541880959,218364029.357646,-365572.464743768,6710354.7006,82.9111204941316,165.048543242444,9.90432803532029,-45.6053473981746,True
no_season,42,no_season_seed_42,False,load,20,24,8016,1706296.70834057,649891308.114897,859772.841888746,30697741.1341,212.86136581095,284.73542980176,5.55837871225374,107.257091053985,True
no_season,42,no_season_seed_42,False,pv,20,24,8016,1529.76451157834,21791.7025883726,1527.20871157834,1.621,0.190838886174942,1.64879524865963,94371.6540147032,0.190520048849593,True
