run_id,role,scenario,days,seed,rl_seed,forecast_seed,forecast,planned_cost,emergency_cost,total_cost,planned_kwh,final_kwh,emergency_kwh,emergency_minutes,surplus_kwh,up_cost,down_cost,risk_seconds,planning_seconds,execution_seconds,compute_seconds,charge_kwh,discharge_kwh,throughput_kwh,equivalent_full_cycles,direction_reversals,direction_reversals_including_warmup_boundary,simultaneous_slots,charging_slots,discharging_slots,active_slots,power_changes_count,power_ramp_total_kw,power_ramp_total_kw_including_warmup_boundary,power_ramp_max_kw_per_10min,power_ramp_p95_kw_per_10min,mean_absolute_power_kw,max_charge_kw,max_discharge_kw,initial_soc,final_soc,initial_mode,final_mode,initial_power_kw,final_power_kw,training_transitions,training_iterations,verified,terminal_credit_in_reported_cost,mean_daily_cost,max_daily_cost,training_seconds,run_wall_seconds,id,nonidle_direction_reversals,direct_adjacent_reversals,mean_absolute_change_kw,rms_change_kw,p95_absolute_change_kw,max_absolute_change_kw,total_variation_kw,power_variation_kw,large_jump_threshold_kw,large_jump_count,large_jump_pct,power_limit_hit_pct,warmup_boundary_jump_kw,warmup_boundary_absolute_jump_kw,total_variation_including_warmup_kw,active_slot_pct,first_power_kw,last_power_kw,zero_tolerance_kw,power_limit_kw,points,differences,cross_midnight_differences,worst_date,worst_day_cost,name,label,experiment,policy_id,family,ranking_allowed,comparable,physically_comparable,exploratory,status,source,start_date,end_date
regularized_42,正式策略,2,334,42,42,42,no_season,15770026.2459973,2155729.33841381,17925755.5844111,21363488.8941576,21363488.8941576,488218.146266992,102740,3599777.76730845,0,0,1.12730979442131,8.72961828135885,0.0825545090483501,9.93948258482851,3129501.95261102,2816762.17446159,5946264.12707261,247.418094434484,1129,1129,0,14760,6872,21632,17566,7184801.22695598,7185878.46695598,7316.97774901148,553.129158182612,741.799417049976,5000,5000,1421.79911051355,1200,1,-1,172.76,0,5667840,1230,True,0,53669.9268994346,94312.3325309838,77.8852933811722,88.3645324169192,regularized_42,1129,433,149.387695747083,569.647232983412,553.129158182612,7316.97774901148,7184801.22695598,7184801.22695598,1000,1756,3.65110718369893,1.06869594145043,1077.24,1077.24,7185878.46695598,44.9767132401863,1250,0,6e-06,5000,48096,48095,333,2025-12-02,94312.3325309838,regularized_42,exp007 正式·轻惩罚·42,exp007,exp007/regularized_42,regularized,True,True,True,False,同物理结算口径；冻结同预测；PPO规划和互斥投影,data/results/exp007/regularized_42/dispatch_2.npz,2025-02-01,2025-12-31
regularized_2026,训练种子稳定性,2,334,2026,2026,42,no_season,15840429.9812596,1717856.57316636,17558286.5544259,21236160.635007,21236160.635007,398841.295923121,83660,3343986.75739125,0,0,1.14022230310366,8.87160795228556,0.0828037024475634,10.0946339578368,3520360.95683886,3168535.27826664,6688896.23510551,278.318211868118,1296,1297,0,15647,8930,24577,19465,7749719.87597578,7750222.47003472,7093.08666519691,653.610073760251,834.443143101984,5000,5000,1421.79911051355,1200,1,-1,172.76,0,5667840,1230,True,0,52569.7202228321,90263.9722234715,79.8226059342269,90.4256614579354,regularized_2026,1296,526,161.133587191512,568.08536901315,653.610073760251,7093.08666519691,7749719.87597578,7749719.87597578,1000,1975,4.10645597255432,0.209996673320027,-502.594058937642,502.594058937642,7750222.47003472,51.0998835662009,-329.834058937642,0,6e-06,5000,48096,48095,333,2025-07-06,90263.9722234715,regularized_2026,exp007 轻惩罚·2026,exp007,exp007/regularized_2026,regularized,True,True,True,False,同物理结算口径；冻结同预测；PPO规划和互斥投影,data/results/exp007/regularized_2026/dispatch_2.npz,2025-02-01,2025-12-31
regularized_3407,训练种子稳定性,2,334,3407,3407,42,no_season,15650223.4487493,2032331.80449195,17682555.2532412,21085193.5638274,21085193.5638274,468151.797628609,96690,3264334.63317896,0,0,1.12800909066573,8.78890195675194,0.0821624977979809,9.99907354521565,3500316.50422015,3150495.2709098,6650811.77512996,276.733558749956,1137,1137,0,16651,8351,25002,19445,7195731.65187723,7196808.89187723,7675.87191103218,609.06383,829.692087715813,5000,5000,1421.79911051355,1200,1,-1,172.76,0,5667840,1230,True,0,52941.7821953331,90679.7396399584,78.9822316280333,89.48745379108,regularized_3407,1137,368,149.614963132908,516.864099602653,609.06383,7675.87191103218,7195731.65187723,7195731.65187723,1000,1814,3.77170184010812,0.216234198270126,1077.24,1077.24,7196808.89187723,51.9835329341317,1250,0,6e-06,5000,48096,48095,333,2025-07-06,90679.7396399584,regularized_3407,exp007 轻惩罚·3407,exp007,exp007/regularized_3407,regularized,True,True,True,False,同物理结算口径；冻结同预测；PPO规划和互斥投影,data/results/exp007/regularized_3407/dispatch_2.npz,2025-02-01,2025-12-31
cost_only_42,预声明仅费用消融,2,334,42,42,42,no_season,15565443.6127887,2159823.02636585,17725266.6391545,20929835.6160198,20929835.6160198,514936.377882766,109830,3142168.08587016,0,0,1.26696325512603,9.78422279842198,0.0930080092512071,11.1441940627992,3636248.30177453,3272833.88870875,6909082.19048328,287.479910917775,1090,1091,0,15930,7993,23923,17897,7451951.46342896,7452454.0574879,8230.20360146797,726.98870203532,861.911450908593,5000,5000,1421.79911051355,1200,1,-1,172.76,0,5667840,1230,True,0,53069.660596271,94358.6058647031,86.4275493889581,98.1309737500269,cost_only_42,1090,246,154.942332122444,539.458766882631,726.98870203532,8230.20360146797,7451951.46342896,7451951.46342896,1000,2014,4.18754548289843,0.128908848968729,-502.594058937642,502.594058937642,7452454.0574879,49.7401031270792,-329.834058937642,0,6e-06,5000,48096,48095,333,2025-12-01,94358.6058647031,cost_only_42,exp007 仅费用·42,exp007,exp007/cost_only_42,cost_only,True,True,True,False,同物理结算口径；冻结同预测；PPO规划和互斥投影,data/results/exp007/cost_only_42/dispatch_2.npz,2025-02-01,2025-12-31
cost_only_2026,预声明仅费用消融,2,334,2026,2026,42,no_season,16017082.9970148,1610024.27602194,17627107.2730368,21456128.7105627,21456128.7105627,384312.550512005,85140,3572681.99165678,0,0,1.3096628675703,10.10999874759,0.0958767038537189,11.515538319014,3287801.91562968,2959232.14117838,6247034.05680805,259.932805350968,1234,1235,0,14890,7584,22474,18124,7592404.00103614,7592906.59509507,7410.72508862958,627.917408787378,779.320615869268,5000,5000,1421.79911051355,1200,1,-1,172.76,0,5667840,1230,True,0,52775.7702785532,84918.8616190662,90.3119242405519,102.39610295801,cost_only_2026,1234,494,157.86264686633,594.879657847581,627.917408787378,7410.72508862958,7592404.00103614,7592404.00103614,1000,1928,4.0087327164986,0.19544244843646,-502.594058937642,502.594058937642,7592906.59509507,46.727378576181,-329.834058937642,0,6e-06,5000,48096,48095,333,2025-12-01,84918.8616190662,cost_only_2026,exp007 仅费用·2026,exp007,exp007/cost_only_2026,cost_only,True,True,True,False,同物理结算口径；冻结同预测；PPO规划和互斥投影,data/results/exp007/cost_only_2026/dispatch_2.npz,2025-02-01,2025-12-31
cost_only_3407,预声明仅费用消融,2,334,3407,3407,42,no_season,15685812.0794835,1851515.55143294,17537327.6309164,21332375.431602,21332375.431602,434600.097400228,92650,3466186.80015765,0,0,1.36534329713322,10.6040497403592,0.100895173964091,12.0702882114565,3618096.50989609,3256497.27601814,6874593.78591423,286.044885769044,1229,1229,0,15916,8233,24149,19075,8025841.26713968,8026918.50713968,7430.21384179278,708.143568353787,857.609005228821,5000,5000,1421.79911051355,1200,1,-1,172.76,0,5667840,1230,True,0,52506.9689548397,92097.3273810112,93.3005045403261,106.002999083023,cost_only_3407,1229,391,166.874753449208,590.284697899444,708.143568353787,7430.21384179278,8025841.26713968,8025841.26713968,1000,2026,4.21249610146585,0.20791749833666,1077.24,1077.24,8026918.50713968,50.20999667332,1250,0,6e-06,5000,48096,48095,333,2025-07-06,92097.3273810112,cost_only_3407,exp007 仅费用·3407,exp007,exp007/cost_only_3407,cost_only,True,True,True,False,同物理结算口径；冻结同预测；PPO规划和互斥投影,data/results/exp007/cost_only_3407/dispatch_2.npz,2025-02-01,2025-12-31
