scenario,model,target,horizon,population,granularity,group,unit,n,mae,rmse,wape_pct,bias
3,updated_issued,pv,next_6h,all,issue_hour,0,kW,12024,7.795716993452749,33.8659925355153,24.859049693366387,5.717891035775322
3,updated_issued,pv,next_6h,pv_generating,issue_hour,0,kW,1867,37.92076776176657,73.72749377528416,18.775907193533474,24.53898987472138
3,updated_issued,net_load,next_6h,all,issue_hour,0,kW,12024,141.98120138850607,188.17000895256737,4.058754509941731,-10.397459005447464
3,updated_issued,load,next_6h,all,issue_hour,6,kW,12024,128.09384262406329,164.47558478594513,2.37729669381713,-7.15430796472817
3,updated_issued,pv,next_6h,all,issue_hour,6,kW,12024,188.020248695261,268.3940122682441,3.8888770858826076,-46.192072035771325
3,updated_issued,pv,next_6h,pv_generating,issue_hour,6,kW,11735,190.4522838227666,270.91391191130265,3.8445003543367964,-49.528026741352086
3,updated_issued,net_load,next_6h,all,issue_hour,6,kW,12024,236.78184729709827,314.3655584140146,11.28126219438974,39.037764071043156
3,updated_issued,load,next_6h,all,issue_hour,12,kW,12024,140.97020094131486,187.15758031336858,2.5295962060649604,-0.31216627286068527
3,updated_issued,pv,next_6h,all,issue_hour,12,kW,12024,153.31090037988565,202.94782304605516,3.3114159834138217,42.20950185888676
3,updated_issued,pv,next_6h,pv_generating,issue_hour,12,kW,11582,155.61403000008573,204.9834463514124,3.2376063967628665,40.272705892289956
3,updated_issued,net_load,next_6h,all,issue_hour,12,kW,12024,215.535386971648,278.3991790951856,8.798728923682948,-42.52166813174745
3,updated_issued,load,next_6h,all,issue_hour,18,kW,12024,150.0506161416009,198.1469908078325,3.7733866261891817,8.569417506478167
3,updated_issued,pv,next_6h,all,issue_hour,18,kW,12024,15.83468358283433,60.018932568363205,81.35062045524853,15.748755671989356
3,updated_issued,pv,next_6h,pv_generating,issue_hour,18,kW,1696,85.82142970224056,142.18036410122033,62.19050818826676,85.21223323997641
3,updated_issued,net_load,next_6h,all,issue_hour,18,kW,12024,154.5500006671518,204.63466745647938,3.9056522602492345,-7.179338165511181
