item,models,fit,solver,refine,wall,prediction,calibration
forecast_absolute_hgb,22.0,44.97184687713161,,,,,
forecast_absolute_extra_trees,22.0,63.233388833119534,,,,,
Q1,,,7.928252624929883,,,,
Q2,,,699.0726444264874,304.3245660071261,,,
Q3,,,39.686054537422024,,76.17542079195846,,
Q4-2,,,933.9924007499358,342.2568977995543,,,
Q4-3,,,46.15947908279486,,90.7251179999439,,
