run,scenario,days,passed,full_comparable_q2,eligible_for_selection,total_cost,planned_cost,up_cost,down_cost,emergency_cost,direction_reversals,active_slots,throughput_kwh,equivalent_full_cycles,power_ramp_total_kw,simultaneous_slots,realized_physics_only,known_initializer_emergency_charging_relaxation,goal_passed,archive,archive_sha256,cost_reduction_vs_exp006_pct
q4_hgb_linked_price_physical/feasibility3,4-2,3,True,False,True,144711.25625281502,133573.01181504235,0.0,0.0,11138.244437772608,20,346,114807.5173054873,4.773084007571897,240666.1935923418,0,True,False,False,data/results/exp008/q4_hgb_linked_price_physical/feasibility3/dispatch_4-2.npz,095ba9295f8d4832282e4f21c18493b46672d465b885902626bb85710e62f3c0,
q4_hgb_linked_price_physical/full334,4-2,334,True,False,True,13994531.257936869,13400456.682552535,0.0,0.0,594074.5753842426,1763,35187,11179601.98345794,465.1715438463272,28859635.103811145,0,True,False,False,data/results/exp008/q4_hgb_linked_price_physical/full334/dispatch_4-2.npz,09f1e6f131df6cc1e34874479cfd8dfd7c576a045c441ea7ec31e3e9a67e9b72,
q4_joint_price/pilot30,4-2,30,True,False,True,1328070.8532446409,1266029.0180978507,0.0,0.0,62041.83514678847,179,3409,1111584.9202382308,46.24680826444968,3049870.022648672,0,True,False,False,data/results/exp008/q4_joint_price/pilot30/dispatch_4-2.npz,758ff976f1b9d958af27f4fb577dde6f8a9fc532f770327b56361d05f4032fa1,
q4_physical/full334,4-2,334,True,False,True,14272632.796947677,13543521.063609332,0.0,0.0,729111.7333383362,1833,34842,11208918.887219356,466.39138844935394,31175636.52909746,0,True,False,False,data/results/exp008/q4_physical/full334/dispatch_4-2.npz,70dbbfe9d12e08c0feb68c8ca271f0e0054ccd7b156cb865d245cf2ad7acc9ad,
q4_physical/pilot30,4-2,30,True,False,True,1327128.8440604475,1265793.8217627786,0.0,0.0,61335.02229766794,167,3305,1101589.9298479783,45.83638100371623,2768252.1191464737,0,True,False,False,data/results/exp008/q4_physical/pilot30/dispatch_4-2.npz,33de6c334ab9b779a7235bb3b635706ce10a0e9ae7d195298c17a73045514ae3,
risk_window/per_slot14_30days,2,30,True,False,True,1248154.5812725734,1208037.6447299726,0.0,0.0,40116.93654260013,752,3780,1192817.9109141664,49.63193001701422,3269984.2452638983,0,True,False,False,data/results/exp008/risk_window/per_slot14_30days/dispatch_2.npz,706ddb2d6db7fbbbbfc682dd0eae3afb54f43255f80f9dc310a75944814b984b,
risk_window/per_slot14_334days,2,334,True,True,True,13461551.024346743,12667569.982444236,0.0,0.0,793981.0419025148,7537,39589,12063875.749501271,501.96498782429757,33277950.941306427,0,True,False,False,data/results/exp008/risk_window/per_slot14_334days/dispatch_2.npz,f48ddd675bdb0ca4282c689dcdad7eff9b902296f5c091170949ee7d062fc78f,4.2989860941175735
risk_window/tree14_30days,2,30,True,False,True,1249962.0913400727,1214918.589811196,0.0,0.0,35043.501528878616,686,3740,1185701.892766503,49.335694517694314,3219837.5419112397,0,True,False,False,data/results/exp008/risk_window/tree14_30days/dispatch_2.npz,67cfea51ba55c69668a792ce08633f8f521afd5a8a163bbf6cddae0cc3c322d5,
risk_window/tree28_30days,2,30,True,False,True,1256142.2655908996,1222523.1227134932,0.0,0.0,33619.14287740902,668,3723,1179810.9209893541,49.09041122389853,3210527.6618435225,0,True,False,False,data/results/exp008/risk_window/tree28_30days/dispatch_2.npz,7db5a77e872ef81b2a508bb52b0c162ac432b765e21b7fc1fda5641bf3929b5e,
risk_window/tree28_334days,2,334,True,True,True,13393480.145223478,12679818.494390337,0.0,0.0,713661.6508331313,6681,39594,12025130.975621024,500.35277115269014,32884899.746457897,0,True,False,False,data/results/exp008/risk_window/tree28_334days/dispatch_2.npz,e68b3b2dc60e91f7041941f62429855db1db7d602692f809ea654b2089bc7202,4.782916373606105
