name,channel,month,rmse_kw,mae_kw,bias_kw,price_weighted_rmse_kw,high_price_rmse_kw,high_price_bias_kw,daily_energy_rmse_kwh,daily_energy_mae_kwh,cumulative_error_rmse_kwh,daily_level_mse_kw2,within_day_mse_kw2,high_price_underprediction_kwh
original_HGB_raw,load,2,191.99464885144064,154.68021648711047,110.05223761190715,187.62607278167948,170.3877940267949,78.43002958675397,2777.3241423579893,2641.2537026857717,1636.696292372856,13391.544082855107,23470.40110473289,4608.267398848232
original_HGB_raw,load,3,157.4205091847749,120.83764133830836,21.521387411452864,157.62861910832842,145.7845277614182,0.8829113402125325,1395.3326361654915,1079.9787604600847,1054.0099682950527,3380.1270235217717,21401.089688472024,10385.197252819851
original_HGB_raw,load,4,129.13817790384147,101.801122976986,-8.542637575005903,128.77351660768082,125.34808676841253,-11.385439279778453,561.649958593835,471.0140646252021,395.7917320759985,547.6574235910703,16129.011568733136,10059.712408026555
original_HGB_raw,load,5,184.97103930336218,138.03700957074798,-41.37338772800626,200.46457644869517,236.26200244470246,-93.1303765293923,1472.6309454211969,1058.448017924057,605.7564239610296,3765.0033010627217,30449.282079903227,25314.090941802508
original_HGB_raw,load,6,258.24400804574435,187.85761267669372,-74.14258928874838,266.13701077792786,286.72569039281996,-80.65993169068625,3539.352638913165,2132.0064165512554,1648.303683970154,21748.2935808708,44941.67411065968,25890.72532728602
original_HGB_raw,load,7,340.1808743403165,267.3622721744407,-73.35486329973958,339.9954687464544,337.1504891698383,-37.03383105428836,5736.074591262102,3551.8836462912172,3260.9650801612484,57122.48561896301,58600.541647979226,27924.26245157242
original_HGB_raw,load,8,246.30201980951261,194.86705546887467,121.09471313661278,247.15636762532736,255.06002987126004,138.82059529514473,3466.3816390208704,2906.273115278706,2035.396269653696,20860.76678357815,39803.91817866739,6188.2497940144995
original_HGB_raw,load,9,295.27461754731354,204.36360921735513,117.55996248892612,301.59867879216245,323.55845321394986,129.9898356303326,5306.023465550434,2974.140818212509,2695.281005569225,48878.27259890944,38308.82716880283,8060.090006078734
original_HGB_raw,load,10,156.90309434327617,117.41307923291075,29.4787457896362,166.10771450208756,188.63802763702557,52.81355380039317,1371.9977694528034,944.8830830461347,569.8532161229641,3268.01715170741,21350.563862787618,7739.27454507685
original_HGB_raw,load,11,131.17968843619374,104.5727565708517,5.162290262671176,130.5897703909775,125.81907152503844,7.77841783552539,487.3090830878651,369.2009108700206,293.6899651323581,412.27455288183296,16795.836105335027,8313.949331282452
original_HGB_raw,load,12,201.87528570542912,149.91382309108397,-55.083305122909024,196.33981569892703,180.17042648620915,-38.74431038042021,2664.280516793652,1479.6902374710758,2012.0582564428769,12323.594916955291,28430.03606169335,15997.33521635377
