day,month,method,rmse_yuan_per_kwh,mae_yuan_per_kwh,bias_yuan_per_kwh,high_realized_price_ge1_rmse,high_realized_price_ge1_mae,high_realized_price_slots,realized_price_weighted_mae,fixed_purchase_absolute_price_exposure_proxy_yuan,fixed_purchase_signed_price_exposure_proxy_yuan
31,2,baseline,0.1046465574507221,0.07305293698582298,0.06464237003996638,0.17448116103933817,0.14800388652677632,19,0.08831353429528327,1750.0051243216571,1081.2582699930438
31,2,linked_hgb,0.09382973944535024,0.06397068257149591,0.05293608753966371,0.15768899113825374,0.1322590569195805,19,0.07754760386582103,1543.5040158815705,725.5259791689462
32,2,baseline,0.08771747667640299,0.0607079099865805,0.030977942115766172,0.12390759772649176,0.09559932401767232,60,0.07175700705215714,2787.50673344834,86.29476314974073
32,2,linked_hgb,0.07560497558499331,0.05326405102071868,0.019903918702628132,0.10739967638557396,0.08454962023698871,60,0.06287872159192409,2536.383354471026,-507.4718802223924
33,2,baseline,0.07802441746638984,0.054105598655596124,0.028178610009887473,0.1089542360453932,0.0808112728233715,62,0.0625628376078139,2733.5708360000417,-46.05510944320534
33,2,linked_hgb,0.07667065814008606,0.053697504098802806,0.039215289259115264,0.10688032217997487,0.08260597111281502,62,0.06289704361361664,2593.0264002923386,960.5981257568453
34,2,baseline,0.07701691780909653,0.05273545437603998,0.028062475764887282,0.10368640866795358,0.07700807906220722,67,0.06133798907056919,2534.10738081402,105.49125984534601
34,2,linked_hgb,0.07106976244120763,0.049412905018115384,0.03396643149434023,0.0944556867742428,0.07038690161589882,67,0.057260815836539636,2401.7880325808624,874.2385885993042
35,2,baseline,0.0654305827486986,0.04754245744926976,0.01529189959920056,0.08746956996151006,0.06918095865243931,64,0.05457118918936807,2784.699965691887,-780.4561855737678
35,2,linked_hgb,0.06047453071946786,0.04458423569045835,0.020953102137099593,0.07997269946438224,0.06412577770217193,64,0.05099761687468378,2630.569098058514,-69.94072707140572
36,2,baseline,0.07673041399782937,0.05428156742888333,0.025305784026604317,0.10167312848526881,0.07584146213166147,64,0.06106671343263266,2846.691675550258,-259.43358918511956
36,2,linked_hgb,0.07055420989531254,0.05164550728810771,0.030895646522522278,0.0938998298552879,0.07396670198593441,64,0.05865831435506978,2780.112382283355,540.7192560611335
37,2,baseline,0.11212780984001545,0.09155186542072175,0.08996484285384485,0.13614097391379515,0.11953343617073196,21,0.09920836734775137,1940.4663958748224,1842.0954208374917
37,2,linked_hgb,0.08419935499269039,0.0668163051646597,0.06277219522715821,0.10350286354378309,0.0857742080496129,21,0.07178874224764949,1446.9114573997458,1196.081966972567
38,2,baseline,0.04667772262349964,0.034742603221492446,-0.01655274388221291,0.041243366474768096,0.035500178557592486,19,0.03586187606949336,1201.8796061160572,-398.5433418836369
38,2,linked_hgb,0.06027899114259825,0.047339031348578225,-0.042461849347507824,0.057945666513586465,0.05367685004226448,19,0.05145567086467973,1415.3387375316115,-1169.0382695441212
39,2,baseline,0.09586008135956846,0.08154083816134632,-0.07673778782584638,0.11419787406281567,0.10831097880679313,57,0.09080267551898598,5893.007270483191,-5443.923830050218
39,2,linked_hgb,0.0723037927986429,0.06011107393735657,-0.05518348795628623,0.0776746363583523,0.07153982155551819,57,0.06410136186724218,4430.3624771386985,-3951.2515824128404
40,2,baseline,0.04366464186762945,0.03497208996940424,0.005716669881720867,0.035757681079083864,0.03081325611557214,49,0.033514856054563974,3072.1454290556394,354.5460008194965
40,2,linked_hgb,0.05131692833607957,0.04054997402474746,0.02812728097446274,0.04908201134066275,0.038666598251387456,49,0.03998821052209352,3380.761604665834,1913.1129615170162
41,2,baseline,0.039844085103546346,0.030922770756777004,-0.006816407472146129,0.04156648902445457,0.03153172778471991,55,0.031924373185012934,2469.493837259125,-444.5676052222042
41,2,linked_hgb,0.04037875850710066,0.031907113935720655,0.009053675342113206,0.03595294052339647,0.028977023793463008,55,0.03262324034381818,2848.9832358071735,683.7877544809938
42,2,baseline,0.04755548647973876,0.038812406123480886,-0.0032575231694063327,0.04293695487050723,0.036213909913584794,60,0.03830251154952146,3223.639170922838,-117.04968531182652
42,2,linked_hgb,0.04498077515475017,0.03658584667631062,0.012677813763161192,0.04092839749439793,0.03435482554098213,60,0.03625684256479791,2978.293924220964,1001.248081762521
43,2,baseline,0.05109452650763007,0.04110796784462088,0.004514318493873636,0.04599699896203587,0.03668378784615859,49,0.04028656546842136,3422.6150562193034,58.62714784670007
43,2,linked_hgb,0.05550971882969535,0.044728539105505755,0.019206035609109124,0.04602530773873432,0.0373506981254407,49,0.04457701398566921,3418.7334541574846,1055.851111994807
44,2,baseline,0.06809936150833569,0.05164895498178955,0.044073715382643486,0.05590055426280822,0.0402876331763657,20,0.055347600297776633,1112.8954313625595,906.1191184805364
44,2,linked_hgb,0.05368383061503625,0.041502845986962474,0.021867866418581166,0.05071989535968986,0.04188102032391892,20,0.045045975441047624,929.1289827298351,482.63730257213183
45,2,baseline,0.037712382346251704,0.031470414199900286,-0.008142907142867742,0.028406361181044875,0.0241894295863934,18,0.03055768432632562,1284.3182783837244,-722.9208870464307
45,2,linked_hgb,0.04462257634383463,0.03715636962217442,-0.030417846397686812,0.04190990724939383,0.03458110352891037,18,0.037179899345566016,1404.1725573673712,-1156.2489410011203
46,2,baseline,0.0686619311554835,0.05694522758325882,-0.05317471229471629,0.09256200948465372,0.08609019884435762,58,0.06640334672400426,3857.556497676082,-3490.7978402090075
46,2,linked_hgb,0.052962198867316485,0.04342712006083359,-0.03848338190300236,0.06982309462308908,0.06268054195829544,58,0.049520739208893765,2953.912367201665,-2476.11577949433
47,2,baseline,0.04277891932678063,0.03473613722971322,-0.01720248073657336,0.04570618914137589,0.03804692515464762,51,0.03557269721428942,2864.575712925688,-1655.6538866552387
47,2,linked_hgb,0.040462237971085106,0.031276954770577375,0.004911366038469515,0.042402518943095935,0.03450559577880993,51,0.0324817729288197,2435.836435635453,-237.55896174899897
