name,channel,rmse_kw,mae_kw,bias_kw,price_weighted_rmse_kw,high_price_rmse_kw,high_price_bias_kw,daily_energy_rmse_kwh,daily_energy_mae_kwh,cumulative_error_rmse_kwh,daily_level_mse_kw2,within_day_mse_kw2,high_price_underprediction_kwh
joint_raw,load,236.96306856277545,174.00381863312964,1.4299375580079292,239.8006137415705,247.1485944400323,-0.9594382670369371,3380.212678667526,1817.5304517923446,1890.8087729025362,19836.523876778978,36314.97198590765,180510.11749296196
joint_raw,pv,361.9209835950807,184.50496861027113,-0.626566891437551,361.5662496974177,328.1153164835674,6.542391443107848,3269.3963765508206,2516.348504058427,2252.306124749073,18557.209491325753,112429.58887510495,167760.0523400405
joint_raw,net,431.12222193676763,293.83154985928206,2.0565044494454843,432.28655634098726,408.52637349040583,-7.501829710144785,4615.030904262867,3296.3105739813514,2860.397530526301,36976.58029045371,148889.7899572418,295010.67270137713
joint_ridge28,load,230.3685661281948,174.52086346326067,-2.8635769097036965,233.31420867500702,239.0844524011574,-4.400344360331784,3205.6349460475262,2079.454194779474,1819.1653545817135,17840.443415488066,35229.23284447239,184245.01797558428
joint_ridge28,pv,310.68223259419557,156.5921660371116,7.519916809421927,310.8989150699291,285.2280806674614,10.279581525837411,2875.4680274266343,2065.99202056836,1972.2960119006484,14354.71593186253,82168.7337178513,139987.30226253872
joint_ridge28,net,384.59196949940747,270.2116783153008,-10.383493719125626,386.4902638186788,368.55749918329326,-14.679925886169194,4220.315359732349,3117.3655781125026,2584.894010460677,30921.98217984858,116989.00082358456,280557.51978530333
joint_ridge28_load_energy_memory_half,load,212.95345938581133,163.03775107197816,-1.4121711323008863,215.66349730507912,220.54518061076428,-2.9489385829289683,2414.3502603121433,1476.6768396060324,1394.1495605261166,10119.943019912002,35229.23284447239,170963.61080306524
joint_ridge28_load_energy_memory_half,pv,310.68223259419557,156.5921660371116,7.519916809421927,310.8989150699291,285.2280806674614,10.279581525837411,2875.4680274266343,2065.99202056836,1972.2960119006484,14354.71593186253,82168.7337178513,139987.30226253872
joint_ridge28_load_energy_memory_half,net,375.58536169107964,260.9259547598641,-8.932087941722816,377.2117307494766,358.2303357339363,-13.228520108766377,3723.89703692085,2679.639227493894,2351.5318538279803,24075.36309303453,116989.00082358456,268742.1849681235
direct_hgb_raw,load,218.7909625929173,158.47382159300312,13.033998280141159,221.53573301872618,228.2805262386406,12.873030299137863,3120.0768348927795,1778.4486007711998,1748.5627186720992,16900.832388254425,30968.65292408093,150481.15467316192
direct_hgb_raw,pv,368.79051937601713,181.89541260829287,-38.49998362282397,359.85014575433775,301.7032514656362,-4.638597847683047,3653.3926394563764,2833.8872348668915,2507.566253124791,23172.3572535313,112834.08992810114,164724.53286475284
direct_hgb_raw,net,433.74011596820435,286.8808471105204,51.53398190296513,426.697409245675,379.8404143756936,17.511628146820897,5279.607304924999,3898.613278436667,3275.5063688162645,48392.800858016344,139737.68734209504,248857.87006444755
direct_hgb_ridge28,load,205.27446398355366,152.66269103482603,-6.558306277789421,207.62152622154113,213.54928783059415,-5.1808605331167445,2673.3363544644467,1692.7114404980832,1509.51362991847,12407.512611286907,29730.09295244836,162861.80859886835
direct_hgb_ridge28,pv,307.5828489793913,153.66067269402419,7.559976711400568,307.99511431446916,283.49363147764154,16.123960806603705,2886.879179361182,2056.1482382175486,1976.1388473065556,14468.873951786616,80138.33503449244,129755.16479512997
direct_hgb_ridge28,net,368.61342651450985,254.6508228774463,-14.118282989189982,370.7404797659757,354.4615554539485,-21.304821339720448,3929.9328545742733,2870.343798279188,2426.5865226042515,26813.146252538714,109062.71195422926,272718.5725771481
direct_hgb_ridge28_memory_half,load,192.85525876759698,144.7735784301409,-3.22756038304155,195.1269435032755,200.3207865171937,-1.8501146383688853,2073.3358000951544,1219.1742863115521,1195.1683291534823,7463.057881868428,29730.09295244836,151179.3824496338
direct_hgb_ridge28_memory_half,pv,307.5828489793913,153.66067269402419,7.559976711400568,307.99511431446916,283.49363147764154,16.123960806603705,2886.879179361182,2056.1482382175486,1976.1388473065556,14468.873951786616,80138.33503449244,129755.16479512997
direct_hgb_ridge28_memory_half,net,362.89918485267737,247.98163997237435,-10.787537094442119,364.9505724131582,348.1840276970736,-17.974075444972588,3610.6328106863552,2556.9038598497486,2285.936944822583,22633.10641250842,109062.71195422925,261349.35828637684
