name,channel,month,rmse_kw,mae_kw,bias_kw,price_weighted_rmse_kw,high_price_rmse_kw,high_price_bias_kw,daily_energy_rmse_kwh,daily_energy_mae_kwh,cumulative_error_rmse_kwh,daily_level_mse_kw2,within_day_mse_kw2,high_price_underprediction_kwh
joint_raw,load,2,182.79709258487304,145.26239988733244,46.94603596560661,179.68719034398657,169.90743803232357,31.163977232238164,1993.9808503193033,1203.0529974566728,1307.318353904943,6902.707693472381,26512.06936401026,8663.647450513077
joint_raw,load,3,176.09940911678774,139.05426088769823,-2.2933472600360325,176.35549815547762,172.13778410087173,-7.736454402821256,1390.6407814229428,1147.4598686894576,1065.2428352187462,3357.4336509663417,27653.568240315435,13370.322729662212
joint_raw,load,4,157.81915790231298,126.56326724412718,-21.720550100954906,157.7713810813444,154.98257284198647,-22.23073151860682,799.1439661757539,672.4689100970824,566.6847485413854,1108.7345115887404,23798.152089406452,13342.085950993205
joint_raw,load,5,210.58531931648386,162.18082724369347,-43.798178047036544,221.92931344059738,249.22595350946435,-75.19142948465354,1810.5300941472667,1145.3504669268143,781.9033098631406,5691.00559342519,38655.17111820027,24785.685318475502
joint_raw,load,6,276.69581266741045,204.4434929721011,-74.31363350360554,281.40327564396154,290.43579447092617,-84.03311061641817,3891.2753735882934,2258.487101974348,1863.8915463229714,26288.23616856722,50272.33657911148,26794.78300985384
joint_raw,load,7,368.5812796543354,281.2606248881667,-85.42717578916998,367.71351175266096,371.70310800309665,-78.02044390120913,6954.9066700391,4402.343414992923,3936.4897502562535,83976.95623082355,51875.20348080384,33487.023963866544
joint_raw,load,8,237.0586021836943,188.68181318625446,64.89260829467253,237.3195734824983,242.60185921971913,64.87953592792707,1854.5839251877615,1576.917835093746,1069.6050474556287,5971.322110355633,50225.45875893139,12090.699426472915
joint_raw,load,9,321.094304317364,227.85449961061684,139.56424556096303,330.2163498455283,352.17560521740256,149.76720341291576,5790.615516066917,3495.4787405812813,2942.330141693981,58213.9375953384,44887.614669713555,8601.606179221524
joint_raw,load,10,179.96605892598967,137.31197381970026,29.292119368610095,189.6191492215091,213.48531213650335,45.80741730134295,1747.363218276746,1328.348773786059,798.4295778108375,5300.830237129284,27086.952128223507,10511.450372443749
joint_raw,load,11,156.1828111264313,124.90396383635743,18.77669685633427,155.70725156355013,151.22012859889534,12.463477633963272,883.3893341335784,656.5994226061237,525.7169949733652,1354.820686911401,23038.24980444311,9772.550106047109
joint_raw,load,12,231.1620329183308,173.34829083654833,-49.95933711686071,229.88396026042767,225.09101987401772,-42.38536450667083,3310.774831040656,2040.8267925139423,2373.57245386925,19029.913162937995,34405.97229999746,19090.262985412282
joint_raw,pv,2,274.6396603635817,133.14928698939235,-10.866146570351976,272.0841760717541,244.47692595947544,-12.100138980349229,2164.382616910028,1733.329318582591,1510.639300164287,8132.902972885938,67294.04007173759,11403.516266242588
joint_raw,pv,3,373.9810388371412,185.40127702553846,-6.511847974185739,371.47670739942976,331.29772076441634,-1.2130557461750893,3219.4204139469334,2938.9368588973052,2238.5761879008,17994.214933573345,121867.602476134,15731.875992468513
joint_raw,pv,4,395.5394410419162,204.9693170796176,-23.85169301049307,396.11716710156566,362.0264373873419,-27.997782891967493,3247.628223025725,2559.4327030058894,2319.5376959591645,18310.918532974356,138140.53088677715,19813.876976001287
