scenario,previous_experiment,experiment,role,days,seed,previous,current,absolute_change_yuan,relative_change_pct,comparable,planned_cost_yuan,up_adjustment_cost_yuan,down_adjustment_cost_yuan,emergency_cost_yuan,adjustment_cost_yuan,total_cost_yuan,emergency_kwh
1,exp008,exp009,predeclared_cost_only_control,1,,34115.032450968385,34080.951399568854,-34.081051399531134,-0.09990039273306836,True,34080.951399568854,0.0,0.0,0.0,0.0,34080.951399568854,0.0
2,exp008,exp009,predeclared_cost_only_control,334,42.0,13201981.947942203,13215591.495018823,13609.547076620162,0.10308715108295907,True,12632239.14267758,0.0,0.0,583352.3523412447,0.0,13215591.495018823,104955.7812684371
3,exp008,exp009,predeclared_cost_only_control,334,42.0,12826263.074326852,12787820.024906598,-38443.049420254305,-0.29972135451675097,True,11620322.95608568,974441.7235607953,0.0,193055.3452601235,974441.7235607953,12787820.024906598,37996.06269391478
4-2,exp008,exp009,predeclared_cost_only_control,334,42.0,13994531.257936778,13978929.994015083,-15601.26392169483,-0.11148114670040712,True,13376143.787266407,0.0,0.0,602786.2067486761,0.0,13978929.994015083,107711.18723283753
4-3,exp008,exp009,predeclared_cost_only_control,334,42.0,13579870.464961907,13573403.53627182,-6466.92869008705,-0.04762143134408161,True,12282382.089673847,1073372.385764485,0.0,217649.0608334875,1073372.385764485,13573403.53627182,44234.54599523198
