scenario,planned_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,total_cost_yuan
2,-2695.0632263869047,0.0,16304.610303007415,13609.547076620162
3,1505.1451402828097,-31239.30142417422,-8708.893136362894,-38443.049420254305
4-2,-24312.895286127925,0.0,8711.63136443356,-15601.26392169483
4-3,17106.028861593455,-16329.536943221232,-7243.420608458429,-6466.92869008705
