lag_days,paired_daily_saving_correlation,exp006_daily_cost_correlation,exp008_daily_cost_correlation
1,0.208087642289,0.434277249112,0.404874413041
2,0.0481827027723,-0.0960580067767,-0.12071964035
3,0.00127952236558,-0.0914131561815,-0.137789073689
4,-0.0291320846254,-0.104069045468,-0.143832071971
5,-0.0416661032714,-0.118616239544,-0.13718058821
6,0.00756547488922,0.39367905892,0.366977353876
7,0.0795938795311,0.923616719918,0.8530614883
8,0.0273821461641,0.387083772758,0.359986679475
9,0.000823242861842,-0.137139744646,-0.140917361233
10,0.0382906175207,-0.131713224235,-0.149831765692
11,0.0433376528587,-0.141509134562,-0.1603290072
12,-0.0162055409041,-0.159494400621,-0.17092475661
13,0.00438666496385,0.360285794427,0.33398784896
14,0.0817518854156,0.893130540374,0.817635480778
15,0.0263826056839,0.358731918661,0.331549455558
16,0.0249292201186,-0.162217602118,-0.1684120294
17,0.0616979194196,-0.158275767548,-0.176142491122
18,0.0137326195989,-0.167710686265,-0.188210751798
19,0.135553531128,-0.183773936001,-0.18029632873
20,0.00529861278186,0.334211225904,0.312405188114
21,0.0352123169831,0.865864892203,0.791581686411
22,0.0171260578605,0.334051275421,0.312088747519
23,0.144928271291,-0.185671177142,-0.166637803202
24,0.0298617813996,-0.182302409215,-0.198582333244
25,-0.0669245041123,-0.184187491182,-0.207464062995
26,-0.000337673714506,-0.204433092328,-0.214193123377
27,0.00696069021285,0.317644761539,0.283667117249
28,0.0101781052232,0.844095453654,0.757236336088
29,-0.009603524534,0.316879982731,0.28758184412
30,0.107559543625,-0.193903816666,-0.181472114474
31,0.00148778063853,-0.195376407374,-0.213488954483
32,-0.116599685326,-0.207565489539,-0.240416103158
33,-0.0234441156196,-0.24533145906,-0.252388292882
34,0.101294549427,0.267675557342,0.274544702912
35,-0.0302333630739,0.795276084747,0.731658697194
36,-0.0391639316001,0.256093390143,0.249252556132
37,-0.0294363725389,-0.264821614263,-0.252985840426
38,-0.00413678228379,-0.260309693424,-0.26482817616
39,-0.0569112747036,-0.269659759554,-0.277122867996
40,0.0241225050968,-0.293734372561,-0.281368890189
41,0.00686239465401,0.215422426787,0.213254574663
42,0.0434596138184,0.734066767087,0.676293238905
43,0.0321735925149,0.204256043622,0.204306286022
44,0.00803495182686,-0.307713731965,-0.286349964247
45,0.0204228516022,-0.299780315597,-0.296006918852
46,0.0192347631887,-0.306317472828,-0.305783963496
47,-0.00966692663591,-0.331031192161,-0.313803648795
48,-0.0564992779749,0.173162170569,0.174021431008
49,-0.00268033650214,0.689521558956,0.637991657185
50,-0.0236792411161,0.164587324443,0.177144505486
51,-0.0355827853893,-0.345545414222,-0.312727618489
52,-0.00849567429673,-0.335018182162,-0.320289182428
53,-0.0760360888198,-0.341250632,-0.337315043201
54,-0.00981349977849,-0.365309929491,-0.33808756892
55,-0.0430441372752,0.134024595266,0.146488712831
56,0.0376872312208,0.647838267709,0.608950212459
57,0.194658157652,0.133841655381,0.171287196689
58,-0.00773180426342,-0.374074443895,-0.343453506856
59,-0.0117458035824,-0.362565184618,-0.343080006826
60,0.0219558350286,-0.361437984505,-0.34148162361
