scenario,strategy,analysis_label,stress_group,nominal_tail_fraction,threshold_field,threshold_value,first_selected_date,last_selected_date,small_group_lt10_days,threshold_load_q80_kwh,threshold_pv_q20_kwh,planned_cost_yuan,up_cost_yuan,down_cost_yuan,emergency_cost_yuan,total_cost_yuan,original_purchase_kwh,final_purchase_kwh,up_adjustment_kwh,down_adjustment_kwh,emergency_kwh,surplus_kwh,charge_kwh,discharge_kwh,throughput_kwh,equivalent_full_cycles,active_slots,emergency_slots,nonidle_reversals,charge_episodes,discharge_episodes,power_tv_kw,load_kwh,pv_kwh,net_load_kwh,n_days,mean_daily_cost_yuan,mean_daily_emergency_kwh,mean_daily_throughput_kwh,soc_min_kwh,soc_max_kwh,soc_start_kwh,soc_end_kwh,max_balance_abs_kwh,max_soc_equation_abs_kwh,emergency_energy_fraction_pct,cost_per_load_kwh,baseline_strategy,baseline_cost_yuan,cost_saving_yuan,cost_reduction_pct,paired_day_win_fraction,paired_day_cost_saving_sd_yuan,baseline_emergency_kwh,baseline_throughput_kwh
2,exp006_primary,posthoc_observed_stress_group,all_days,1,all,,2025-02-01,2025-12-31,False,,,13215791.4493,0,0,850466.027998,14066257.4773,21702244.4351,21702244.4351,0,0,197559.782604,3356310.88922,6042575.43667,5438271.60315,11480847.0398,477.705499757,23028,6584,2729,2098,1693,30451039.1435,37008079.4893,19068889.9943,17939189.495,334,42114.5433451,591.496355101,34373.7935324,1200,10800,1421.79911051,1470.59289458,4.54747350886e-13,9.09494701773e-13,0.533828789092,0.380086123662,,,,,,,,
2,exp006_primary,posthoc_observed_stress_group,high_load,0.1,load_kwh,135607.857252,2025-07-01,2025-08-18,False,,,1787986.40788,0,0,142008.788693,1929995.19657,2840499.32612,2840499.32612,0,0,34227.6632961,386934.236704,619906.82016,561205.512162,1181112.33232,49.1524082468,2170,745,306,232,162,3319029.39283,4719577.4196,2290485.97488,2429091.44472,34,56764.5646051,1006.6959793,34738.5980094,1200,10800,1779.28176715,1748.4395972,4.54747350886e-13,9.09494701773e-13,0.725227287382,0.408933899157,,,,,,,,
2,exp006_primary,posthoc_observed_stress_group,low_pv,0.1,pv_kwh,40546.895385,2025-02-04,2025-12-31,False,,,1739681.94692,0,0,74780.6453412,1814462.59226,2801467.59906,2801467.59906,0,0,18333.9289884,183162.387623,762353.701601,686120.639575,1448474.34118,60.2694533674,2518,670,318,233,239,3751510.42539,3802074.71993,1241668.64153,2560406.0784,34,53366.5468313,539.233205541,42602.1865052,1200,10800,1424.01778517,1470.59289458,3.41060513165e-13,9.09494701773e-13,0.482208539781,0.477229598554,,,,,,,,
2,exp006_primary,posthoc_observed_stress_group,high_net_load,0.1,net_load_kwh,77595.7141283,2025-02-02,2025-12-31,False,,,1978001.79166,0,0,149232.501431,2127234.29309,3114940.22416,3114940.22416,0,0,35585.8543998,181103.016379,785843.859699,712820.96177,1498664.82147,62.3706755114,2486,942,336,241,252,4051635.88103,4272823.28458,1376423.12033,2896400.16425,34,62565.7145026,1046.64277646,44078.377102,1200,10800,5185.70128146,1470.59289458,3.41060513165e-13,9.09494701773e-13,0.832841707454,0.497852158025,,,,,,,,
2,exp006_primary,posthoc_observed_stress_group,high_load,0.2,load_kwh,125362.00001,2025-06-01,2025-12-02,False,,,3417505.69846,0,0,315024.200916,3732529.89937,5436052.76288,5436052.76288,0,0,72924.9092352,653829.689096,1251931.96839,1134044.57301,2385976.5414,99.2947870136,4500,1579,606,467,326,6679606.05487,8994829.10135,4257568.51372,4737260.58763,67,55709.4014832,1088.43148112,35611.5901701,1200,10800,2578.99879045,1244.48450517,4.54747350886e-13,9.09494701773e-13,0.810742576802,0.41496395955,,,,,,,,
2,exp006_primary,posthoc_observed_stress_group,low_pv,0.2,pv_kwh,46435.9747633,2025-02-01,2025-12-31,False,,,3151417.42888,0,0,165768.715592,3317186.14447,5109692.02173,5109692.02173,0,0,38622.974157,362286.492259,1444137.29208,1300748.15886,2744885.45094,114.214078216,4984,1536,615,457,430,7137829.99339,7326799.44207,2684160.07165,4642639.37042,67,49510.2409623,576.462300851,40968.4395663,1200,10800,1421.79911051,1470.59289458,3.41060513165e-13,9.09494701773e-13,0.527146600128,0.45274695598,,,,,,,,
2,exp006_primary,posthoc_observed_stress_group,high_net_load,0.2,net_load_kwh,72705.6190267,2025-02-02,2025-12-31,False,,,3720227.51561,0,0,249901.527682,3970129.0433,5888452.28908,5888452.28908,0,0,59122.0441104,452412.184655,1461543.74707,1322726.92726,2784270.67433,115.867447767,4797,1689,664,477,439,7694293.28278,8534556.9985,3178211.66977,5356345.32873,67,59255.6573626,882.418568812,41556.2787213,1200,10800,5185.70128146,1470.59289458,4.54747350886e-13,9.09494701773e-13,0.692737117121,0.465182790858,,,,,,,,
2,exp006_primary,posthoc_observed_stress_group,high_load,0.3,load_kwh,121434.472952,2025-02-02,2025-12-31,False,,,5324003.40368,0,0,390121.381381,5714124.78506,8438737.5106,8438737.5106,0,0,90937.9899213,856403.897737,2011811.81414,1822918.59135,3834730.40549,159.587382478,6891,2290,930,699,570,10623986.1551,13069818.787,5585440.40698,7484378.38,100,57141.2478506,909.379899213,38347.3040549,1200,10800,5185.70128146,1470.59289458,4.54747350886e-13,9.09494701773e-13,0.695786157432,0.437200000872,,,,,,,,
2,exp006_primary,posthoc_observed_stress_group,low_pv,0.3,pv_kwh,52021.5191067,2025-02-01,2025-12-31,False,,,4382526.52535,0,0,263765.582211,4646292.10756,7161634.7204,7161634.7204,0,0,61076.7581541,563196.439372,2076935.80932,1869735.64723,3946671.45655,164.217863999,7399,2360,903,675,614,10268422.6782,10767222.7012,4314907.82408,6452314.87708,100,46462.9210756,610.767581541,39466.7145655,1200,10800,1421.79911051,1470.59289458,3.41060513165e-13,9.09494701773e-13,0.567247096574,0.43152187305,,,,,,,,
2,exp006_primary,posthoc_observed_stress_group,high_net_load,0.3,net_load_kwh,69272.21736,2025-02-02,2025-12-31,False,,,5334957.81269,0,0,402972.343031,5737930.15572,8477119.91946,8477119.91946,0,0,92645.3641102,661719.885345,2121912.76308,1920347.37744,4042260.14053,168.218627864,7129,2570,984,714,624,11237456.6579,12662521.4407,4956041.4281,7706480.01258,100,57379.3015572,926.453641102,40422.6014053,1200,10800,5185.70128146,1470.59289458,4.54747350886e-13,9.09494701773e-13,0.731650205247,0.453142779074,,,,,,,,
2,exp006_primary,posthoc_observed_stress_group,high_load_and_low_pv,0.2,load_kwh>=q80 AND pv_kwh<=q20,,2025-12-02,2025-12-02,True,125362.00001,46435.9747633,57609.0585116,0,0,8850.70188739,66459.760399,90225.406382,90225.406382,0,0,2097.29933185,1572.32393526,24298.1049077,22185.5330791,46483.6379868,1.93486714633,76,52,10,7,8,116528.136406,125400.6236,36762.81365,88637.80995,1,66459.760399,2097.29933185,46483.6379868,1200,10689.8520307,1578.88341667,1244.48450517,2.27373675443e-13,8.24229573482e-13,1.67247918841,0.529979504815,,,,,,,,
