metric,previous,current,absolute_change,relative_change_pct,comparable
cost_yuan,14066257.477256788,13201981.94794217,-864275.5293146186,-6.144317567853665,True
direction_reversals_nonidle,2729.0,2533.0,-196.0,-7.182117991938439,True
episodes,3791.0,3898.0,107.0,2.8224742811922976,True
active_slots,23028.0,37211.0,14183.0,61.590237971165536,True
throughput_kwh,11480847.039823763,11353818.825263,-127028.21456076391,-1.1064359112192637,True
equivalent_full_cycles,477.7054997572055,472.4205867795632,-5.28491297764225,-1.106311939119042,True
mean_absolute_delta_kw,633.1435522084457,586.7405544307373,-46.40299777770838,-7.328985285540967,True
rms_delta_kw,1591.6255317025284,1351.8559117404113,-239.76961996211708,-15.064449217878563,True
p95_absolute_delta_kw,4714.789814878349,4039.9322513250845,-674.8575635532643,-14.313629876429117,True
max_absolute_delta_kw,9013.795739914454,8946.988473150166,-66.80726676428822,-0.7411668590231695,True
total_variation_kw,30451039.1434652,28219286.965346314,-2231752.1781188846,-7.328985285540967,True
direct_reversals,730.0,1407.0,677.0,92.73972602739725,True
power_limit_share,0.0,0.030355954757152363,0.030355954757152363,,True
large_jump_share,0.14658488408358458,0.13132342239318018,-0.015261461690404404,-10.411347517730494,True
