current_series,previous_series,metric,previous,current,absolute_change,relative_change_pct
q2_final,exp006_q2,cost_yuan,14066257.477256788,13201981.94794217,-864275.5293146186,-6.144317567853665
q2_final,exp006_q2,charge_starts,2098.0,1670.0,-428.0,-20.40038131553861
q2_final,exp006_q2,discharge_starts,1693.0,2228.0,535.0,31.600708800945068
q2_final,exp006_q2,episodes,3791.0,3898.0,107.0,2.8224742811922976
q2_final,exp006_q2,throughput_kwh,11480847.039823763,11353818.825263,-127028.21456076391,-1.1064359112192637
q2_final,exp006_q2,equivalent_full_cycles,477.7054997572055,472.4205867795632,-5.28491297764225,-1.106311939119042
q2_final,exp006_q2,active_slots,23028.0,37211.0,14183.0,61.590237971165536
q2_final,exp006_q2,direction_reversals_nonidle,2729.0,2533.0,-196.0,-7.182117991938439
q2_final,exp006_q2,initial_soc,1421.7991105135516,1421.7991105135516,0.0,0.0
q2_final,exp006_q2,final_soc,1470.5928945820604,1200.0,-270.59289458206035,-18.40025853375025
q2_final,exp006_q2,mean_absolute_delta_kw,633.1435522084457,586.7405544307373,-46.40299777770838,-7.328985285540967
q2_final,exp006_q2,rms_delta_kw,1591.6255317025284,1351.855911740411,-239.7696199621173,-15.064449217878577
q2_final,exp006_q2,p95_absolute_delta_kw,4714.789814878349,4039.932251325085,-674.8575635532638,-14.313629876429106
q2_final,exp006_q2,max_absolute_delta_kw,9013.795739914454,8946.988473150166,-66.80726676428822,-0.7411668590231695
q2_final,exp006_q2,total_variation_kw,30451039.1434652,28219286.96534631,-2231752.1781188883,-7.328985285540979
q2_final,exp006_q2,direct_reversals,730.0,1407.0,677.0,92.73972602739725
q2_final,exp006_q2,power_limit_share,0.0,0.0303559547571523,0.0303559547571523,
q2_final,exp006_q2,large_jump_share,0.1465848840835845,0.1313234223931801,-0.015261461690404404,-10.4113475177305
q2_final,exp006_q2,warmup_boundary_delta_kw,4749.014575892315,4558.101091349261,-190.91348454305444,-4.020065247055654
q3_final,exp002_q3,cost_yuan,14005062.775875757,12826263.074326914,-1178799.7015488427,-8.416954071633077
q3_final,exp002_q3,charge_starts,4230.0,3523.0,-707.0,-16.713947990543737
q3_final,exp002_q3,discharge_starts,4230.0,3461.0,-769.0,-18.17966903073286
