name,seed,case_id,exploratory,target,lead_start_hour,lead_end_hour,n,absolute_error_sum,squared_error_sum,signed_error_sum,actual_abs_sum,mae,rmse,wape_pct,bias
no_season,42,no_season_seed_42,False,load,0.0,4.0,8016,1550744.7062425679,524854385.8017231,819563.1761618548,27935677.339499995,193.45617592846406,255.8824857862513,5.551126208240791,102.24091518985215
no_season,42,no_season_seed_42,False,pv,0.0,4.0,8016,761.1616596814926,10249.602772567348,758.0872596814925,1.6239000000000001,0.09495529686645367,1.1307710026570448,46872.446559609125,0.09457176393232192
no_season,42,no_season_seed_42,False,load,4.0,8.0,8016,1453206.4491718155,425569192.4189932,779469.7585852882,32783673.431,181.28822968710273,230.41260623964536,4.432713900199098,97.23924134048006
no_season,42,no_season_seed_42,False,pv,4.0,8.0,8016,820740.0219891833,305169772.18072003,-462111.69496281346,7868652.727799999,102.38772729405979,195.11555898971835,10.430502531767653,-57.64866454126914
no_season,42,no_season_seed_42,False,load,8.0,12.0,8016,1432961.4506004069,418785674.3840543,742349.9419183773,46507328.0133,178.7626560130248,228.5688558275125,3.08115196424661,92.60852568842031
no_season,42,no_season_seed_42,False,pv,8.0,12.0,8016,4492975.130491167,4313845073.416367,-2922192.6617378704,50642302.90439999,560.5008895323313,733.5900255087945,8.871980286861719,-364.54499273177026
no_season,42,no_season_seed_42,False,load,12.0,16.0,8016,1562761.1019058048,541433816.7012591,804898.5485207068,45186244.1546,194.95522728365827,259.8925524328031,3.458488597899355,100.41149557394047
no_season,42,no_season_seed_42,False,pv,12.0,16.0,8016,4235920.403727675,3809060269.613325,-2774031.3054376985,49192026.388000004,528.4331840977638,689.3345844819769,8.610989859041451,-346.0617896005113
no_season,42,no_season_seed_42,False,load,16.0,20.0,8016,1694756.546371704,648669921.3570151,859475.1005398154,38937812.863000005,211.42172484676945,284.46774224307603,4.352469801872507,107.21994767213266
no_season,42,no_season_seed_42,False,pv,16.0,20.0,8016,664615.5418809587,218364029.3576455,-365572.46474376763,6710354.7006,82.91112049413158,165.04854324244363,9.904328035320288,-45.60534739817461
