scenario,issue_hour,month,period,target,population,unit,n,absolute_error_sum,squared_error_sum,signed_error_sum,actual_abs_sum,mae,rmse,wape_pct,bias,name,seed,case_id,exploratory
2,0,0,annual,load,all,kW,48096,9400726.962632872,3209204298.777941,4865529.367614788,222048476.9355,195.4575632616615,258.3117746935212,4.233637218490613,101.16286941980181,no_season,42,no_season_seed_42,False
2,0,0,annual,load,pv_generating,kW,26880,5156415.262762263,1708725101.667789,2576559.430490757,142806829.5625,191.83092495395326,252.12822566135065,3.61076236939042,95.85414547956685,no_season,42,no_season_seed_42,False
2,0,0,annual,pv,all,kW,48096,10216542.024260243,8646471185.873417,-6521622.830910889,114413339.9657,212.41978593355464,423.9991342452028,8.929502475256,-135.59595040982387,no_season,42,no_season_seed_42,False
2,0,0,annual,pv,pv_generating,kW,26880,10196459.224565892,8645922788.59077,-6541705.630605243,114413339.9657,379.33256043771917,567.1409994578295,8.911949627222393,-243.36702494811172,no_season,42,no_season_seed_42,False
2,0,0,annual,net_load,all,kW,48096,17281430.16443876,13248292996.045303,11387152.198525678,144333055.96420002,359.3111727469802,524.8382547955927,11.973300259592094,236.7588198296257,no_season,42,no_season_seed_42,False
2,0,0,annual,net_load,pv_generating,kW,26880,13042981.253071921,11750371274.714865,9118265.061095998,65091408.59120001,485.22995733154465,661.1669898700756,20.037945921537883,339.2211704276785,no_season,42,no_season_seed_42,False
2,0,0,annual,load,all,kW,48096,9679365.66883496,3416171362.035032,5528989.712081403,222048476.9355,201.2509495349917,266.51112612490766,4.359122747618122,114.95737092650954,no_season,2026,no_season_seed_2026,False
2,0,0,annual,load,pv_generating,kW,26880,5263759.11151776,1790153218.3647368,2871316.329677882,142806829.5625,195.82437170825,258.06580942220097,3.685929536874183,106.81980393146883,no_season,2026,no_season_seed_2026,False
2,0,0,annual,pv,all,kW,48096,9734575.476463715,7927350551.4069605,-5735944.656981057,114413339.9657,202.39885804357357,405.98459269857494,8.50825216655859,-119.26032636770327,no_season,2026,no_season_seed_2026,False
2,0,0,annual,pv,pv_generating,kW,26880,9702418.783273872,7926470710.490275,-5768101.350170897,114413339.9657,360.95307973489105,543.0318434305201,8.480146446369421,-214.58710380100064,no_season,2026,no_season_seed_2026,False
2,0,0,annual,net_load,all,kW,48096,17042003.11419545,12658751510.1835,11264934.369062457,144333055.96420002,354.33306541490873,513.0278692296131,11.807415148489964,234.21769729421277,no_season,2026,no_season_seed_2026,False
2,0,0,annual,net_load,pv_generating,kW,26880,12638561.226636719,11038448410.472881,8639417.679848779,65091408.59120001,470.1845694433303,640.824908137641,19.416635006336893,321.40690773246945,no_season,2026,no_season_seed_2026,False
2,0,0,annual,load,all,kW,48096,9557373.62097397,3369071342.9852304,5113948.893905807,222048476.9355,198.7145213941694,264.66750562757426,4.304183371521242,106.3279460642425,no_season,3407,no_season_seed_3407,False
2,0,0,annual,load,pv_generating,kW,26880,5219164.457642856,1780574621.705266,2660255.867669939,142806829.5625,194.16534440635624,257.37446530458476,3.6547022811389196,98.9678522198638,no_season,3407,no_season_seed_3407,False
2,0,0,annual,pv,all,kW,48096,9664724.7004975,7858582245.557629,-5804553.625214546,114413339.9657,200.9465381839966,404.21983634765303,8.447200915028693,-120.68682687155992,no_season,3407,no_season_seed_3407,False
2,0,0,annual,pv,pv_generating,kW,26880,9637548.010932557,7857810457.677039,-5831730.314779491,114413339.9657,358.5397325495743,540.6748173330288,8.423447837307958,-216.95425278197513,no_season,3407,no_season_seed_3407,False
2,0,0,annual,net_load,all,kW,48096,16802030.738309838,12423143283.57663,10918502.519120352,144333055.96420002,349.3436198085046,508.23113570492046,11.641152212891113,227.0147729358024,no_season,3407,no_season_seed_3407,False
2,0,0,annual,net_load,pv_generating,kW,26880,12475314.639418073,10840458838.96705,8491986.18244943,65091408.59120001,464.1114077164462,635.0518714450478,19.16583910139051,315.92210500183893,no_season,3407,no_season_seed_3407,False
2,0,0,annual,load,all,kW,48096,9563633.669258084,3242702837.456779,5047042.427845965,222048476.9355,198.84467875203933,259.65643874419953,4.3070025974715875,104.9368435596716,causal_season,42,causal_season_seed_42,False
2,0,0,annual,load,pv_generating,kW,26880,5255062.651135865,1739128255.0859187,2703120.1420565713,142806829.5625,195.50084267618544,254.3613804624356,3.679839869868384,100.56250528484269,causal_season,42,causal_season_seed_42,False
2,0,0,annual,pv,all,kW,48096,10179211.751146138,8629944264.828342,-6439035.887208229,114413339.9657,211.6436242337437,423.59372308001866,8.896874922275467,-133.87882333683112,causal_season,42,causal_season_seed_42,False
2,0,0,annual,pv,pv_generating,kW,26880,10150998.596923571,8629153125.315792,-6467249.041430795,114413339.9657,377.6413168498352,566.5907181241383,8.872215949614565,-240.59706255322897,causal_season,42,causal_season_seed_42,False
2,0,0,annual,net_load,all,kW,48096,17309723.116704896,13209535646.27544,11486078.315054191,144333055.96420002,359.8994327325536,524.0699958748378,11.992902804606556,238.81566689650265,causal_season,42,causal_season_seed_42,False
2,0,0,annual,net_load,pv_generating,kW,26880,13013232.578489782,11711780871.08155,9170369.183487367,65091408.59120001,484.12323580691157,660.0803993429769,19.992243001250856,341.15956783807167,causal_season,42,causal_season_seed_42,False
2,0,0,annual,load,all,kW,48096,9691500.52468748,3298013200.778715,5556939.713597856,222048476.9355,201.5032544221449,261.861538639639,4.3645877055498286,115.53850036589023,causal_season,2026,causal_season_seed_2026,False
