name,month,rmse_kw,high_price_rmse_kw,daily_energy_rmse_kwh,cumulative_error_rmse_kwh
original_HGB_full,2,281.1107556590038,250.1151285610409,2579.209460248126,1721.6691228475077
original_HGB_full,3,343.853789919828,313.1381654358373,2974.6609159218683,1984.893616030348
original_HGB_full,4,367.6928855558389,329.4242593791576,2998.7293056124918,2100.3152205121432
original_HGB_full,5,383.4426134883823,369.16681310852096,3428.845251136827,2156.6158263910534
original_HGB_full,6,479.46228108307815,474.17472971740455,6048.103170410051,3655.852808513592
original_HGB_full,7,448.36073354907035,421.94781883290915,4125.665367083322,2560.4283294724364
original_HGB_full,8,396.9445917939474,389.08203215432945,3401.842334230684,2338.7982918672988
original_HGB_full,9,398.3867152859535,423.6000220663352,4794.064784782558,2764.5486416290087
original_HGB_full,10,326.53907683276947,317.2475236912247,3554.8277385627684,2249.4119361975168
original_HGB_full,11,232.16671642484297,210.42225650630797,1447.7271970813174,1001.6403281521433
original_HGB_full,12,240.82450513708457,214.84398348403883,2059.897313500936,1541.6439003187834
ExtraTrees_full,2,273.8075710668683,238.95646145239843,2598.9931590370065,1753.8254170847872
ExtraTrees_full,3,346.52885791002075,318.60743965193217,3000.949236494086,2004.6094863501553
ExtraTrees_full,4,368.29955517491516,330.52684946048635,3151.475552054783,2207.429487446047
ExtraTrees_full,5,379.16550109645334,362.4191773152861,3352.0790720139807,2111.407813081479
ExtraTrees_full,6,475.07995495082844,484.66525308148886,6219.499160783669,3769.8056816254675
ExtraTrees_full,7,423.0290612737163,392.5553893897459,3341.469296185478,2183.464059054224
ExtraTrees_full,8,403.73243127976644,391.80034233954285,3764.8330015989054,2502.2816272394707
ExtraTrees_full,9,393.5625282224978,412.5596279029218,4619.738486692421,2683.4599555626146
ExtraTrees_full,10,316.471570367596,302.7633960098145,3683.0705891239772,2298.788214486005
ExtraTrees_full,11,226.87626351926684,205.72916737089722,1402.4318124401123,989.0654210644531
ExtraTrees_full,12,231.22697547827272,213.8274566029715,1950.7991065818585,1452.218592195305
best_fixed_channel_composite_full,2,272.9740871080124,252.07426382677585,2453.094653480057,1635.3187244806788
best_fixed_channel_composite_full,3,340.7134499081242,313.6104394291964,3069.3107451422566,2037.8726136614998
best_fixed_channel_composite_full,4,372.87385142387444,331.1734700739783,2969.915125152383,2112.243927355736
best_fixed_channel_composite_full,5,374.9550064329251,362.4403267623255,3152.3536263299793,2027.222141617091
best_fixed_channel_composite_full,6,464.32280909691667,464.22681827704264,5542.433092755881,3342.164059315334
best_fixed_channel_composite_full,7,444.5277781947929,415.4922398319801,3965.32322614664,2471.6710542096635
best_fixed_channel_composite_full,8,399.2468690527087,387.85224332200244,3593.8039320144603,2472.7036388487613
best_fixed_channel_composite_full,9,396.954772406233,413.45840950908536,4755.724562867707,2757.5611471949082
best_fixed_channel_composite_full,10,321.64409477830503,311.1768310895089,3524.3346469720236,2232.0235365326985
best_fixed_channel_composite_full,11,233.03433304264544,209.5317278073316,1596.0061508846156,1057.1533455448211
best_fixed_channel_composite_full,12,243.12204140039788,216.7350532992481,2070.399931493771,1564.8735428922582
hgb_extra_trees_half_ridge28_memory,2,274.9027616762226,241.4334905465406,2534.92758682946,1707.603846504772
hgb_extra_trees_half_ridge28_memory,3,343.9658501813086,314.60644232513704,2988.86999660593,1994.5039157602891
hgb_extra_trees_half_ridge28_memory,4,366.52068653089634,328.1128268067409,3057.5099983609844,2142.9523488366076
hgb_extra_trees_half_ridge28_memory,5,378.0654573689349,363.0973724137844,3368.7218360071292,2117.579768404661
hgb_extra_trees_half_ridge28_memory,6,472.9252480180779,475.3276280483104,6052.2677967273785,3667.5203688755128
hgb_extra_trees_half_ridge28_memory,7,432.066079117143,401.79331921888866,3527.108596344275,2271.20029303895
hgb_extra_trees_half_ridge28_memory,8,396.922168272579,386.2248457872108,3505.3511999112898,2390.276569988617
hgb_extra_trees_half_ridge28_memory,9,392.47220383096595,414.7308178529506,4687.142710612013,2716.2093115174143
hgb_extra_trees_half_ridge28_memory,10,318.8611077994182,306.81212092562197,3590.081397360342,2262.0980022149984
hgb_extra_trees_half_ridge28_memory,11,226.44261495393224,205.58154445571336,1400.4985510709867,982.9006609244739
hgb_extra_trees_half_ridge28_memory,12,232.08918432086514,212.01968063488374,1968.5234833058873,1468.615919860176
