predictor_id,scenario,issue_hour,month,period,target,population,unit,n,absolute_error_sum,squared_error_sum,signed_error_sum,actual_abs_sum,mae,rmse,wape_pct,bias,label,experiment,source,seed,exploratory,name,case_id,alpha_load,alpha_pv,forecast_reused,role
uncalibrated_seed_42,2,0,0,annual,pv,pv_generating,kW,26880,8161879.31203894,5542299623.21223,436607.552742542,114413339.9657,303.64134345383,454.077902936246,7.13367804356187,16.2428405038148,exp003 未校准,exp003,data/results/exp003/forecast_annual.csv,42,False,uncalibrated,uncalibrated_seed_42,1,1,False,
uncalibrated_seed_42,2,0,0,annual,net_load,all,kW,48096,13245859.2153226,7873159878.75535,-750797.105254228,144333055.9642,275.404591136948,404.594575593318,9.17728730042833,-15.6103855882865,exp003 未校准,exp003,data/results/exp003/forecast_annual.csv,42,False,uncalibrated,uncalibrated_seed_42,1,1,False,
uncalibrated_seed_42,2,0,0,annual,net_load,pv_generating,kW,26880,9884585.06408039,6907524632.40101,-707128.643182938,65091408.5912,367.730099110133,506.928360631497,15.1856985092449,-26.3068691660319,exp003 未校准,exp003,data/results/exp003/forecast_annual.csv,42,False,uncalibrated,uncalibrated_seed_42,1,1,False,
,2,0,0,annual,load,all,kW,48096,9400726.96263287,3209204298.77794,4865529.36761479,222048476.9355,195.457563261662,258.311774693521,4.23363721849061,101.162869419802,exp004 无季节,exp004,data/results/exp004/forecast_annual.csv,42,False,no_season,no_season_seed_42,,,False,
,2,0,0,annual,load,pv_generating,kW,26880,5156415.26276226,1708725101.66779,2576559.43049076,142806829.5625,191.830924953953,252.128225661351,3.61076236939042,95.8541454795668,exp004 无季节,exp004,data/results/exp004/forecast_annual.csv,42,False,no_season,no_season_seed_42,,,False,
,2,0,0,annual,pv,all,kW,48096,10216542.0242602,8646471185.87342,-6521622.83091089,114413339.9657,212.419785933555,423.999134245203,8.929502475256,-135.595950409824,exp004 无季节,exp004,data/results/exp004/forecast_annual.csv,42,False,no_season,no_season_seed_42,,,False,
,2,0,0,annual,pv,pv_generating,kW,26880,10196459.2245659,8645922788.59077,-6541705.63060524,114413339.9657,379.332560437719,567.140999457829,8.91194962722239,-243.367024948112,exp004 无季节,exp004,data/results/exp004/forecast_annual.csv,42,False,no_season,no_season_seed_42,,,False,
,2,0,0,annual,net_load,all,kW,48096,17281430.1644388,13248292996.0453,11387152.1985257,144333055.9642,359.31117274698,524.838254795593,11.9733002595921,236.758819829626,exp004 无季节,exp004,data/results/exp004/forecast_annual.csv,42,False,no_season,no_season_seed_42,,,False,
,2,0,0,annual,net_load,pv_generating,kW,26880,13042981.2530719,11750371274.7149,9118265.061096,65091408.5912,485.229957331545,661.166989870076,20.0379459215379,339.221170427678,exp004 无季节,exp004,data/results/exp004/forecast_annual.csv,42,False,no_season,no_season_seed_42,,,False,
,2,0,0,annual,load,all,kW,48096,9563633.66925808,3242702837.45678,5047042.42784597,222048476.9355,198.844678752039,259.6564387442,4.30700259747159,104.936843559672,exp004 历史季节,exp004,data/results/exp004/forecast_annual.csv,42,False,causal_season,causal_season_seed_42,,,False,
,2,0,0,annual,load,pv_generating,kW,26880,5255062.65113586,1739128255.08592,2703120.14205657,142806829.5625,195.500842676185,254.361380462436,3.67983986986838,100.562505284843,exp004 历史季节,exp004,data/results/exp004/forecast_annual.csv,42,False,causal_season,causal_season_seed_42,,,False,
,2,0,0,annual,pv,all,kW,48096,10179211.7511461,8629944264.82834,-6439035.88720823,114413339.9657,211.643624233744,423.593723080019,8.89687492227547,-133.878823336831,exp004 历史季节,exp004,data/results/exp004/forecast_annual.csv,42,False,causal_season,causal_season_seed_42,,,False,
,2,0,0,annual,pv,pv_generating,kW,26880,10150998.5969236,8629153125.31579,-6467249.04143079,114413339.9657,377.641316849835,566.590718124138,8.87221594961457,-240.597062553229,exp004 历史季节,exp004,data/results/exp004/forecast_annual.csv,42,False,causal_season,causal_season_seed_42,,,False,
,2,0,0,annual,net_load,all,kW,48096,17309723.1167049,13209535646.2754,11486078.3150542,144333055.9642,359.899432732554,524.069995874838,11.9929028046066,238.815666896503,exp004 历史季节,exp004,data/results/exp004/forecast_annual.csv,42,False,causal_season,causal_season_seed_42,,,False,
,2,0,0,annual,net_load,pv_generating,kW,26880,13013232.5784898,11711780871.0816,9170369.18348737,65091408.5912,484.123235806912,660.080399342977,19.9922430012509,341.159567838072,exp004 历史季节,exp004,data/results/exp004/forecast_annual.csv,42,False,causal_season,causal_season_seed_42,,,False,
,2,0,0,annual,load,all,kW,48096,9703457.08991007,3226701787.77235,5602943.38753359,222048476.9355,201.751852335123,259.01501184141,4.36997236992024,116.494997245791,exp004 全年探索,exp004,data/results/exp004/forecast_annual.csv,42,True,oracle_season,oracle_season_seed_42,,,False,
,2,0,0,annual,load,pv_generating,kW,26880,5355846.21901066,1745741876.73594,3015764.76087818,142806829.5625,199.250231362004,254.844568988344,3.75041322282605,112.193629496956,exp004 全年探索,exp004,data/results/exp004/forecast_annual.csv,42,True,oracle_season,oracle_season_seed_42,,,False,
,2,0,0,annual,pv,all,kW,48096,10129362.797872,8633194586.00444,-6469334.86158017,114413339.9657,210.607177267799,423.673485242544,8.85330574293936,-134.508792032189,exp004 全年探索,exp004,data/results/exp004/forecast_annual.csv,42,True,oracle_season,oracle_season_seed_42,,,False,
,2,0,0,annual,pv,pv_generating,kW,26880,10109119.8486451,8632648992.31364,-6489577.81080715,114413339.9657,376.08332770257,566.705475922229,8.83561292037771,-241.427745937766,exp004 全年探索,exp004,data/results/exp004/forecast_annual.csv,42,True,oracle_season,oracle_season_seed_42,,,False,
,2,0,0,annual,net_load,all,kW,48096,17461192.0830898,13363439796.839,12072278.2491138,144333055.9642,363.048737589192,527.114121583868,12.097846862898,251.003789277981,exp004 全年探索,exp004,data/results/exp004/forecast_annual.csv,42,True,oracle_season,oracle_season_seed_42,,,False,
,2,0,0,annual,net_load,pv_generating,kW,26880,13122993.1409111,11886982440.6626,9505342.57168532,65091408.5912,488.206590063657,664.999285061116,20.1608682696187,353.621375434722,exp004 全年探索,exp004,data/results/exp004/forecast_annual.csv,42,True,oracle_season,oracle_season_seed_42,,,False,
,2,0,0,annual,load,all,kW,48096,9400726.96263287,3209204298.77794,4865529.36761479,222048476.9355,195.457563261662,258.311774693521,4.23363721849061,101.162869419802,exp006 正式·树DP,exp006,data/results/exp004/forecast_annual.csv,42,False,primary,no_season_seed_42,,,True,正式策略
,2,0,0,annual,load,pv_generating,kW,26880,5156415.26276226,1708725101.66779,2576559.43049076,142806829.5625,191.830924953953,252.128225661351,3.61076236939042,95.8541454795668,exp006 正式·树DP,exp006,data/results/exp004/forecast_annual.csv,42,False,primary,no_season_seed_42,,,True,正式策略
,2,0,0,annual,pv,all,kW,48096,10216542.0242602,8646471185.87342,-6521622.83091089,114413339.9657,212.419785933555,423.999134245203,8.929502475256,-135.595950409824,exp006 正式·树DP,exp006,data/results/exp004/forecast_annual.csv,42,False,primary,no_season_seed_42,,,True,正式策略
,2,0,0,annual,pv,pv_generating,kW,26880,10196459.2245659,8645922788.59077,-6541705.63060524,114413339.9657,379.332560437719,567.140999457829,8.91194962722239,-243.367024948112,exp006 正式·树DP,exp006,data/results/exp004/forecast_annual.csv,42,False,primary,no_season_seed_42,,,True,正式策略
,2,0,0,annual,net_load,all,kW,48096,17281430.1644388,13248292996.0453,11387152.1985257,144333055.9642,359.31117274698,524.838254795593,11.9733002595921,236.758819829626,exp006 正式·树DP,exp006,data/results/exp004/forecast_annual.csv,42,False,primary,no_season_seed_42,,,True,正式策略
,2,0,0,annual,net_load,pv_generating,kW,26880,13042981.2530719,11750371274.7149,9118265.061096,65091408.5912,485.229957331545,661.166989870076,20.0379459215379,339.221170427678,exp006 正式·树DP,exp006,data/results/exp004/forecast_annual.csv,42,False,primary,no_season_seed_42,,,True,正式策略
,2,0,0,annual,load,all,kW,48096,9563633.66925808,3242702837.45678,5047042.42784597,222048476.9355,198.844678752039,259.6564387442,4.30700259747159,104.936843559672,exp006 历史季节·树DP,exp006,data/results/exp004/forecast_annual.csv,42,False,causal_42,causal_season_seed_42,,,True,预测兼容对照
,2,0,0,annual,load,pv_generating,kW,26880,5255062.65113586,1739128255.08592,2703120.14205657,142806829.5625,195.500842676185,254.361380462436,3.67983986986838,100.562505284843,exp006 历史季节·树DP,exp006,data/results/exp004/forecast_annual.csv,42,False,causal_42,causal_season_seed_42,,,True,预测兼容对照
,2,0,0,annual,pv,all,kW,48096,10179211.7511461,8629944264.82834,-6439035.88720823,114413339.9657,211.643624233744,423.593723080019,8.89687492227547,-133.878823336831,exp006 历史季节·树DP,exp006,data/results/exp004/forecast_annual.csv,42,False,causal_42,causal_season_seed_42,,,True,预测兼容对照
,2,0,0,annual,pv,pv_generating,kW,26880,10150998.5969236,8629153125.31579,-6467249.04143079,114413339.9657,377.641316849835,566.590718124138,8.87221594961457,-240.597062553229,exp006 历史季节·树DP,exp006,data/results/exp004/forecast_annual.csv,42,False,causal_42,causal_season_seed_42,,,True,预测兼容对照
,2,0,0,annual,net_load,all,kW,48096,17309723.1167049,13209535646.2754,11486078.3150542,144333055.9642,359.899432732554,524.069995874838,11.9929028046066,238.815666896503,exp006 历史季节·树DP,exp006,data/results/exp004/forecast_annual.csv,42,False,causal_42,causal_season_seed_42,,,True,预测兼容对照
,2,0,0,annual,net_load,pv_generating,kW,26880,13013232.5784898,11711780871.0816,9170369.18348737,65091408.5912,484.123235806912,660.080399342977,19.9922430012509,341.159567838072,exp006 历史季节·树DP,exp006,data/results/exp004/forecast_annual.csv,42,False,causal_42,causal_season_seed_42,,,True,预测兼容对照
