name,scenario,seed,kind,method,weight,update_hours,anticipate,raw_pv,known_price,planned_kwh,final_kwh,emergency_kwh,emergency_minutes,charge_kwh,discharge_kwh,surplus_kwh,planned_cost,up_cost,down_cost,emergency_cost,total_cost,violations,solve_execute_seconds,solver_calls,timeout_count,fallback_count,incumbent_count,gap_certified_count,final_soc,daily_cvar90,worst_day_cost,worst_date,cache_key,source_experiment,comparison_status,strict_q2_input_isolation_verified,experiment,policy_id,label,same_dispatch,physically_comparable,ranking_allowed,source,exploratory,days,start_date,end_date,initial_soc,max_balance_error,max_state_error,case_id,alpha_load,alpha_pv,updates,replay_wall_seconds,variant,corrected,update_schedule,scenario_label,improvement_pct,weekly_improvement_pct,total_wan,planned_wan,emergency_wan,status
legacy_rebased,2,42,legacy,deterministic,0.0,[],True,False,False,19310623.56978458,19310623.56978458,730041.0880550798,44340.0,6276030.03677205,5648637.450206511,1474082.5763074558,11613278.032118578,0.0,0.0,4229376.15856689,15842654.19068547,0.0,19.06835708755534,334.0,0.0,0.0,0.0,334.0,1200.0,92651.63688211232,142797.63500743534,2025-07-03,b046af101c7471d7,exp002,archived_v2_protocol_only,False,exp001,exp001/legacy_rebased,exp001 同口径重算,True,True,True,data/results/exp003/baseline/exp002_q2_costs.csv,False,,,,,,,,,,,,,,,,,,1584.2654190685469,1161.3278032118578,422.93761585668904,同物理口径
primary,2,42,mlp,risk,0.1,[],True,False,False,19494424.579403117,19494424.579403117,579717.6630443097,36830.0,6316145.326189278,5684741.210682016,1503548.631973502,11755724.512758028,0.0,0.0,3373172.939952124,15128897.452710154,0.0,907.7401532150108,334.0,334.0,0.0,334.0,0.0,1200.0,83083.73793737212,138575.9787136527,2025-06-01,e1adab7c9c5c9092,exp002,archived_v2_protocol_only,False,exp002,exp002/primary,exp002 正式风险,False,True,True,data/results/exp003/baseline/exp002_q2_costs.csv,False,,,,,,,,,,,,,,,,,,1512.8897452710153,1175.5724512758027,337.31729399521237,同物理口径
new_deterministic,2,42,mlp,deterministic,0.0,[],True,False,False,19421489.42026521,19421489.42026521,628285.6174340288,39410.0,6315396.677972004,5684067.42728647,1479256.2920470352,11677852.86107377,0.0,0.0,3674449.4188399934,15352302.279913764,0.0,17.69889313308522,334.0,0.0,0.0,0.0,334.0,1200.0,84488.05931153643,138741.68016550646,2025-06-01,11dcc1f0cbd5f8d1,exp002,archived_v2_protocol_only,False,exp002,exp002/new_deterministic,exp002 同确定性,True,True,True,data/results/exp003/baseline/exp002_q2_costs.csv,False,,,,,,,,,,,,,,,,,,1535.2302279913765,1167.785286107377,367.4449418839993,同物理口径
primary,2,42,mlp,deterministic,0.0,,,,,19576927.868703015,19576927.868703015,549746.4200630353,34290.0,6341190.389431347,5707232.234319866,1553526.638687902,11804823.080143536,0.0,0.0,3183799.5680329795,14988622.648176515,0.0,12.398277213214897,334.0,0.0,0.0,0.0,334.0,1252.2126616066805,84837.27708831233,154222.41305861215,2025-07-03,bdb4c350107003ecd7f0,,,,exp003,exp003/primary,exp003 正式,True,True,True,data/results/exp003/dispatch_metrics.csv,False,334.0,2025-02-01,2025-12-31,1421.7991105135516,0.0,9.094947017729282e-13,primary_seed_42,0.0,0.0,0.0,,,,,,,,1498.8622648176515,1180.4823080143535,318.37995680329794,同物理口径
uncalibrated,2,42,mlp,deterministic,0.0,,,,,19434153.144910023,19434153.144910023,607930.405578771,38790.0,6320654.212443613,5688799.208310919,1471039.0513894334,11686193.33326584,0.0,0.0,3571836.7579253,15258030.09119114,0.0,12.66888682427816,334.0,0.0,0.0,0.0,334.0,1200.0,82559.01029586731,138931.1643456901,2025-06-01,56bb6a42dd365d5b1dbf,,,,exp003,exp003/uncalibrated,exp003 未校准,True,True,True,data/results/exp003/dispatch_metrics.csv,False,334.0,2025-02-01,2025-12-31,1421.7991105135516,0.0,9.094947017729282e-13,uncalibrated_seed_42,1.0,1.0,0.0,,,,,,,,1525.803009119114,1168.619333326584,357.18367579253,同物理口径
no_season,2,42,,,,,,,,20997147.61167249,20997147.61167249,160912.16542074122,12260.0,6313399.087586548,5682140.768243726,2587611.962783745,12729841.366488617,0.0,0.0,881746.4664249112,13611587.832913524,0.0,11.677327542915007,334.0,0.0,0.0,0.0,334.0,1335.7963148486438,67487.16166572644,123531.53124895669,2025-07-03,,,,,exp004,exp004/no_season,exp004 无季节,True,True,True,data/results/exp004/dispatch_metrics.csv,False,334.0,2025-02-01,2025-12-31,1421.7991105135516,0.0,9.094947017729282e-13,no_season_seed_42,,,,12.094174208003096,,,,,,,1361.1587832913524,1272.9841366488617,88.17464664249111,同物理口径
causal_season,2,42,,,,,,,,21007720.445915528,21007720.445915528,162942.3890899056,12300.0,6317717.491617825,5685938.603747329,2599694.4521682695,12727957.705010273,0.0,0.0,898187.7009805667,13626145.40599084,0.0,12.273091197595932,334.0,0.0,0.0,0.0,334.0,1429.3239702092117,68163.43068562927,120510.2346644348,2025-07-03,,,,,exp004,exp004/causal_season,exp004 历史季节,True,True,True,data/results/exp004/dispatch_metrics.csv,False,334.0,2025-02-01,2025-12-31,1421.7991105135516,0.0,9.094947017729282e-13,causal_season_seed_42,,,,12.701591292046942,,,,,,,1362.6145405990842,1272.7957705010272,89.81877009805667,同物理口径
oracle_season,2,42,,,,,,,,21070735.939491797,21070735.939491797,145611.63242413514,11470.0,6298402.748018118,5668554.14258255,2647309.4715136965,12774482.58825294,0.0,0.0,798443.8903288965,13572926.478581838,0.0,12.331863418337887,334.0,0.0,0.0,0.0,334.0,1430.5803695208683,67347.37438883395,121829.80890744936,2025-07-03,,,,,exp004,exp004/oracle_season,exp004 全年探索,True,True,False,data/results/exp004/dispatch_metrics.csv,True,334.0,2025-02-01,2025-12-31,1421.7991105135516,0.0,9.094947017729282e-13,oracle_season_seed_42,,,,12.794200749951417,,,,,,,1357.2926478581837,1277.448258825294,79.84438903288965,含未来信息，仅探索
,2,mean,,,,,,,False,19836870.499803584,19836870.499803584,728394.1217597744,45820.0,6359633.61873862,5157736.177420782,1424177.6852788534,12025380.561354762,0.0,0.0,4232927.655999829,16258308.21735459,0.0,1.197190367267,,,,,,1200.0,,,,,exp001,not_directly_rankable_against_v2,False,exp001,exp001/original,exp001 原登记（不可比）,False,False,False,data/results/exp003/baseline/exp001_original_q2_costs.csv,False,334.0,,,8347.718047222224,,,,,,,,selected,True,0.0,问题 2,27.706388932644,-1.198012930703,1625.830821735459,1202.5380561354762,423.2927655999829,原协议不可直接比较
