requested_gap,mature_extrapolation_hours,planning_lower_hours,planning_upper_hours,estimated_speedup_fraction
0.0,4.955853769881653,5.0,7.0,0.0
0.0005,4.256986096966446,4.5,6.5,0.14661227456095416
0.001,4.0272657745166995,4.0,6.0,0.18987205333970247
