strategy,completed_days,max_actual_residual,max_actual_overlap_kwh,max_node_overlap_kwh,max_ramp_kw,passed
场景计划＋场景滚动,55,1.5833734323678065e-10,6.548361852765072e-11,1.8622667856725652e-07,1000.0000000000982,True
点计划＋点滚动,284,2.935321917873669e-09,2.6193447411060287e-10,9.412884559749922e-07,1000.000000000517,True
点计划＋场景滚动,22,3.4944309604349715e-10,3.1061605822246355e-10,6.748705535149687e-07,1000.0000000000236,True
