strategy,days,first_date,last_date,planned_cost,emergency_cost,total_cost,emergency_kwh,difference_vs_point_scenario
场景计划＋场景滚动,22,2025-02-01,2025-02-22,861612.4382958044,154993.85926545536,1016606.2975612598,42468.39512337375,4793.797974829911
点计划＋点滚动,22,2025-02-01,2025-02-22,954913.7931210118,13203.998051634955,968117.7911726466,3686.5939111156954,-43694.708413783344
点计划＋场景滚动,22,2025-02-01,2025-02-22,954841.6307238432,56970.86886258675,1011812.4995864299,11899.47938800303,0.0
