run_id,rl_seed,cutoff_day,iteration_at_cutoff,global_iteration,transitions,training_start_day,training_end_day,history_days,max_observed_index,rollout_seconds,update_seconds,mean_episode_reward,mean_episode_cost_yuan,mean_episode_throughput_kwh,loss,policy_loss,value_loss,entropy,approx_kl,clip_fraction,gradient_norm
cost_only_3407,3407,31,0,0,4608,8,30,23,4463,0.06206787494011223,0.14434849994722754,-78.3525619506836,79351.24354936906,43416.620089398784,53.29041873084174,-0.0012732195512702067,106.65951601664226,3.8065889014138117,5.906384346903653e-05,0.0,38.73360093434652
cost_only_3407,3407,31,1,1,4608,8,30,23,4463,0.04256874998100102,0.03065074991900474,-78.45352172851562,79855.11425455923,42491.15175750254,51.82630697886149,-0.0015880273810277383,103.73191091749403,3.806080765194363,0.0001594910773974334,0.0,42.47497993045383
cost_only_3407,3407,31,2,2,4608,8,30,23,4463,0.04325204191263765,0.029263040982186794,-79.29183197021484,79969.44363136031,44417.92321919622,51.05664094289144,-0.0020856125694182184,102.19354142083063,3.804396503501468,0.0005150700536439166,0.0,49.91472191280789
cost_only_3407,3407,31,3,3,4608,8,30,23,4463,0.04225633305031806,0.029114208067767322,-76.33904266357422,77490.18972512757,45409.297111161985,46.940822495354546,-0.004617697973218229,93.96683523390028,3.7978225350379944,0.0018523114179187258,0.015516493055555556,53.946681340535484
cost_only_3407,3407,31,4,4,4608,8,30,23,4463,0.04186529200524092,0.02904995798598975,-76.47228240966797,77674.20228916491,41848.70282095803,49.00613678826226,-0.0023581478097993466,98.09268209669325,3.784583283795251,0.001416352446717105,0.002224392361111111,58.50697294871012
cost_only_3407,3407,31,5,5,4608,8,30,23,4463,0.04208749998360872,0.029060875065624714,-70.89594268798828,72001.93839694727,41106.26555831628,42.302505281236435,-0.0051258813796771895,84.69064013163249,3.7689326339297824,0.002700975190792734,0.043131510416666664,55.4420427746243
cost_only_3407,3407,31,6,6,4608,8,30,23,4463,0.04264883394353092,0.028766541043296456,-82.26017761230469,82572.99834085093,40659.37844765625,57.9368683497111,-0.0023510073596197697,115.95361773173015,3.7589731547567578,0.0015406969612033411,0.007161458333333333,67.92370944552951
cost_only_3407,3407,31,7,7,4608,8,30,23,4463,0.042192084016278386,0.02913208305835724,-84.88517761230469,85301.29527076057,38227.864245730816,64.4486952887641,-0.004593573096725676,128.98157925075955,3.750074850188361,0.0023700048042580115,0.013943142361111112,70.86479049258762
cost_only_3407,3407,31,8,8,4608,8,30,23,4463,0.04189429106190801,0.02893933397717774,-82.15931701660156,82629.73702600645,39444.88424816564,59.28855790032281,-0.0037204709757740297,118.65950753953722,3.747538857989841,0.002273343846708384,0.021213107638888888,67.53506978352864
cost_only_3407,3407,31,9,9,4608,8,30,23,4463,0.04210716695524752,0.028766500065103173,-76.62718963623047,77323.8666475733,40310.86152531742,52.51563856336806,-0.0045183148079862194,105.1150090959337,3.734807829062144,0.002890051131923125,0.029568142361111112,61.35836103227403
cost_only_3407,3407,31,10,10,4608,8,30,23,4463,0.04308745905291289,0.0295791249955073,-76.49858093261719,77337.4981810991,39511.885840718176,52.374436696370445,-0.003947941625180344,104.83130243089464,3.7266446815596685,0.0023310678448069666,0.01416015625,60.374566819932724
cost_only_3407,3407,31,11,11,4608,8,30,23,4463,0.042458959040232,0.029299582936801016,-78.03297424316406,78727.04003574306,38418.17879967384,54.687288178337944,-0.003360175812203023,109.4556212955051,3.716228034761217,0.0024089916822099943,0.025607638888888888,61.455513424343536
cost_only_3407,3407,31,12,12,4608,8,30,23,4463,0.043300208053551614,0.030544833978638053,-78.61146545410156,79257.01694729505,41196.25928867939,54.2693813112047,-0.0036247430058817067,108.62037319607205,3.7180677784813776,0.002706368491292071,0.018229166666666668,61.344807624816895
cost_only_3407,3407,31,13,13,4608,8,30,23,4463,0.044792958069592714,0.031167290988378227,-75.20301818847656,76367.54221563855,39395.14172955569,50.911294301350914,-0.005242579538996021,101.90735011630588,3.7138593329323664,0.0030462864272193554,0.030598958333333332,56.88895638783773
cost_only_3407,3407,31,14,14,4608,8,30,23,4463,0.044894541963003576,0.030677165952511132,-79.11808776855469,80159.54649223656,37467.01839883339,57.79412587483724,-0.0031312715727835894,115.66857655843098,3.703103005886078,0.0020713826307251614,0.017795138888888888,60.37200344933404
